source,tf,offset,n,valid,agree,agree_pct,flat
aliplayer1-real,15m,-150,3327,3327,2741,82.38653441538924,33
aliplayer1-real,15m,-120,3327,3327,2798,84.09978960024046,41
aliplayer1-real,15m,-90,3327,3327,2895,87.01532912533814,27
aliplayer1-real,15m,-80,3327,3327,2925,87.91704238052299,22
aliplayer1-real,15m,-74,3327,3327,2927,87.97715659753533,31
aliplayer1-real,15m,-60,3327,3327,2966,89.14938382927562,25
aliplayer1-real,15m,-30,3327,3327,3042,91.43372407574391,30
aliplayer1-real,15m,0,3327,3327,3212,96.5434325217914,21
aliplayer1-real,15m,30,3327,3327,2969,89.2395551547941,38
aliplayer1-real,15m,60,3327,3327,2830,85.06161707243763,32
aliplayer1-real,15m,74,3327,3327,2778,83.49864743011722,25
aliplayer1-real,15m,80,3327,3327,2748,82.59693417493237,28
aliplayer1-real,15m,90,3327,3327,2747,82.56687706642622,30
aliplayer1-real,15m,120,3327,3327,2686,80.73339344755036,21
aliplayer1-real,15m,150,3327,3327,2607,78.35888187556357,36
aliplayer1-real,5m,-150,10083,10083,6556,65.02033125061986,136
aliplayer1-real,5m,-120,10083,10083,6876,68.1939898839631,152
aliplayer1-real,5m,-90,10083,10083,7310,72.49826440543488,158
aliplayer1-real,5m,-80,10083,10083,7496,74.34295348606565,160
aliplayer1-real,5m,-74,10083,10083,7625,75.62233462263215,143
aliplayer1-real,5m,-60,10083,10083,7819,77.5463651690965,162
aliplayer1-real,5m,-30,10083,10083,8452,83.82425865317862,158
aliplayer1-real,5m,0,10083,10083,9514,94.35683824258653,148
aliplayer1-real,5m,30,10083,10083,8259,81.91014578994347,161
aliplayer1-real,5m,60,10083,10083,7711,76.47525538034316,146
aliplayer1-real,5m,74,10083,10083,7341,72.80571258554002,148
aliplayer1-real,5m,80,10083,10083,7275,72.15114549241297,138
aliplayer1-real,5m,90,10083,10083,7092,70.3362094614698,157
aliplayer1-real,5m,120,10083,10083,6729,66.73609044927105,136
aliplayer1-real,5m,150,10083,10083,6376,63.235148269364274,136
bmoney1321-real,15m,-150,3915,3915,3010,76.88378033205619,17
bmoney1321-real,15m,-120,3915,3915,3085,78.79948914431672,20
bmoney1321-real,15m,-90,3915,3915,3164,80.81736909323116,14
bmoney1321-real,15m,-80,3915,3915,3172,81.02171136653895,22
bmoney1321-real,15m,-74,3915,3915,3185,81.35376756066411,20
bmoney1321-real,15m,-60,3915,3915,3215,82.12005108556832,17
bmoney1321-real,15m,-30,3915,3915,3309,84.52107279693487,19
bmoney1321-real,15m,0,3915,3915,3488,89.09323116219669,22
bmoney1321-real,15m,30,3915,3915,3314,84.64878671775223,12
bmoney1321-real,15m,60,3915,3915,3216,82.1455938697318,15
bmoney1321-real,15m,74,3915,3915,3120,79.6934865900383,15
bmoney1321-real,15m,80,3915,3915,3086,78.8250319284802,16
bmoney1321-real,15m,90,3915,3915,3055,78.03320561941251,15
bmoney1321-real,15m,120,3915,3915,3027,77.31800766283526,19
bmoney1321-real,15m,150,3915,3915,2927,74.76372924648787,23
bmoney1321-real,5m,-150,9732,9732,6235,64.06699547883272,98
bmoney1321-real,5m,-120,9732,9732,6640,68.22852445540485,93
bmoney1321-real,5m,-90,9732,9732,7086,72.81134401972874,86
bmoney1321-real,5m,-80,9732,9732,7227,74.26017262638717,79
bmoney1321-real,5m,-74,9732,9732,7299,75.0,90
bmoney1321-real,5m,-60,9732,9732,7532,77.3941635840526,86
bmoney1321-real,5m,-30,9732,9732,8118,83.41553637484587,95
bmoney1321-real,5m,0,9732,9732,9247,95.01644060830252,103
bmoney1321-real,5m,30,9732,9732,7994,82.14138923140156,91
bmoney1321-real,5m,60,9732,9732,7545,77.52774352651048,106
bmoney1321-real,5m,74,9732,9732,7216,74.14714344430745,95
bmoney1321-real,5m,80,9732,9732,7131,73.27373612823675,99
bmoney1321-real,5m,90,9732,9732,7017,72.10234278668311,112
bmoney1321-real,5m,120,9732,9732,6715,68.99917796958488,81
bmoney1321-real,5m,150,9732,9732,6317,64.9095766543362,98
