slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,mom_imb_l5,mom_cvd_norm,mom_aggressor,bb_position,rsi14,fired,skip_reason,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
eth-updown-5m-1776994800,1776994500,Down,2321.57,-3,-1,0,-1,0.3661052631578825,-0.28071854941631064,-0.7017963735407765,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1776995100,1776994800,Up,2324.75,-3,-1,0,-1,0.3717299578059151,-0.3256531745417349,-0.8141329363543373,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1776995400,1776995100,Up,2325.59,-3,-1,-1,-1,0.22995780590716347,-0.3476587212435591,-0.8691468031088977,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1776995700,1776995400,Up,2333.28,-3,-1,0,0,0.5984025559104793,-0.09240121580547113,-0.23100303951367782,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1776996000,1776995700,Down,2331.89,-3,-1,-1,0,0.27600000000020375,0.10850524733929981,0.2712631183482495,0.0,0.0,no_data,,True,,Down,25.000000000000004,0.5803476577561989,43.077627118644074,4.0,False,True,17.71607457627119,17.71607457627119
eth-updown-5m-1776999300,1776999000,Up,2323.26,-3,-1,0,0,0.4781350482314443,-0.04680643829104007,-0.11701609572760018,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1776999600,1776999300,Down,2318.86,-3,-1,-1,0,0.2911949685534385,-0.07616455582018544,-0.1904113895504636,0.0,0.0,no_data,,True,,Down,25.0,0.5835578277107696,42.84065573770492,4.0,False,True,17.483842622950824,35.199917199222014
eth-updown-5m-1776999900,1776999600,Up,2319.33,-3,-1,-1,-1,0.21236897274634386,-0.18961340143071645,-0.4740335035767911,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1777000200,1776999900,Down,2318.7,-3,-1,-1,0,0.3180293501048531,-0.10323931740189048,-0.2580982935047262,0.0,0.0,no_data,,True,,Down,25.0,0.78,32.05128205128205,1.0,False,True,6.91025641025641,42.11017360947842
eth-updown-5m-1777000500,1777000200,Down,2319.18,-3,-1,-1,-1,0.2375262054507617,-0.15088995844002018,-0.3772248961000504,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1777000800,1777000500,Down,2317.05,-3,-1,0,0,0.5947589098532209,0.07327263031674708,0.1831815757918677,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
eth-updown-5m-1777001100,1777000800,Up,2315.94,-3,-1,1,-1,0.7809224318658216,-0.18279535175518558,-0.45698837938796394,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1777001400,1777001100,Down,2312.71,-3,-1,0,-1,0.5864053377814911,-0.21893892897841216,-0.5473473224460303,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1777001700,1777001400,Up,2305.31,-3,-1,1,-1,0.7492817679558068,-0.19919325516406192,-0.49798313791015475,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1777002000,1777001700,Up,2303.79,-3,-1,0,-1,0.3750000000000553,-0.23782730914720718,-0.5945682728680179,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1777002300,1777002000,Up,2304.0,-3,-1,-1,-1,0.31666666666671406,-0.16541972153908857,-0.41354930384772143,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1777002600,1777002300,Up,2306.01,-3,-1,1,0,0.8777623349548245,-0.070535857431028,-0.17633964357756998,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
eth-updown-5m-1777002900,1777002600,Up,2308.79,-3,-1,1,-1,0.847956630525454,-0.20576610687492336,-0.5144152671873083,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
eth-updown-5m-1777003200,1777002900,Down,2307.64,-3,-1,1,0,0.828129602356418,-0.07762554774889657,-0.1940638693722414,0.0,0.0,no_data,,False,conflict_pos1_neg1,,,,,,,,,
