slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,mom_imb_l5,mom_cvd_norm,mom_aggressor,bb_position,rsi14,fired,skip_reason,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
sol-updown-5m-1776994800,1776994500,Down,85.89,0,0,-1,0,0.33333333333331555,-0.10627684206846968,-0.2656921051711742,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1776995100,1776994800,Up,86.0,0,0,1,-1,0.799999999999994,-0.3573429733393583,-0.8933574333483958,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1776995400,1776995100,Up,86.01,0,0,1,0,0.7666666666666431,0.025508768566213466,0.06377192141553366,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1776995700,1776995400,Up,86.28,0,0,-1,0,0.14848484848483906,0.05832301925472491,0.14580754813681227,0.0,0.0,no_data,,False,abstention_1_of_2,,,,,,,,,
sol-updown-5m-1776996000,1776995700,Up,86.3,0,0,-1,1,0.14571428571427736,0.21339209480193297,0.5334802370048324,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1776999300,1776999000,Up,85.96,0,0,0,0,0.5081632653061268,-0.05815602836879433,-0.1453900709219858,0.0,0.0,no_data,,False,abstention_2_of_2,,,,,,,,,
sol-updown-5m-1776999600,1776999300,Up,85.83,0,0,0,0,0.5333333333333274,-0.12772411227686192,-0.3193102806921548,0.0,0.0,no_data,,False,abstention_2_of_2,,,,,,,,,
sol-updown-5m-1776999900,1776999600,Up,85.9,0,0,-1,-1,0.29999999999996446,-0.17932721712538227,-0.44831804281345566,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1777000200,1776999900,Down,85.88,0,0,0,-1,0.3666666666666667,-0.18272632674297606,-0.45681581685744016,0.0,0.0,no_data,,False,momentum_engaged,,,,,,,,,
sol-updown-5m-1777000500,1777000200,Down,85.86,0,0,0,0,0.43333333333332147,0.039956713205041426,0.09989178301260355,0.0,0.0,no_data,,False,abstention_2_of_2,,,,,,,,,
