slug,ws_s,outcome_truth,current_px,trend_align,v_trend,v_levels,v_momentum,p_up_levels,score_momentum,fired,skip_reason,direction,stake_usd,vwap_entry,shares,hit_levels,underfilled,won,pnl_usd,balance_cum_usd
btc-updown-5m-1776994800,1776994500,Down,78022.27,0,0,0,0,0.49986815750107283,0.09788822130382012,False,abstention_3,,,,,,,,,
btc-updown-5m-1776995100,1776994800,Up,78130.64,0,0,1,1,0.7739679225585707,0.16425880580146923,True,,Up,25.0,0.8888302993260869,28.126853932584268,2.0,False,True,3.0643168539325827,3.0643168539325827
btc-updown-5m-1776995400,1776995100,Up,78114.0,0,0,-1,-1,0.3138079663294593,-0.2797954946586356,True,,Down,25.0,0.06218618187503776,402.0185714285714,2.0,False,False,-25.0,-21.93568314606742
btc-updown-5m-1776995700,1776995400,Up,78422.83,0,0,1,0,0.6566619250829043,-0.09454056340778183,False,abstention_2,,,,,,,,,
btc-updown-5m-1776996000,1776995700,Up,78411.48,0,0,1,-1,0.8719298245614762,-0.3023646812350591,False,conflict_pos1_neg1,,,,,,,,,
btc-updown-5m-1776999300,1776999000,Down,78286.01,1,1,-1,-1,0.28939239270341544,-0.17594363401033505,False,conflict_pos1_neg2,,,,,,,,,
btc-updown-5m-1776999600,1776999300,Up,78111.97,1,1,-1,-1,0.31792550898811156,-0.28223464769234713,False,conflict_pos1_neg2,,,,,,,,,
btc-updown-5m-1776999900,1776999600,Up,78142.09,1,1,1,1,0.6870361582993241,0.3248185502202714,True,,Up,25.0,0.35,71.42857142857143,1.0,False,True,45.5,23.56431685393258
btc-updown-5m-1777000200,1776999900,Down,78108.56,1,1,0,0,0.4318241347053495,0.060545344374873744,False,abstention_2,,,,,,,,,
btc-updown-5m-1777000500,1777000200,Down,78113.2,1,1,0,1,0.4179345182413662,0.18264467019931005,True,,Up,25.0,0.11235113474646093,222.51666666666668,2.0,False,False,-25.0,-1.4356831460674186
btc-updown-5m-1777000800,1777000500,Down,78064.01,1,1,0,0,0.5651824134705593,-0.046688431110827204,False,abstention_2,,,,,,,,,
btc-updown-5m-1777001100,1777000800,Up,78010.96,1,1,1,0,0.7239850327408706,-0.10615757492789563,True,,Up,25.0,0.9,27.77777777777778,1.0,False,True,2.722222222222223,1.2865390761548046
btc-updown-5m-1777001400,1777001100,Down,77815.23,1,1,0,0,0.6074132195091385,0.1159439807440089,False,abstention_2,,,,,,,,,
btc-updown-5m-1777001700,1777001400,Up,77666.89,1,1,0,1,0.4509738969126813,0.18530777827603273,True,,Up,25.0,0.82,30.48780487804878,1.0,False,True,5.378048780487806,6.66458785664261
btc-updown-5m-1777002000,1777001700,Down,77678.3,0,0,0,1,0.3904995362395486,0.1681005891203372,False,abstention_2,,,,,,,,,
btc-updown-5m-1777002300,1777002000,Up,77610.57,0,0,1,-1,0.7494766132237536,-0.15624557360355568,False,conflict_pos1_neg1,,,,,,,,,
btc-updown-5m-1777002600,1777002300,Up,77645.98,0,0,0,0,0.5617993904863035,-0.02754336215793747,False,abstention_3,,,,,,,,,
btc-updown-5m-1777002900,1777002600,Up,77734.21,0,0,1,0,0.7091268595819384,-0.07640467924161438,False,abstention_2,,,,,,,,,
btc-updown-5m-1777003200,1777002900,Down,77718.52,0,0,-1,-1,0.17732873989662795,-0.19530533066416286,True,,Down,25.0,0.75,33.333333333333336,1.0,False,True,8.16666666666667,14.83125452330928
btc-updown-5m-1777003500,1777003200,Up,77703.99,0,0,-1,-1,0.2543394726381073,-0.34456826004848456,True,,Down,25.0,0.55,45.45454545454545,1.0,False,False,-25.0,-10.16874547669072
