label,n,sharpe,cagr,mdd,calmar,win,min_yr,risk_pct,cap
CCI_ETH_4h,115,1.31,0.165,-0.111,1.5,0.47,0.044,0.02,3.0
CCI_ETH_4h,115,1.31,0.165,-0.111,1.5,0.47,0.044,0.02,5.0
CCI_ETH_4h,115,1.31,0.249,-0.162,1.54,0.47,0.061,0.03,3.0
CCI_ETH_4h,115,1.31,0.25,-0.162,1.55,0.47,0.061,0.03,5.0
CCI_ETH_4h,115,1.29,0.329,-0.21,1.56,0.47,0.076,0.04,3.0
CCI_ETH_4h,115,1.31,0.335,-0.21,1.59,0.47,0.076,0.04,5.0
CCI_ETH_4h,115,1.29,0.408,-0.256,1.59,0.47,0.087,0.05,3.0
CCI_ETH_4h,115,1.31,0.419,-0.256,1.63,0.47,0.087,0.05,5.0
CCI_ETH_4h,115,1.29,0.484,-0.3,1.61,0.47,0.096,0.06,3.0
CCI_ETH_4h,115,1.3,0.497,-0.3,1.66,0.47,0.096,0.06,5.0
CCI_ETH_4h,115,1.27,0.61,-0.369,1.65,0.47,0.104,0.08,3.0
CCI_ETH_4h,115,1.29,0.649,-0.381,1.71,0.47,0.104,0.08,5.0
STF_SOL_4h,125,0.65,0.078,-0.213,0.37,0.44,-0.104,0.02,3.0
STF_SOL_4h,125,0.65,0.078,-0.213,0.37,0.44,-0.104,0.02,5.0
STF_SOL_4h,125,0.65,0.112,-0.304,0.37,0.44,-0.155,0.03,3.0
STF_SOL_4h,125,0.65,0.112,-0.304,0.37,0.44,-0.155,0.03,5.0
STF_SOL_4h,125,0.65,0.143,-0.385,0.37,0.44,-0.204,0.04,3.0
STF_SOL_4h,125,0.65,0.143,-0.385,0.37,0.44,-0.204,0.04,5.0
STF_SOL_4h,125,0.65,0.169,-0.458,0.37,0.44,-0.252,0.05,3.0
STF_SOL_4h,125,0.65,0.169,-0.458,0.37,0.44,-0.252,0.05,5.0
STF_SOL_4h,125,0.65,0.191,-0.523,0.37,0.44,-0.299,0.06,3.0
STF_SOL_4h,125,0.65,0.191,-0.523,0.37,0.44,-0.299,0.06,5.0
STF_SOL_4h,125,0.65,0.222,-0.632,0.35,0.44,-0.387,0.08,3.0
STF_SOL_4h,125,0.65,0.222,-0.632,0.35,0.44,-0.387,0.08,5.0
STF_AVAX_4h,110,0.67,0.075,-0.164,0.45,0.38,-0.037,0.02,3.0
STF_AVAX_4h,110,0.67,0.075,-0.164,0.45,0.38,-0.037,0.02,5.0
STF_AVAX_4h,110,0.67,0.107,-0.237,0.45,0.38,-0.057,0.03,3.0
STF_AVAX_4h,110,0.67,0.107,-0.237,0.45,0.38,-0.057,0.03,5.0
STF_AVAX_4h,110,0.66,0.136,-0.304,0.45,0.38,-0.077,0.04,3.0
STF_AVAX_4h,110,0.66,0.136,-0.304,0.45,0.38,-0.077,0.04,5.0
STF_AVAX_4h,110,0.66,0.161,-0.365,0.44,0.38,-0.097,0.05,3.0
STF_AVAX_4h,110,0.66,0.161,-0.365,0.44,0.38,-0.097,0.05,5.0
STF_AVAX_4h,110,0.65,0.181,-0.421,0.43,0.38,-0.118,0.06,3.0
STF_AVAX_4h,110,0.65,0.181,-0.421,0.43,0.38,-0.118,0.06,5.0
STF_AVAX_4h,110,0.64,0.208,-0.52,0.4,0.38,-0.161,0.08,3.0
STF_AVAX_4h,110,0.64,0.21,-0.52,0.4,0.38,-0.161,0.08,5.0
STF_DOGE_4h,114,0.46,0.05,-0.323,0.16,0.36,-0.18,0.02,3.0
STF_DOGE_4h,114,0.46,0.05,-0.323,0.16,0.36,-0.18,0.02,5.0
