portfolio,variant,sharpe,cagr,mdd,calmar,min_yr,pos_yrs
P3,none,1.37,0.166,-0.127,1.3,0.006,6
P3,mild,1.33,0.151,-0.114,1.32,0.002,6
P3,medium,1.16,0.121,-0.118,1.03,-0.02,5
P3,hard,1.31,0.131,-0.102,1.28,0.001,6
P5,none,1.43,0.146,-0.133,1.09,0.024,6
P5,mild,1.44,0.137,-0.123,1.11,0.019,6
P5,medium,1.43,0.132,-0.114,1.16,0.01,6
P5,hard,1.44,0.127,-0.093,1.36,0.007,6
P7,none,1.55,0.236,-0.135,1.74,0.074,6
P7,mild,1.5,0.211,-0.128,1.64,0.08,6
P7,medium,1.48,0.198,-0.12,1.65,0.084,6
P7,hard,1.26,0.149,-0.106,1.4,0.044,6
