size,sleeves,avg_pair_corr,sharpe,cagr,max_dd,calmar,min_year_return,max_year_return,per_year_positive,per_year_total
2,CCI_ETH_4h + HTFD_SOL_4h,0.081,1.584,0.3967,-0.2459,1.614,0.1939,0.5011,6,6
3,CCI_ETH_4h + STF_SOL_4h + TTM_SOL_4h,0.132,1.819,0.3367,-0.1736,1.939,0.1781,0.5933,6,6
3,CCI_ETH_4h + HTFD_SOL_4h + REGSW_ETH_4h,0.215,1.391,0.3178,-0.2045,1.554,0.1744,0.4845,6,6
2,CCI_ETH_4h + STF_SOL_4h,0.115,1.985,0.4056,-0.1675,2.421,0.1682,0.6254,6,6
3,CCI_ETH_4h + STF_SOL_4h + REGSW_ETH_4h,0.193,1.651,0.3284,-0.1715,1.914,0.1573,0.4495,6,6
3,CCI_ETH_4h + TTM_SOL_4h + HTFD_SOL_4h,0.176,1.479,0.3271,-0.2071,1.58,0.1535,0.4856,6,6
3,CCI_ETH_4h + STF_AVAX_4h + HTFD_SOL_4h,0.147,1.802,0.3825,-0.1934,1.978,0.1422,0.5869,6,6
3,CCI_ETH_4h + TTM_SOL_4h + BB_SOL_4h,0.177,1.485,0.3246,-0.2081,1.56,0.1419,0.4336,6,6
3,CCI_ETH_4h + CCI_AVAX_4h + HTFD_SOL_4h,0.056,1.484,0.2756,-0.2162,1.275,0.1406,0.3642,6,6
3,CCI_ETH_4h + STF_SOL_4h + BB_ETH_4h,0.165,1.567,0.3152,-0.1817,1.735,0.1399,0.5323,6,6
3,CCI_ETH_4h + STF_SOL_4h + BB_BTC_4h,0.163,1.42,0.2801,-0.2363,1.185,0.1368,0.4206,6,6
3,CCI_ETH_4h + BB_ETH_4h + HTFD_SOL_4h,0.193,1.324,0.308,-0.1763,1.747,0.1355,0.4057,6,6
3,CCI_ETH_4h + STF_LINK_4h + HTFD_SOL_4h,0.113,1.418,0.2876,-0.2665,1.079,0.1347,0.3738,6,6
3,CCI_ETH_4h + STF_BTC_4h + HTFD_SOL_4h,0.14,1.313,0.2612,-0.2684,0.973,0.1313,0.3433,6,6
3,CCI_ETH_4h + STF_SOL_4h + HTFD_SOL_4h,0.25,1.832,0.4304,-0.1971,2.184,0.131,0.581,6,6
3,CCI_ETH_4h + STF_ETH_4h + HTFD_SOL_4h,0.15,1.472,0.3068,-0.3157,0.972,0.1304,0.3826,6,6
3,CCI_ETH_4h + VWZ_DOGE_4h + HTFD_SOL_4h,-0.004,1.505,0.2564,-0.1917,1.337,0.1293,0.3043,6,6
3,CCI_ETH_4h + HTFD_SOL_4h + REGSW_BTC_4h,0.154,1.317,0.2841,-0.2262,1.256,0.1263,0.4548,6,6
3,CCI_ETH_4h + VWZ_INJ_4h + HTFD_SOL_4h,0.022,1.581,0.2742,-0.1977,1.387,0.1253,0.307,6,6
3,CCI_ETH_4h + STF_SOL_4h + STF_AVAX_4h,0.166,2.111,0.3834,-0.1277,3.002,0.125,0.7134,6,6
