strategy_id,symbol,tf,n_bars,n_trades,is_sharpe,oos_sharpe,oos_sortino,oos_cagr,oos_max_dd,oos_calmar,oos_ulcer,oos_upi,oos_tail_ratio,oos_dd_duration_bars,oos_dd_recovery_bars,oos_psr,oos_dsr,n_profitable_regimes,regime_sharpes,worst3_months_mean,rho_buy_hold_oos,maker_fill_pct,unfilled_pct,fee_drag,total_fee_paid,gates_passed,gate_detail,win_rate,profit_factor,avg_win,avg_loss,avg_hold_bars,monthly_returns,yearly_returns,equity_file
a1_regime_switcher,BTCUSDT,4h,6570,31,-0.399,0.714,0.362,0.104,-0.0914,1.138,6.885,0.015,1.335,1390,149,1.0,0.0,1,"{""strong_uptrend"": -3.8211912935623156, ""weak_uptrend"": 3.3363038823452937, ""weak_downtrend"": 0.0, ""strong_downtrend"": 0.0}",-0.0143,0.302,0.726,0.0,0.6969060937637751,495.85,3,"{""gate_mdd"": true, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": false, ""gate_rho_to_bh"": true, ""gate_maker_fill"": true}",0.355,0.806,454.91,-310.57,0.0,"{""2022-01"": -0.1965, ""2022-02"": -0.0011, ""2022-03"": 0.0027, ""2022-04"": -0.0428, ""2022-05"": 0.0, ""2022-06"": 0.0, ""2022-07"": 0.0, ""2022-08"": 0.0, ""2022-09"": 0.0, ""2022-10"": 0.0, ""2022-11"": 0.0, ""2022-12"": 0.0, ""2023-01"": 0.1001, ""2023-02"": -0.0428, ""2023-03"": -0.0428, ""2023-04"": -0.0838, ""2023-05"": 0.0, ""2023-06"": 0.0011, ""2023-07"": 0.0133, ""2023-08"": 0.0, ""2023-09"": 0.0, ""2023-10"": 0.0209, ""2023-11"": 0.0111, ""2023-12"": 0.0, ""2024-01"": 0.0, ""2024-02"": -0.0005, ""2024-03"": 0.1231, ""2024-04"": -0.0661, ""2024-05"": -0.0428, ""2024-06"": 0.0, ""2024-07"": 0.0, ""2024-08"": 0.0, ""2024-09"": 0.003, ""2024-10"": 0.0435, ""2024-11"": 0.1188, ""2024-12"": 0.0046}","{""2022"": -0.2297, ""2023"": -0.033, ""2024"": 0.1804}",a1_regime_switcher__BTCUSDT__4h.parquet
a1_regime_switcher,ETHUSDT,4h,6570,28,-0.692,0.271,0.089,0.0288,-0.1323,0.218,4.599,0.006,0.0,1304,207,1.0,0.0,1,"{""weak_uptrend"": 1.8603586002248937, ""strong_downtrend"": 0.0, ""weak_downtrend"": 0.0, ""strong_uptrend"": -4.45005156682628}",-0.0058,0.221,0.75,0.0,0.12475308343783272,383.15,3,"{""gate_mdd"": true, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": false, ""gate_rho_to_bh"": true, ""gate_maker_fill"": true}",0.393,0.58,434.54,-484.37,0.0,"{""2022-01"": -0.2793, ""2022-02"": 0.0089, ""2022-03"": 0.0259, ""2022-04"": -0.0723, ""2022-05"": 0.0, ""2022-06"": 0.0, ""2022-07"": -0.0723, ""2022-08"": -0.1394, ""2022-09"": 0.0, ""2022-10"": 0.0, ""2022-11"": -0.0723, ""2022-12"": 0.0, ""2023-01"": -0.0176, ""2023-02"": 0.0353, ""2023-03"": -0.0395, ""2023-04"": 0.0, ""2023-05"": 0.0, ""2023-06"": 0.0, ""2023-07"": 0.0, ""2023-08"": 0.0, ""2023-09"": 0.0, ""2023-10"": 0.0176, ""2023-11"": 0.0115, ""2023-12"": 0.0, ""2024-01"": -0.0308, ""2024-02"": 0.1411, ""2024-03"": 0.1245, ""2024-04"": 0.0, ""2024-05"": 0.0123, ""2024-06"": 0.0058, ""2024-07"": 0.0, ""2024-08"": 0.0, ""2024-09"": 0.0, ""2024-10"": 0.0, ""2024-11"": 0.021, ""2024-12"": -0.0173}","{""2022"": -0.4876, ""2023"": 0.0055, ""2024"": 0.2703}",a1_regime_switcher__ETHUSDT__4h.parquet
a1_regime_switcher,SOLUSDT,4h,6570,32,0.436,-1.627,-0.361,-0.1268,-0.1118,-1.134,10.019,-0.013,0.0,1334,1310,0.0,0.0,0,"{""weak_uptrend"": -2.899989534053337, ""strong_uptrend"": -0.4394197662998129, ""strong_downtrend"": 0.0, ""weak_downtrend"": 0.0}",-0.0322,0.095,0.75,0.0,0.28462311080679176,477.25,3,"{""gate_mdd"": true, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": false, ""gate_rho_to_bh"": true, ""gate_maker_fill"": true}",0.375,1.098,1119.1,-611.48,0.0,"{""2022-01"": -0.3946, ""2022-02"": 0.0071, ""2022-03"": -0.1213, ""2022-04"": -0.0967, ""2022-05"": 0.0, ""2022-06"": 0.0, ""2022-07"": 0.0, ""2022-08"": -0.184, ""2022-09"": 0.0, ""2022-10"": 0.0, ""2022-11"": 0.0, ""2022-12"": 0.0, ""2023-01"": 0.3502, ""2023-02"": -0.0967, ""2023-03"": 0.0, ""2023-04"": -0.0967, ""2023-05"": 0.0, ""2023-06"": 0.0, ""2023-07"": 0.1546, ""2023-08"": -0.0967, ""2023-09"": 0.0, ""2023-10"": 0.476, ""2023-11"": 0.6951, ""2023-12"": 0.0655, ""2024-01"": -0.0462, ""2024-02"": 0.0554, ""2024-03"": 0.0182, ""2024-04"": 0.0, ""2024-05"": -0.0967, ""2024-06"": 0.0, ""2024-07"": 0.0, ""2024-08"": 0.0, ""2024-09"": 0.0, ""2024-10"": 0.0, ""2024-11"": 0.0, ""2024-12"": 0.0}","{""2022"": -0.6051, ""2023"": 2.0633, ""2024"": -0.0742}",a1_regime_switcher__SOLUSDT__4h.parquet
b1_kama_adaptive_trend,BTCUSDT,1h,26279,120,-1.202,-0.395,-0.179,-0.0733,-0.1813,-0.404,11.075,-0.007,1.306,5376,1881,0.0,0.0,1,"{""weak_uptrend"": 1.860271540452052, ""strong_downtrend"": -9.336232634700577, ""weak_downtrend"": -1.2849538672243501, ""strong_uptrend"": -2.5758244812446804}",-0.0555,0.294,0.579,0.0,0.7073994047125628,1658.23,2,"{""gate_mdd"": true, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": false, ""gate_rho_to_bh"": true, ""gate_maker_fill"": false}",0.325,0.594,150.45,-121.85,0.0,"{""2022-01"": -0.0293, ""2022-02"": -0.0571, ""2022-03"": -0.0042, ""2022-04"": -0.0428, ""2022-05"": -0.0807, ""2022-06"": -0.0871, ""2022-07"": 0.0295, ""2022-08"": -0.0507, ""2022-09"": -0.0149, ""2022-10"": -0.04, ""2022-11"": -0.0268, ""2022-12"": 0.0035, ""2023-01"": 0.0728, ""2023-02"": -0.0809, ""2023-03"": -0.026, ""2023-04"": -0.0194, ""2023-05"": 0.0334, ""2023-06"": 0.0096, ""2023-07"": 0.0024, ""2023-08"": -0.0912, ""2023-09"": -0.0048, ""2023-10"": 0.1145, ""2023-11"": 0.0527, ""2023-12"": -0.0287, ""2024-01"": -0.0709, ""2024-02"": 0.057, ""2024-03"": -0.0361, ""2024-04"": 0.0085, ""2024-05"": 0.0584, ""2024-06"": -0.0492, ""2024-07"": -0.0081, ""2024-08"": -0.077, ""2024-09"": -0.028, ""2024-10"": 0.0329, ""2024-11"": 0.0552, ""2024-12"": -0.0404}","{""2022"": -0.3391, ""2023"": 0.0149, ""2024"": -0.1059}",b1_kama_adaptive_trend__BTCUSDT__1h.parquet
b1_kama_adaptive_trend,ETHUSDT,1h,26279,100,-0.114,-0.896,-0.406,-0.161,-0.2657,-0.606,16.964,-0.009,0.666,5437,1285,0.0,0.0,1,"{""weak_downtrend"": -1.4288947200282456, ""strong_downtrend"": -2.464060757004352, ""strong_uptrend"": 7.161616283821242, ""weak_uptrend"": -3.3122002636660075}",-0.0806,0.267,0.65,0.0,36.64670997741248,1934.37,2,"{""gate_mdd"": false, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": false, ""gate_rho_to_bh"": true, ""gate_maker_fill"": true}",0.42,0.846,260.52,-222.91,0.0,"{""2022-01"": -0.0483, ""2022-02"": 0.1656, ""2022-03"": -0.0735, ""2022-04"": -0.0233, ""2022-05"": -0.0066, ""2022-06"": 0.0434, ""2022-07"": -0.0005, ""2022-08"": -0.0296, ""2022-09"": 0.1203, ""2022-10"": -0.0414, ""2022-11"": 0.0038, ""2022-12"": -0.1107, ""2023-01"": 0.0086, ""2023-02"": -0.0154, ""2023-03"": 0.0081, ""2023-04"": -0.0766, ""2023-05"": 0.0796, ""2023-06"": 0.0414, ""2023-07"": -0.0128, ""2023-08"": -0.047, ""2023-09"": -0.0029, ""2023-10"": 0.0189, ""2023-11"": 0.0414, ""2023-12"": -0.0085, ""2024-01"": -0.0468, ""2024-02"": 0.0576, ""2024-03"": -0.0504, ""2024-04"": -0.0156, ""2024-05"": 0.055, ""2024-06"": -0.1173, ""2024-07"": -0.0573, ""2024-08"": -0.0673, ""2024-09"": 0.0041, ""2024-10"": -0.0399, ""2024-11"": 0.1038, ""2024-12"": -0.0168}","{""2022"": -0.0326, ""2023"": 0.0259, ""2024"": -0.1926}",b1_kama_adaptive_trend__ETHUSDT__1h.parquet
b1_kama_adaptive_trend,SOLUSDT,1h,26279,99,-1.741,-1.079,-0.525,-0.2828,-0.2582,-1.095,17.551,-0.016,0.825,6519,1918,0.0,0.0,1,"{""strong_uptrend"": -2.8402893483357285, ""weak_uptrend"": -1.6814518724956773, ""weak_downtrend"": 0.04350325407572092, ""strong_downtrend"": -1.5978272807754872}",-0.0698,0.309,0.581,0.0,0.15614863701843618,1006.94,1,"{""gate_mdd"": false, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": false, ""gate_rho_to_bh"": true, ""gate_maker_fill"": false}",0.303,0.378,150.73,-173.59,0.0,"{""2022-01"": -0.0539, ""2022-02"": -0.0791, ""2022-03"": -0.0154, ""2022-04"": -0.0209, ""2022-05"": -0.0716, ""2022-06"": -0.0315, ""2022-07"": -0.1143, ""2022-08"": -0.0463, ""2022-09"": 0.1116, ""2022-10"": -0.0883, ""2022-11"": -0.0706, ""2022-12"": -0.0261, ""2023-01"": -0.0474, ""2023-02"": -0.0693, ""2023-03"": 0.0061, ""2023-04"": -0.0653, ""2023-05"": -0.1031, ""2023-06"": 0.0091, ""2023-07"": -0.0029, ""2023-08"": -0.0957, ""2023-09"": -0.0561, ""2023-10"": -0.0105, ""2023-11"": -0.0536, ""2023-12"": -0.1025, ""2024-01"": 0.0418, ""2024-02"": 0.0111, ""2024-03"": -0.019, ""2024-04"": -0.082, ""2024-05"": 0.0151, ""2024-06"": 0.0018, ""2024-07"": -0.0018, ""2024-08"": -0.1539, ""2024-09"": -0.0236, ""2024-10"": 0.0699, ""2024-11"": -0.0224, ""2024-12"": -0.0319}","{""2022"": -0.4148, ""2023"": -0.4602, ""2024"": -0.1945}",b1_kama_adaptive_trend__SOLUSDT__1h.parquet
c1_meta_labeled_donchian,BTCUSDT,4h,6570,17,1.028,0.181,0.049,0.0107,-0.0698,0.154,3.081,0.003,0.0,955,34,1.0,0.0,1,"{""strong_uptrend"": 1.50005806906223, ""weak_uptrend"": -0.46619968154072267, ""weak_downtrend"": -3.1373942439894527, ""strong_downtrend"": 0.0}",-0.0159,0.126,0.5,0.0,0.2794663259864759,358.03,2,"{""gate_mdd"": true, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": false, ""gate_rho_to_bh"": true, ""gate_maker_fill"": false}",0.529,1.681,253.23,-169.5,0.0,"{""2022-01"": 0.0, ""2022-02"": 0.0, ""2022-03"": 0.0, ""2022-04"": 0.0, ""2022-05"": 0.0, ""2022-06"": 0.0, ""2022-07"": 0.0, ""2022-08"": 0.0, ""2022-09"": 0.0, ""2022-10"": 0.0, ""2022-11"": 0.0, ""2022-12"": 0.0, ""2023-01"": 0.0, ""2023-02"": 0.0, ""2023-03"": 0.0, ""2023-04"": 0.0, ""2023-05"": 0.0, ""2023-06"": 0.0, ""2023-07"": 0.0, ""2023-08"": 0.0, ""2023-09"": 0.0, ""2023-10"": 0.0, ""2023-11"": 0.0, ""2023-12"": 0.0, ""2024-01"": 0.0, ""2024-02"": 0.0494, ""2024-03"": 0.0326, ""2024-04"": 0.0, ""2024-05"": 0.0, ""2024-06"": -0.0159, ""2024-07"": -0.0159, ""2024-08"": 0.0, ""2024-09"": -0.0159, ""2024-10"": -0.008, ""2024-11"": 0.0663, ""2024-12"": 0.0}","{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0923}",c1_meta_labeled_donchian__BTCUSDT__4h.parquet
c1_meta_labeled_donchian,ETHUSDT,4h,6570,7,-0.104,2.09,0.457,0.106,-0.0253,4.187,0.6,0.177,0.0,100,92,1.0,1.0,3,"{""weak_uptrend"": 0.5736572895643296, ""strong_downtrend"": 5.285084911244926, ""weak_downtrend"": 3.431943035061002, ""strong_uptrend"": 0.0}",-0.0067,0.098,0.5,0.0,0.17040729697036994,142.67,5,"{""gate_mdd"": true, ""gate_calmar"": true, ""gate_dsr"": false, ""gate_dsr_prob"": true, ""gate_regimes"": true, ""gate_rho_to_bh"": true, ""gate_maker_fill"": false}",0.571,2.134,326.7,-204.08,0.0,"{""2022-01"": 0.0, ""2022-02"": 0.0, ""2022-03"": 0.0, ""2022-04"": 0.0, ""2022-05"": 0.0, ""2022-06"": 0.0, ""2022-07"": 0.0, ""2022-08"": 0.0, ""2022-09"": 0.0, ""2022-10"": 0.0, ""2022-11"": 0.0, ""2022-12"": 0.0, ""2023-01"": 0.0, ""2023-02"": 0.0, ""2023-03"": 0.0, ""2023-04"": 0.0, ""2023-05"": 0.0, ""2023-06"": 0.0, ""2023-07"": 0.0, ""2023-08"": 0.0, ""2023-09"": 0.0, ""2023-10"": 0.0, ""2023-11"": 0.0, ""2023-12"": 0.0, ""2024-01"": 0.0, ""2024-02"": -0.0084, ""2024-03"": 0.0, ""2024-04"": 0.0, ""2024-05"": 0.0, ""2024-06"": 0.0, ""2024-07"": 0.0324, ""2024-08"": 0.0, ""2024-09"": -0.02, ""2024-10"": 0.0324, ""2024-11"": 0.0324, ""2024-12"": 0.0}","{""2022"": 0.0, ""2023"": 0.0, ""2024"": 0.0695}",c1_meta_labeled_donchian__ETHUSDT__4h.parquet
c1_meta_labeled_donchian,SOLUSDT,4h,6570,21,0.415,-0.51,-0.23,-0.0906,-0.1302,-0.696,6.774,-0.013,0.0,545,302,0.0,0.0,1,"{""weak_uptrend"": -1.7694025174656378, ""strong_uptrend"": -0.5431585347125304, ""strong_downtrend"": 0.0, ""weak_downtrend"": 0.9575546085102509}",-0.0345,0.162,0.548,0.0,1.7843845568994423,439.02,2,"{""gate_mdd"": true, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": false, ""gate_rho_to_bh"": true, ""gate_maker_fill"": false}",0.381,0.945,418.07,-272.12,0.0,"{""2022-01"": 0.0, ""2022-02"": 0.0, ""2022-03"": 0.0, ""2022-04"": 0.0, ""2022-05"": 0.0, ""2022-06"": 0.0, ""2022-07"": 0.0, ""2022-08"": 0.0, ""2022-09"": 0.0, ""2022-10"": 0.0, ""2022-11"": 0.0, ""2022-12"": 0.0, ""2023-01"": 0.0, ""2023-02"": 0.0, ""2023-03"": 0.0, ""2023-04"": 0.0, ""2023-05"": 0.0, ""2023-06"": 0.0, ""2023-07"": 0.0, ""2023-08"": 0.0, ""2023-09"": 0.0, ""2023-10"": 0.0, ""2023-11"": 0.0, ""2023-12"": 0.0, ""2024-01"": 0.0628, ""2024-02"": -0.0091, ""2024-03"": 0.0, ""2024-04"": 0.0, ""2024-05"": -0.026, ""2024-06"": -0.026, ""2024-07"": 0.0781, ""2024-08"": 0.0, ""2024-09"": -0.026, ""2024-10"": -0.0143, ""2024-11"": -0.0514, ""2024-12"": 0.0}","{""2022"": 0.0, ""2023"": 0.0, ""2024"": -0.0193}",c1_meta_labeled_donchian__SOLUSDT__4h.parquet
d1_htf_regime_ltf_pullback,BTCUSDT,15m,55584,8,-0.109,0.467,0.048,0.0159,-0.0232,0.685,0.531,0.03,0.0,3769,1951,1.0,0.0,1,"{""strong_downtrend"": 0.0, ""weak_downtrend"": 0.0, ""strong_uptrend"": 3.2121163142739912, ""weak_uptrend"": -0.8117523143652321}",0.001,0.07,0.688,0.0,0.8156844179874292,159.41,3,"{""gate_mdd"": true, ""gate_calmar"": false, ""gate_dsr"": false, ""gate_dsr_prob"": false, ""gate_regimes"": false, ""gate_rho_to_bh"": true, ""gate_maker_fill"": true}",0.625,1.119,67.54,-100.57,0.0,"{""2023-06"": 0.0, ""2023-07"": 0.0, ""2023-08"": 0.0, ""2023-09"": 0.0, ""2023-10"": 0.0, ""2023-11"": 0.0, ""2023-12"": -0.0101, ""2024-01"": 0.0, ""2024-02"": 0.0, ""2024-03"": 0.0, ""2024-04"": 0.0024, ""2024-05"": 0.0, ""2024-06"": 0.005, ""2024-07"": 0.0, ""2024-08"": 0.0, ""2024-09"": 0.0, ""2024-10"": 0.0, ""2024-11"": 0.0032, ""2024-12"": 0.003}","{""2023"": -0.0101, ""2024"": 0.0138}",d1_htf_regime_ltf_pullback__BTCUSDT__15m.parquet
