label,n_trades,sharpe,cagr,max_dd,calmar,win_rate,final_equity,symbol,tf,fn,module,per_year
SMC_BOS_BTC_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,BTCUSDT,4h,sig_bos_continuation,run_v38_smc.py,
SMC_BOS_ETH_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,ETHUSDT,4h,sig_bos_continuation,run_v38_smc.py,
SMC_BOS_SOL_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,SOLUSDT,4h,sig_bos_continuation,run_v38_smc.py,
SMC_BOS_AVAX_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,AVAXUSDT,4h,sig_bos_continuation,run_v38_smc.py,
SMC_BOS_LINK_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,LINKUSDT,4h,sig_bos_continuation,run_v38_smc.py,
SMC_CHOCH_BTC_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,BTCUSDT,4h,sig_choch_reversal,run_v38_smc.py,
SMC_CHOCH_ETH_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,ETHUSDT,4h,sig_choch_reversal,run_v38_smc.py,
SMC_CHOCH_SOL_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,SOLUSDT,4h,sig_choch_reversal,run_v38_smc.py,
SMC_CHOCH_AVAX_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,AVAXUSDT,4h,sig_choch_reversal,run_v38_smc.py,
SMC_CHOCH_LINK_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,LINKUSDT,4h,sig_choch_reversal,run_v38_smc.py,
SMC_FVG_BTC_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,BTCUSDT,4h,sig_fvg_entry,run_v38_smc.py,
SMC_FVG_ETH_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,ETHUSDT,4h,sig_fvg_entry,run_v38_smc.py,
SMC_FVG_SOL_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,SOLUSDT,4h,sig_fvg_entry,run_v38_smc.py,
SMC_FVG_AVAX_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,AVAXUSDT,4h,sig_fvg_entry,run_v38_smc.py,
SMC_FVG_LINK_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,LINKUSDT,4h,sig_fvg_entry,run_v38_smc.py,
SMC_OB_BTC_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,BTCUSDT,4h,sig_ob_touch,run_v38_smc.py,
SMC_OB_ETH_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,ETHUSDT,4h,sig_ob_touch,run_v38_smc.py,
SMC_OB_SOL_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,SOLUSDT,4h,sig_ob_touch,run_v38_smc.py,
SMC_OB_AVAX_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,AVAXUSDT,4h,sig_ob_touch,run_v38_smc.py,
SMC_OB_LINK_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,LINKUSDT,4h,sig_ob_touch,run_v38_smc.py,
SMC_CONF_BTC_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,BTCUSDT,4h,sig_smc_confluence,run_v38_smc.py,
SMC_CONF_ETH_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,ETHUSDT,4h,sig_smc_confluence,run_v38_smc.py,
SMC_CONF_SOL_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,SOLUSDT,4h,sig_smc_confluence,run_v38_smc.py,
SMC_CONF_AVAX_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,AVAXUSDT,4h,sig_smc_confluence,run_v38_smc.py,
SMC_CONF_LINK_4h,0,0.0,0.0,0.0,0.0,0.0,10000.0,LINKUSDT,4h,sig_smc_confluence,run_v38_smc.py,
BB_AVAX_4h,203,1.177,0.4299,-0.386,1.114,0.36,65256.76,AVAXUSDT,4h,sig_bbbreak,run_v38b_smc_mixes.py,"{2021: {'sharpe': np.float64(2.514), 'return': 1.333}, 2022: {'sharpe': np.float64(1.157), 'return': 0.3841}, 2023: {'sharpe': np.float64(1.254), 'return': 0.4952}, 2024: {'sharpe': np.float64(-0.543), 'return': -0.2371}, 2025: {'sharpe': np.float64(1.59), 'return': 0.6559}, 2026: {'sharpe': np.float64(0.92), 'return': 0.0615}}"
BB_LINK_4h,215,0.438,0.0972,-0.5364,0.181,0.302,16270.52,LINKUSDT,4h,sig_bbbreak,run_v38b_smc_mixes.py,"{2021: {'sharpe': np.float64(2.125), 'return': 1.1181}, 2022: {'sharpe': np.float64(1.365), 'return': 0.5237}, 2023: {'sharpe': np.float64(-0.839), 'return': -0.311}, 2024: {'sharpe': np.float64(-0.416), 'return': -0.1792}, 2025: {'sharpe': np.float64(0.176), 'return': 0.0039}, 2026: {'sharpe': np.float64(-1.286), 'return': -0.1109}}"
BB_XRP_4h,230,0.462,0.1074,-0.7008,0.153,0.274,17079.08,XRPUSDT,4h,sig_bbbreak,run_v38b_smc_mixes.py,"{2021: {'sharpe': np.float64(1.455), 'return': 0.5872}, 2022: {'sharpe': np.float64(0.757), 'return': 0.2202}, 2023: {'sharpe': np.float64(-0.357), 'return': -0.1511}, 2024: {'sharpe': np.float64(-0.291), 'return': -0.1706}, 2025: {'sharpe': np.float64(0.809), 'return': 0.2748}, 2026: {'sharpe': np.float64(-0.005), 'return': -0.0154}}"
