label,n,sharpe,cagr,mdd,calmar,wr,min_yr,pos_yrs,pf,coin,sig,exit,n_long_sig,n_short_sig
,180,0.039,-0.0253,-0.654,-0.039,0.272,-0.3478,3,1.04,ETH,MFI_EX,baseline,136,153
,179,-0.07,-0.0749,-0.7084,-0.106,0.218,-0.4718,3,0.99,ETH,MFI_EX,V41,136,153
,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,ETH,VWAP_BF,baseline,2,2
,212,0.657,0.173,-0.5596,0.309,0.34,-0.0992,4,1.29,ETH,VP_ROT,baseline,515,543
,222,-0.023,-0.0863,-0.7014,-0.123,0.239,-0.4386,3,0.98,ETH,VP_ROT,V41,515,543
,165,0.259,0.0342,-0.4913,0.07,0.309,-0.2066,3,1.11,ETH,SVD_DIV,baseline,305,328
,175,-0.047,-0.0677,-0.6312,-0.107,0.251,-0.2738,3,0.98,ETH,SVD_DIV,V41,305,328
,178,-0.271,-0.109,-0.7307,-0.149,0.292,-0.4074,2,0.88,BTC,MFI_EX,baseline,131,154
,176,0.133,-0.0063,-0.6562,-0.01,0.301,-0.4021,4,1.07,BTC,MFI_EX,V41,131,154
,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,BTC,VWAP_BF,baseline,3,0
,229,-0.118,-0.0889,-0.6568,-0.135,0.301,-0.2462,2,0.96,BTC,VP_ROT,baseline,539,638
,227,0.024,-0.0559,-0.6166,-0.091,0.273,-0.258,3,1.01,BTC,VP_ROT,V41,539,638
,169,0.022,-0.0292,-0.533,-0.055,0.325,-0.3588,4,1.0,BTC,SVD_DIV,baseline,308,352
,171,0.38,0.0711,-0.5681,0.125,0.333,-0.4233,4,1.17,BTC,SVD_DIV,V41,308,352
,197,-0.356,-0.1305,-0.5993,-0.218,0.259,-0.4657,2,0.88,SOL,MFI_EX,baseline,148,172
,199,-0.088,-0.0727,-0.6033,-0.12,0.251,-0.298,2,0.99,SOL,MFI_EX,V41,148,172
,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,SOL,VWAP_BF,baseline,0,1
,219,-0.502,-0.1737,-0.7589,-0.229,0.288,-0.533,2,0.81,SOL,VP_ROT,baseline,457,496
,244,-0.575,-0.2184,-0.7507,-0.291,0.27,-0.57,3,0.78,SOL,VP_ROT,V41,457,496
,157,0.34,0.056,-0.3509,0.16,0.318,-0.2196,4,1.15,SOL,SVD_DIV,baseline,281,269
,166,-0.058,-0.0594,-0.5634,-0.105,0.289,-0.2957,4,0.96,SOL,SVD_DIV,V41,281,269
,198,-0.491,-0.1575,-0.7203,-0.219,0.247,-0.518,2,0.83,AVAX,MFI_EX,baseline,161,180
,206,-0.35,-0.1409,-0.7576,-0.186,0.214,-0.5051,2,0.89,AVAX,MFI_EX,V41,161,180
,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,AVAX,VWAP_BF,baseline,1,0
,222,0.11,-0.0127,-0.4802,-0.026,0.302,-0.1998,3,1.06,AVAX,VP_ROT,baseline,502,446
,237,0.003,-0.0561,-0.6649,-0.084,0.257,-0.3451,3,1.02,AVAX,VP_ROT,V41,502,446
,163,0.677,0.1548,-0.392,0.395,0.337,-0.2275,5,1.33,AVAX,SVD_DIV,baseline,362,247
,168,0.031,-0.03,-0.699,-0.043,0.274,-0.5234,4,1.03,AVAX,SVD_DIV,V41,362,247
,192,-0.549,-0.162,-0.6761,-0.24,0.307,-0.2442,1,0.79,DOGE,MFI_EX,baseline,161,159
,200,-0.762,-0.2472,-0.8104,-0.305,0.265,-0.4515,1,0.7,DOGE,MFI_EX,V41,161,159
,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,DOGE,VWAP_BF,baseline,1,0
,234,-0.774,-0.2353,-0.8264,-0.285,0.286,-0.5021,1,0.74,DOGE,VP_ROT,baseline,654,442
,236,-0.263,-0.1411,-0.8095,-0.174,0.267,-0.5863,3,0.89,DOGE,VP_ROT,V41,654,442
,166,-0.29,-0.0994,-0.5363,-0.185,0.289,-0.361,1,0.87,DOGE,SVD_DIV,baseline,366,246
,167,-0.444,-0.155,-0.6349,-0.244,0.246,-0.4028,1,0.81,DOGE,SVD_DIV,V41,366,246
,188,-0.169,-0.0822,-0.6469,-0.127,0.314,-0.4367,3,0.94,LINK,MFI_EX,baseline,168,154
,198,0.054,-0.0388,-0.6764,-0.057,0.222,-0.3333,3,1.05,LINK,MFI_EX,V41,168,154
,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,LINK,VWAP_BF,baseline,1,5
,222,0.191,0.0111,-0.488,0.023,0.302,-0.2824,3,1.08,LINK,VP_ROT,baseline,524,537
,232,0.292,0.039,-0.64,0.061,0.241,-0.3436,3,1.12,LINK,VP_ROT,V41,524,537
,159,0.628,0.1447,-0.3912,0.37,0.396,-0.2433,5,1.33,LINK,SVD_DIV,baseline,322,341
,176,-0.175,-0.1088,-0.6578,-0.165,0.239,-0.2854,2,0.93,LINK,SVD_DIV,V41,322,341
