coin,z_long,z_short,atr_stretch,n_signals,n_long,n_short,is_sharpe,is_cagr,is_mdd,is_wr,is_n_trades,oos_sharpe,oos_cagr,oos_mdd,oos_wr,oos_n_trades,verdict
BTC,-1.5,1.5,1.5,112,30,82,-0.514,-0.095,-0.2244,32.0,25,1.779,0.3535,-0.0939,60.87,23,OOS_decent
BTC,-2.0,2.0,1.5,78,14,64,-0.582,-0.0976,-0.1785,30.0,20,1.508,0.245,-0.0736,58.82,17,fail
BTC,-2.5,2.5,1.5,60,9,51,0.33,0.0411,-0.1517,33.33,18,0.539,0.0513,-0.0784,50.0,10,fail
BTC,-1.5,1.5,1.0,166,51,115,-0.53,-0.1124,-0.2311,35.48,31,0.639,0.1164,-0.1859,42.42,33,fail
BTC,-1.5,1.5,2.0,78,17,61,-0.49,-0.0861,-0.2052,30.0,20,1.837,0.2924,-0.0658,66.67,15,fail
BTC,-2.0,2.0,1.0,107,24,83,-0.744,-0.1357,-0.1781,33.33,24,0.758,0.1294,-0.1109,44.0,25,fail
BTC,-2.0,2.0,2.0,55,9,46,-0.761,-0.117,-0.1624,25.0,16,1.683,0.2269,-0.0545,66.67,12,fail
BTC,-1.0,1.0,1.5,176,64,112,0.771,0.1622,-0.2164,40.0,40,1.708,0.3892,-0.1293,59.38,32,OOS_decent
BTC,-1.0,1.0,1.0,269,110,159,0.002,-0.0295,-0.2242,39.58,48,0.278,0.0382,-0.1908,42.22,45,fail
ETH,-1.5,1.5,1.5,173,91,82,-2.274,-0.3418,-0.3421,23.33,30,-0.877,-0.1842,-0.2725,37.21,43,fail
ETH,-2.0,2.0,1.5,111,50,61,-0.873,-0.137,-0.183,30.0,20,-0.886,-0.1629,-0.2336,34.38,32,fail
ETH,-2.5,2.5,1.5,62,24,38,-1.74,-0.2062,-0.2203,21.43,14,-0.966,-0.1276,-0.1908,27.78,18,fail
ETH,-1.5,1.5,1.0,243,125,118,-1.547,-0.2992,-0.2916,28.21,39,-0.735,-0.1739,-0.3011,41.51,53,fail
ETH,-1.5,1.5,2.0,113,59,54,-1.705,-0.2471,-0.2793,23.81,21,-1.165,-0.204,-0.2963,36.36,33,fail
ETH,-2.0,2.0,1.0,157,73,84,-1.261,-0.2172,-0.2476,26.92,26,-0.425,-0.1024,-0.2627,45.0,40,fail
ETH,-2.0,2.0,2.0,76,33,43,-1.401,-0.1856,-0.2571,20.0,15,-2.118,-0.2794,-0.3548,25.0,24,fail
ETH,-1.0,1.0,1.5,296,164,132,-2.101,-0.3928,-0.3835,27.08,48,-1.242,-0.2856,-0.3806,36.07,61,fail
ETH,-1.0,1.0,1.0,420,227,193,-1.66,-0.3691,-0.3749,30.65,62,-1.319,-0.3152,-0.4521,37.84,74,fail
SOL,-1.5,1.5,1.5,182,90,92,-1.574,-0.2744,-0.2673,33.33,27,-1.277,-0.237,-0.3811,20.0,40,fail
SOL,-2.0,2.0,1.5,121,59,62,-0.315,-0.0699,-0.1572,40.91,22,-2.452,-0.3023,-0.4273,14.81,27,fail
SOL,-2.5,2.5,1.5,82,42,40,-0.067,-0.0213,-0.1343,43.75,16,-1.581,-0.2018,-0.3182,26.09,23,fail
SOL,-1.5,1.5,1.0,244,122,122,-1.57,-0.3054,-0.2977,28.57,35,-1.227,-0.263,-0.4134,22.45,49,fail
SOL,-1.5,1.5,2.0,123,66,57,-0.934,-0.1631,-0.1886,34.78,23,-0.74,-0.1354,-0.2741,33.33,30,fail
SOL,-2.0,2.0,1.0,154,75,79,-0.664,-0.1275,-0.2045,40.0,25,-1.856,-0.275,-0.3977,18.75,32,fail
SOL,-2.0,2.0,2.0,84,47,37,0.045,-0.0046,-0.157,37.5,16,-1.26,-0.1727,-0.2839,27.27,22,fail
SOL,-1.0,1.0,1.5,316,158,158,-3.069,-0.5073,-0.501,23.81,42,-0.607,-0.1665,-0.3411,32.26,62,fail
SOL,-1.0,1.0,1.0,461,235,226,-2.867,-0.5237,-0.5254,20.75,53,0.111,-0.0096,-0.2456,38.36,73,fail
AVAX,-1.5,1.5,1.5,216,129,87,0.706,0.1336,-0.2204,40.62,32,0.352,0.0535,-0.3262,34.78,46,fail
AVAX,-2.0,2.0,1.5,143,81,62,-0.425,-0.0802,-0.1898,28.57,21,0.33,0.0459,-0.265,36.36,33,fail
AVAX,-2.5,2.5,1.5,105,63,42,-0.328,-0.0622,-0.1582,30.0,20,0.263,0.0326,-0.2442,40.62,32,fail
AVAX,-1.5,1.5,1.0,298,173,125,0.287,0.0404,-0.2255,40.48,42,0.791,0.1761,-0.2691,38.6,57,fail
AVAX,-1.5,1.5,2.0,140,78,62,1.23,0.2619,-0.1635,50.0,28,0.695,0.1283,-0.2943,41.67,36,fail
AVAX,-2.0,2.0,1.0,193,104,89,-0.67,-0.1347,-0.2255,36.67,30,-0.162,-0.049,-0.3295,33.33,39,fail
AVAX,-2.0,2.0,2.0,96,52,44,-0.08,-0.0245,-0.1289,35.29,17,0.302,0.0375,-0.2363,37.04,27,fail
AVAX,-1.0,1.0,1.5,334,200,134,0.629,0.1331,-0.1909,41.3,46,0.462,0.0888,-0.2403,36.07,61,fail
AVAX,-1.0,1.0,1.0,493,283,210,0.888,0.2423,-0.1803,44.44,63,0.726,0.181,-0.1791,38.67,75,fail
LINK,-1.5,1.5,1.5,174,88,86,1.014,0.2137,-0.1961,41.94,31,0.235,0.0279,-0.1546,46.15,39,fail
LINK,-2.0,2.0,1.5,127,61,66,0.138,0.0089,-0.1796,39.13,23,0.369,0.0534,-0.1623,44.83,29,fail
LINK,-2.5,2.5,1.5,99,46,53,-0.598,-0.0972,-0.1538,40.0,20,0.727,0.1153,-0.1272,48.0,25,fail
LINK,-1.5,1.5,1.0,248,118,130,0.672,0.1399,-0.2164,36.84,38,-0.013,-0.0309,-0.2134,42.0,50,fail
LINK,-1.5,1.5,2.0,114,57,57,1.143,0.2129,-0.1666,47.83,23,-0.096,-0.032,-0.1741,42.86,28,fail
LINK,-2.0,2.0,1.0,173,76,97,-0.494,-0.1121,-0.2239,33.33,30,0.935,0.2402,-0.1453,45.95,37,fail
