sid,asset,offset,fire_us,pnl,won,vwap,slug
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779893100000000,4.9,0,0.5,btc-updown-15m-1779892200
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779894000000000,1.062650602409639,0,0.8217821782178217,btc-updown-15m-1779893100
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779896700000000,4.9,0,0.5,btc-updown-15m-1779895800
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779896700000000,12.599999999999996,0,0.28,btc-updown-15m-1779895800
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779898500000000,-4.999999999999999,0,0.61,eth-updown-15m-1779897600
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779898500000000,0.5444444444444443,1,0.9,btc-updown-15m-1779897600
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779899400000000,0.04949494949494898,1,0.9900000000000001,btc-updown-15m-1779898500
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779900300000000,0.10000000000000009,1,0.98,btc-updown-15m-1779899400
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779900300000000,-5.0,0,0.67,btc-updown-15m-1779899400
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779902100000000,0.10000000000000009,1,0.98,btc-updown-15m-1779901200
poly_sniper_v5_sol_15m_rfaged_trstack_late,SOL,480,1779902100000000,0.15154639175257745,1,0.97,sol-updown-15m-1779901200
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1779903000000000,-5.0,0,0.6,eth-updown-15m-1779902100
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779903000000000,-5.0,0,0.5865744054720433,eth-updown-15m-1779902100
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779903900000000,3.5482758620689663,1,0.58,eth-updown-15m-1779903000
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779904800000000,4.009090909090908,1,0.55,btc-updown-15m-1779903900
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1779906600000000,-5.0,0,0.52,eth-updown-15m-1779905700
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1779910200000000,-5.0,0,0.55,eth-updown-15m-1779909300
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779910200000000,-5.0,0,0.5,eth-updown-15m-1779909300
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779912000000000,-5.0,0,0.64,eth-updown-15m-1779911100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779914700000000,1.1493827160493824,1,0.81,btc-updown-15m-1779913800
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779915600000000,3.543613559322036,1,0.5803202580949757,eth-updown-15m-1779914700
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779915600000000,-5.0,0,0.49,btc-updown-15m-1779914700
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779916500000000,0.10000000000000009,1,0.98,btc-updown-15m-1779915600
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779917400000000,0.7321839080459763,1,0.8700000000000001,btc-updown-15m-1779916500
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1779918300000000,3.0032258064516126,1,0.62,eth-updown-15m-1779917400
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779919200000000,0.20416666666666744,1,0.9599999999999999,btc-updown-15m-1779918300
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779920100000000,-5.0,0,0.5512896239417209,eth-updown-15m-1779919200
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1779920100000000,-5.0,0,0.52,eth-updown-15m-1779919200
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779920100000000,22.866666666666664,1,0.17647058823529413,btc-updown-15m-1779919200
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779921900000000,0.15154639175257745,1,0.97,btc-updown-15m-1779921000
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779922800000000,0.20416666666666744,1,0.9599999999999999,btc-updown-15m-1779921900
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1779923700000000,-5.0,0,0.6,eth-updown-15m-1779922800
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779923700000000,-5.0,0,0.23715415019762842,btc-updown-15m-1779922800
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779925500000000,-5.0,0,0.45999999999999996,eth-updown-15m-1779924600
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779925500000000,0.368817204301075,1,0.93,btc-updown-15m-1779924600
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779928200000000,-5.0,0,0.26,btc-updown-15m-1779927300
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779930000000000,4.784705882352942,1,0.5059523809523809,eth-updown-15m-1779929100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779930900000000,0.7976744186046505,1,0.8600000000000001,btc-updown-15m-1779930000
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779932700000000,9.452519999999998,1,0.34140346085565465,btc-updown-15m-1779931800
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779933600000000,-5.0,0,0.29,btc-updown-15m-1779932700
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1779935400000000,-5.0,0,0.52,eth-updown-15m-1779934500
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779935400000000,0.15154639175257745,1,0.97,btc-updown-15m-1779934500
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779937200000000,-5.0,0,0.13149984971445747,btc-updown-15m-1779936300
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779939000000000,3.8499999999999988,1,0.56,eth-updown-15m-1779938100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779940800000000,0.48461538461538445,1,0.91,btc-updown-15m-1779939900
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1779941700000000,4.9,1,0.5,eth-updown-15m-1779940800
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779953400000000,4.707843137254903,1,0.51,eth-updown-15m-1779952500
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779954300000000,3.1327868852459013,1,0.61,eth-updown-15m-1779953400
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779955200000000,-5.0,0,0.26,btc-updown-15m-1779954300
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779957900000000,-5.0,0,0.65,eth-updown-15m-1779957000
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779959700000000,7.35,1,0.4,btc-updown-15m-1779958800
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6,SOL,840,1779962400000000,-5.0,0,0.6478209658421673,sol-updown-15m-1779961500
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779965100000000,4.9,1,0.5,eth-updown-15m-1779964200
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6,SOL,840,1779965100000000,-5.0,0,0.68,sol-updown-15m-1779964200
poly_sniper_v5_sol_15m_rfaged_trstack_late,SOL,480,1779966900000000,-5.0,0,0.75,sol-updown-15m-1779966000
poly_sniper_v5_sol_15m_rfaged_trstack_late_vL,SOL,480,1779966900000000,-5.0,0,0.75,sol-updown-15m-1779966000
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6,SOL,480,1779966900000000,-5.0,0,0.75,sol-updown-15m-1779966000
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6,SOL,720,1779967800000000,0.2578947368421055,1,0.95,sol-updown-15m-1779966900
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779968700000000,-5.0,0,0.53,eth-updown-15m-1779967800
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6,SOL,480,1779969600000000,1.664693333333333,1,0.7464171974522293,sol-updown-15m-1779968700
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6,SOL,600,1779969600000000,1.2249999999999999,1,0.8,sol-updown-15m-1779968700
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779971400000000,-5.0,0,0.6023976023976024,btc-updown-15m-1779970500
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1779974100000000,-5.0,0,0.57,eth-updown-15m-1779973200
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779974100000000,-5.0,0,0.69,eth-updown-15m-1779973200
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779975000000000,3.0032258064516126,1,0.62,eth-updown-15m-1779974100
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779977700000000,4.707843137254903,1,0.51,btc-updown-15m-1779976800
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779981300000000,-5.0,0,0.53,eth-updown-15m-1779980400
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779983100000000,6.495348837209302,1,0.43000000000000005,btc-updown-15m-1779982200
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779984000000000,-5.0,0,0.62,eth-updown-15m-1779983100
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1779986700000000,3.1327868852459013,1,0.61,eth-updown-15m-1779985800
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779991200000000,-5.0,0,0.22,btc-updown-15m-1779990300
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779993000000000,0.3127659574468082,1,0.9400000000000001,btc-updown-15m-1779992100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1779997500000000,0.10000000000000009,1,0.98,btc-updown-15m-1779996600
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1779997500000000,0.10000000000000009,1,0.98,btc-updown-15m-1779996600
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1779998400000000,-5.0,0,0.9599999999999999,btc-updown-15m-1779997500
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780002000000000,0.942083333333334,1,0.838741887169246,btc-updown-15m-1780001100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780002000000000,0.942083333333334,1,0.838741887169246,btc-updown-15m-1780001100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780008300000000,0.3518440860215051,1,0.93,btc-updown-15m-1780007400
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780008300000000,0.3518440860215051,1,0.93,btc-updown-15m-1780007400
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780009200000000,8.293013513513515,1,0.37,btc-updown-15m-1780008300
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780009200000000,8.293013513513515,1,0.37,btc-updown-15m-1780008300
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780009200000000,0.09504081632653069,1,0.98,btc-updown-15m-1780008300
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780011900000000,0.09504081632653069,1,0.98,btc-updown-15m-1780011000
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780011900000000,0.09504081632653069,1,0.98,btc-updown-15m-1780011000
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780012800000000,0.047005050505050015,1,0.9900000000000001,btc-updown-15m-1780011900
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1780013700000000,1.33325641025641,1,0.78,eth-updown-15m-1780012800
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780016400000000,0.09504081632653069,1,0.98,btc-updown-15m-1780015500
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780016400000000,0.09504081632653069,1,0.98,btc-updown-15m-1780015500
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780017300000000,-4.999999999999999,0,0.06349310011410617,btc-updown-15m-1780016400
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780018200000000,0.09504081632653069,1,0.98,btc-updown-15m-1780017300
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780018200000000,0.09504081632653069,1,0.98,btc-updown-15m-1780017300
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780023600000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780022700
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780023600000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780022700
poly_sniper_v5_btc_15m_ts_trstack_off600_down,BTC,600,1780023600000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780022700
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780025400000000,0.7649534883720924,1,0.8600000000000001,btc-updown-15m-1780024500
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780025400000000,0.7649534883720924,1,0.8600000000000001,btc-updown-15m-1780024500
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780026300000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780025400
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780026300000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780025400
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1780027200000000,3.93340909090909,1,0.55,eth-updown-15m-1780026300
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780028100000000,0.579477528089887,1,0.8900000000000001,btc-updown-15m-1780027200
poly_sniper_v5_btc_15m_ts_trstack_off600_down,BTC,600,1780028100000000,0.579477528089887,1,0.8900000000000001,btc-updown-15m-1780027200
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780028100000000,0.579477528089887,1,0.8900000000000001,btc-updown-15m-1780027200
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1780034400000000,2.1378768115942033,1,0.69,eth-updown-15m-1780033500
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780035300000000,-5.0,0,0.36,btc-updown-15m-1780034400
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780036200000000,-5.0,0,0.01,btc-updown-15m-1780035300
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1780036200000000,-5.0,0,0.6517874777799723,eth-updown-15m-1780035300
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780038900000000,-4.782608695652174,0,0.69,btc-updown-15m-1780038000
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780038900000000,-5.0,0,0.69,btc-updown-15m-1780038000
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780039800000000,3.3310762711864412,1,0.59,btc-updown-15m-1780038900
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1780039800000000,-5.0,0,0.4799999999999999,eth-updown-15m-1780038900
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780039800000000,3.3310762711864412,1,0.59,btc-updown-15m-1780038900
poly_sniper_v5_sol_15m_btc_adx_btcvollow_v7,SOL,60,1780040700000000,0.579477528089887,1,0.8900000000000001,sol-updown-15m-1780039800
poly_sniper_v5_sol_15m_hod_eu_off60_240_rf_tr_vwap80_v6,SOL,60,1780040700000000,0.579477528089887,1,0.8900000000000001,sol-updown-15m-1780039800
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1780041600000000,-5.0,0,0.5428988826153907,eth-updown-15m-1780040700
poly_sniper_v5_sol_15m_btc_adx_btcvollow_v7,SOL,60,1780042500000000,1.4130064935064934,1,0.77,sol-updown-15m-1780041600
poly_sniper_v5_sol_15m_hod_eu_off60_240_rf_tr_vwap80_v6,SOL,60,1780042500000000,1.4130064935064934,1,0.77,sol-updown-15m-1780041600
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1780047000000000,3.473689655172415,1,0.58,eth-updown-15m-1780046100
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6,SOL,840,1780048800000000,-5.0,0,0.74,sol-updown-15m-1780047900
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780049700000000,0.24565789473684235,1,0.95,btc-updown-15m-1780048800
poly_sniper_v5_btc_15m_ts_trstack_off600_down,BTC,600,1780049700000000,0.24565789473684235,1,0.95,btc-updown-15m-1780048800
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780049700000000,0.24565789473684235,1,0.95,btc-updown-15m-1780048800
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6,SOL,720,1780050600000000,0.4067826086956525,1,0.9199999999999999,sol-updown-15m-1780049700
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780053300000000,-2.53968253968254,0,0.63,btc-updown-15m-1780052400
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780053300000000,-5.0,0,0.63,btc-updown-15m-1780052400
poly_sniper_v5_sol_15m_hod_eu_tightrib_rf_tr_vwap80_v6,SOL,60,1780054200000000,-5.0,0,0.58,sol-updown-15m-1780053300
poly_sniper_v5_sol_15m_hod_eu_off60_240_rf_tr_vwap80_v6,SOL,60,1780054200000000,-5.0,0,0.58,sol-updown-15m-1780053300
poly_sniper_v5_sol_15m_hod_eu_off60_240_rf_tr_vwap30_70_v6,SOL,60,1780054200000000,-5.0,0,0.58,sol-updown-15m-1780053300
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780055100000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780054200
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780055100000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780054200
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1780056000000000,-5.0,0,0.4799999999999999,eth-updown-15m-1780055100
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780056000000000,-5.0,0,0.09,btc-updown-15m-1780055100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780058700000000,0.7649534883720924,1,0.8600000000000001,btc-updown-15m-1780057800
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780058700000000,0.7649534883720924,1,0.8600000000000001,btc-updown-15m-1780057800
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780064100000000,0.24565789473684235,1,0.95,btc-updown-15m-1780063200
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780064100000000,0.24565789473684235,1,0.95,btc-updown-15m-1780063200
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780065900000000,2.931516129032258,1,0.62,btc-updown-15m-1780065000
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780065900000000,2.931516129032258,1,0.62,btc-updown-15m-1780065000
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1780068600000000,3.0602213114754098,1,0.61,eth-updown-15m-1780067700
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780069500000000,-5.0,0,0.07366482504604052,btc-updown-15m-1780068600
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780071300000000,1.1063395061728392,1,0.81,btc-updown-15m-1780070400
poly_sniper_v5_btc_15m_btceth_diverg_stoch_volcontr_v8,BTC,720,1780074900000000,0.19433333333333405,1,0.9599999999999999,btc-updown-15m-1780074000
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,30,1780074900000000,4.447384615384615,1,0.52,eth-updown-15m-1780074000
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780074900000000,1.2556139240506328,1,0.79,btc-updown-15m-1780074000
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780075800000000,-5.0,0,0.6429277942631059,btc-updown-15m-1780074900
poly_sniper_v5_btc_15m_regime_trstack_off480_up,BTC,480,1780076700000000,-5.0,0,0.82,btc-updown-15m-1780075800
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780078500000000,1.0345609756097565,1,0.82,btc-updown-15m-1780077600
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780080300000000,1.5791666666666668,1,0.75,btc-updown-15m-1780079400
poly_sniper_v5_eth_15m_trstack_vwap_offearly,ETH,60,1780082100000000,-5.0,0,0.55,eth-updown-15m-1780081200
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780083000000000,0.3518440860215051,1,0.93,btc-updown-15m-1780082100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780083000000000,0.3518440860215051,1,0.93,btc-updown-15m-1780082100
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780083000000000,0.3518440860215051,1,0.93,btc-updown-15m-1780082100
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780084800000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780083900
poly_sniper_v5_btc_15m_mpskew_trstack_off600_down,BTC,600,1780084800000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780083900
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780084800000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780083900
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780084800000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780083900
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780084800000000,0.2981489361702125,1,0.9400000000000001,btc-updown-15m-1780083900
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780085700000000,0.09504081632653069,1,0.98,btc-updown-15m-1780084800
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780086600000000,0.19433333333333405,1,0.9599999999999999,btc-updown-15m-1780085700
poly_sniper_v5_btc_15m_btceth_diverg_stoch_volcontr_v8,BTC,720,1780089300000000,0.09504081632653069,1,0.98,btc-updown-15m-1780088400
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780091100000000,0.5205555555555553,1,0.9,btc-updown-15m-1780090200
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780092900000000,-5.0,0,0.55,btc-updown-15m-1780092000
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780094700000000,0.19433333333333405,1,0.9599999999999999,btc-updown-15m-1780093800
poly_sniper_v5_btc_15m_mpskew_trstack_off600_down,BTC,600,1780094700000000,0.19433333333333405,1,0.9599999999999999,btc-updown-15m-1780093800
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780094700000000,0.19433333333333405,1,0.9599999999999999,btc-updown-15m-1780093800
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780094700000000,0.19433333333333405,1,0.9599999999999999,btc-updown-15m-1780093800
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780094700000000,0.19433333333333405,1,0.9599999999999999,btc-updown-15m-1780093800
poly_sniper_v5_btc_15m_ema200_mpskew_rf_off600_down_v6,BTC,600,1780097400000000,0.4630054945054944,1,0.91,btc-updown-15m-1780096500
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780097400000000,0.4630054945054944,1,0.91,btc-updown-15m-1780096500
poly_sniper_v5_btc_15m_ema50_ema800_off600_down_H,BTC,600,1780097400000000,0.4630054945054944,1,0.91,btc-updown-15m-1780096500
poly_sniper_v5_btc_15m_ema50_ema800_off600_down,BTC,600,1780097400000000,0.4630054945054944,1,0.91,btc-updown-15m-1780096500
poly_sniper_v5_btc_15m_ema800_ribslp_hawkes_off840_v6,BTC,840,1780098300000000,0.8298529411764708,1,0.85,btc-updown-15m-1780097400
poly_sniper_v5_btc_15m_vwapprem_ema50_mpskew_off600_v6,BTC,600,1780100100000000,0.4067826086956525,1,0.9199999999999999,btc-updown-15m-1780099200
