sleeve,coin,entry_ts,exit_ts,direction,entry_price,exit_price,bars_held,reason,ret_pct,paper_pnl_usd,status
VP_LINK,LINK,2026-04-09T20:00:00+00:00,2026-04-13T20:00:00+00:00,SHORT,9.0005,9.3481,24,SL,-3.094,-7.73,CLOSED
MFI_SOL,SOL,2026-04-10T04:00:00+00:00,2026-04-10T12:00:00+00:00,SHORT,82.8321,85.2634,2,SL,-3.126,-7.82,CLOSED
MFI_ETH,ETH,2026-04-12T00:00:00+00:00,2026-04-13T20:00:00+00:00,SHORT,2283.4148,2358.9844,11,SL,-3.112,-7.78,CLOSED
MFI_SOL,SOL,2026-04-12T04:00:00+00:00,2026-04-13T20:00:00+00:00,SHORT,82.2463,84.5325,10,SL,-3.134,-7.83,CLOSED
STF_BTC,BTC,2026-04-13T20:00:00+00:00,2026-04-27T04:00:00+00:00,LONG,73288.9801,77568.0,80,TIME,9.291,23.23,CLOSED
MFI_ETH,ETH,2026-04-14T16:00:00+00:00,2026-04-17T12:00:00+00:00,SHORT,2362.1911,2452.068,17,SL,-3.1,-7.75,CLOSED
MFI_SOL,SOL,2026-04-14T20:00:00+00:00,2026-04-16T12:00:00+00:00,SHORT,83.8648,86.137,10,SL,-3.137,-7.84,CLOSED
VP_LINK,LINK,2026-04-15T20:00:00+00:00,2026-04-16T16:00:00+00:00,SHORT,9.3223,9.6473,5,SL,-3.106,-7.76,CLOSED
STF_BTC,BTC,2026-05-01T16:00:00+00:00,2026-05-15T00:00:00+00:00,LONG,78436.5239,81015.0,80,TIME,6.261,15.65,CLOSED
STF_BTC,BTC,2026-05-27T16:00:00+00:00,2026-06-03T00:00:00+00:00,SHORT,75277.41,65923.0985,38,TP,23.721,59.3,CLOSED
CCI_ETH,ETH,2026-04-20T04:00:00+00:00,2026-04-29T16:00:00+00:00,LONG,2286.0856,2237.5982,57,SL,-2.714,-6.78,CLOSED
CCI_ETH,ETH,2026-05-11T04:00:00+00:00,2026-05-22T20:00:00+00:00,SHORT,2329.201,2064.8,70,TIME,15.197,37.99,CLOSED
CCI_ETH,ETH,2026-06-01T20:00:00+00:00,2026-06-02T00:00:00+00:00,LONG,2004.8013,1964.0592,1,SL,-3.178,-7.94,CLOSED
STF_SOL,SOL,2026-04-20T00:00:00+00:00,2026-04-21T12:00:00+00:00,SHORT,83.367,86.3926,9,SL,-3.103,-7.76,CLOSED
STF_SOL,SOL,2026-05-05T20:00:00+00:00,2026-05-10T16:00:00+00:00,LONG,86.5079,96.4337,29,TP,14.85,37.12,CLOSED
STF_SOL,SOL,2026-05-21T20:00:00+00:00,2026-05-22T16:00:00+00:00,LONG,87.8634,85.1959,5,SL,-3.118,-7.8,CLOSED
STF_SOL,SOL,2026-05-23T08:00:00+00:00,2026-05-23T16:00:00+00:00,SHORT,82.1623,85.0874,2,SL,-3.105,-7.76,CLOSED
STF_SOL,SOL,2026-05-28T04:00:00+00:00,2026-06-04T00:00:00+00:00,SHORT,80.6548,66.7204,41,TP,14.898,37.24,CLOSED
STF_AVAX,AVAX,2026-04-20T00:00:00+00:00,2026-04-20T04:00:00+00:00,SHORT,8.9964,9.2762,1,SL,-3.119,-7.8,CLOSED
STF_AVAX,AVAX,2026-05-05T08:00:00+00:00,2026-05-17T00:00:00+00:00,LONG,9.3488,9.2233,70,SL,-1.868,-4.67,CLOSED
STF_AVAX,AVAX,2026-05-23T08:00:00+00:00,2026-05-23T16:00:00+00:00,SHORT,8.9157,9.1732,2,SL,-3.128,-7.82,CLOSED
