sleeve,family,arm,coin,entry_ts,exit_ts,direction,entry_price,exit_price,bars_held,reason,ret_pct,paper_pnl_usd,status
VP_ETH,VP,OBSERVE,ETH,2026-03-30T08:00:00+00:00,2026-04-09T08:00:00+00:00,LONG,2059.31761,2178.8,60,TIME,5.097,12.74,CLOSED
VP_XRP,VP,OBSERVE,XRP,2026-03-30T08:00:00+00:00,2026-03-30T16:00:00+00:00,LONG,1.357707,1.318759,2,SL,-3.125,-7.81,CLOSED
VP_AVAX,VP,OBSERVE,AVAX,2026-03-30T12:00:00+00:00,2026-04-02T04:00:00+00:00,LONG,8.989096,8.669691,16,SL,-3.102,-7.75,CLOSED
VP_SOL,VP,OBSERVE,SOL,2026-03-30T16:00:00+00:00,2026-03-31T08:00:00+00:00,LONG,84.466332,81.342562,4,SL,-3.095,-7.74,CLOSED
VP_SUI,VP,OBSERVE,SUI,2026-03-30T20:00:00+00:00,2026-04-09T20:00:00+00:00,LONG,0.861188,0.92861,60,TIME,5.32,13.3,CLOSED
VP_BTC,VP,OBSERVE,BTC,2026-03-31T04:00:00+00:00,2026-04-02T12:00:00+00:00,LONG,67692.3016,65697.158642,14,SL,-3.12,-7.8,CLOSED
VP_ADA,VP,OBSERVE,ADA,2026-03-31T12:00:00+00:00,2026-04-10T12:00:00+00:00,LONG,0.241192,0.25365,60,TIME,3.966,9.92,CLOSED
VP_DOGE,VP,OBSERVE,DOGE,2026-03-31T12:00:00+00:00,2026-04-10T12:00:00+00:00,LONG,0.090351,0.093251,60,TIME,2.524,6.31,CLOSED
VP_BNB,VP,OBSERVE,BNB,2026-03-31T16:00:00+00:00,2026-04-02T04:00:00+00:00,LONG,607.772277,591.684753,9,SL,-3.137,-7.84,CLOSED
VP_LINK,VP,OBSERVE,LINK,2026-04-01T08:00:00+00:00,2026-04-06T08:00:00+00:00,SHORT,9.054283,9.082301,30,SL,-0.299,-0.75,CLOSED
VP_SOL,VP,OBSERVE,SOL,2026-04-02T00:00:00+00:00,2026-04-02T12:00:00+00:00,LONG,81.176346,77.382383,3,SL,-3.075,-7.69,CLOSED
VP_XRP,VP,OBSERVE,XRP,2026-04-02T08:00:00+00:00,2026-04-12T08:00:00+00:00,LONG,1.316595,1.3323,60,TIME,1.001,2.5,CLOSED
STF_LINK,STF,DEPLOY,LINK,2026-04-02T12:00:00+00:00,2026-04-05T20:00:00+00:00,SHORT,8.476256,8.838982,20,SL,-3.085,-7.71,CLOSED
