run_ts,status,eval_bar_ts,btc_above_100dma,btc_50dma_rising,breadth,target_basket
2026-08-01T22:05:23.894282+00:00,FLAT,2026-08-01T20:00:00+00:00,False,True,1/9,FLAT
2026-08-01T23:05:20.172025+00:00,FLAT,2026-08-01T20:00:00+00:00,False,True,1/9,FLAT
2026-08-02T00:05:28.577511+00:00,FLAT,2026-08-02T00:00:00+00:00,False,True,2/9,FLAT
2026-08-02T01:05:17.748431+00:00,FLAT,2026-08-02T00:00:00+00:00,False,True,2/9,FLAT
2026-08-02T02:05:20.246382+00:00,FLAT,2026-08-02T00:00:00+00:00,False,True,2/9,FLAT
2026-08-02T03:05:32.936586+00:00,FLAT,2026-08-02T00:00:00+00:00,False,True,2/9,FLAT
2026-08-02T04:05:33.427738+00:00,FLAT,2026-08-02T04:00:00+00:00,False,True,3/9,FLAT
2026-08-02T05:05:28.939311+00:00,FLAT,2026-08-02T04:00:00+00:00,False,True,3/9,FLAT
2026-08-02T06:05:23.429889+00:00,FLAT,2026-08-02T04:00:00+00:00,False,True,3/9,FLAT
2026-08-02T07:05:27.323402+00:00,FLAT,2026-08-02T04:00:00+00:00,False,True,3/9,FLAT
2026-08-02T08:05:28.315609+00:00,FLAT,2026-08-02T08:00:00+00:00,False,True,4/9,FLAT
2026-08-02T09:05:25.632135+00:00,FLAT,2026-08-02T08:00:00+00:00,False,True,4/9,FLAT
2026-08-02T10:05:22.674547+00:00,FLAT,2026-08-02T08:00:00+00:00,False,True,4/9,FLAT
2026-08-02T11:05:30.543425+00:00,FLAT,2026-08-02T08:00:00+00:00,False,True,4/9,FLAT
2026-08-02T12:05:30.131607+00:00,FLAT,2026-08-02T12:00:00+00:00,False,True,3/9,FLAT
2026-08-02T13:05:22.689336+00:00,FLAT,2026-08-02T12:00:00+00:00,False,True,3/9,FLAT
2026-08-02T14:05:26.136466+00:00,FLAT,2026-08-02T12:00:00+00:00,False,True,3/9,FLAT
2026-08-02T15:05:26.337429+00:00,FLAT,2026-08-02T12:00:00+00:00,False,True,3/9,FLAT
2026-08-02T16:05:32.259014+00:00,FLAT,2026-08-02T16:00:00+00:00,False,True,3/9,FLAT
2026-08-02T17:05:25.276437+00:00,FLAT,2026-08-02T16:00:00+00:00,False,True,3/9,FLAT
2026-08-02T18:05:23.254856+00:00,FLAT,2026-08-02T16:00:00+00:00,False,True,3/9,FLAT
2026-08-02T19:05:26.850720+00:00,FLAT,2026-08-02T16:00:00+00:00,False,True,3/9,FLAT
2026-08-02T20:05:32.383458+00:00,FLAT,2026-08-02T20:00:00+00:00,False,True,4/9,FLAT
2026-08-02T21:05:25.708099+00:00,FLAT,2026-08-02T20:00:00+00:00,False,True,4/9,FLAT
2026-08-02T22:05:23.814482+00:00,FLAT,2026-08-02T20:00:00+00:00,False,True,4/9,FLAT
2026-08-02T23:05:21.501540+00:00,FLAT,2026-08-02T20:00:00+00:00,False,True,4/9,FLAT
2026-08-03T00:05:32.477284+00:00,FLAT,2026-08-03T00:00:00+00:00,False,True,3/9,FLAT
2026-08-03T01:05:25.324736+00:00,FLAT,2026-08-03T00:00:00+00:00,False,True,3/9,FLAT
2026-08-03T02:05:19.176340+00:00,FLAT,2026-08-03T00:00:00+00:00,False,True,3/9,FLAT
2026-08-03T03:05:24.547411+00:00,FLAT,2026-08-03T00:00:00+00:00,False,True,3/9,FLAT
