at_s,signal,outcome,won,entry_price,entry_qty,pnl_usd,hedged,condition_id,price_source
1780259423.906351,UP,Down,false,0.5,1.96,-0.980,false,0x38d1d84923827d0a9f1c905981095e1d9ae6b61241e1f6e1b4f67117e3edb7c3,onchain_oracle
1780078540.647943,DOWN,Up,false,0.5,2,-1.0,false,0xda5fa5281a6cf28cc8909d7b6725983aabc89556141dcf3aa4e62758e009ba1b,onchain_oracle
1780043430.196457,UP,Up,true,0.51,1.96,0.941192,false,0x44e8a8912cabda33b27ae5d76df740239a311f50393cd1260739dc2f157f787d,onchain_oracle
1780041620.289575,DOWN,Up,false,0.5,2,-1.0,false,0xfe8e434f9e7bda02c0fb96ecc5234bb91bd27e9d5c46341f69189563c0be9222,onchain_oracle
1780014644.154574,UP,Up,true,0.51,1.96,0.941192,false,0x66a9f9be0290d751b77432e0fec0172643cce05fdc1879cd707ddec9a07d6072,onchain_oracle
1779993927.058831,UP,Up,true,0.48,2.08,1.059968,false,0x8c6f6d8c345d836b4c16a17c74e1333332e6688c19f660bb9e315ed5b7e5126e,onchain_oracle
1779992136.257289,UP,Up,true,0.49,2.04,1.019592,false,0x49403b56d0977a31480ce0f55501961510d58bd30bddc3cc7adf0dcdac150b5f,onchain_oracle
1779985880.595869,DOWN,Up,false,0.5,2,-1.0,false,0x664e28e7c59fd6f669d7d2e02d52b37dba831837bbf82899c643a5c2410efc33,onchain_oracle
1779981327.460123,DOWN,Down,true,0.49,2.04,1.019592,false,0xf565ff3778b67fa876b0ffe78b403fe0dccf38057ae08ff088c49be51d76fe30,onchain_oracle
1779979591.770191,UP,Down,false,0.51,1.96,-0.9996,false,0xa689a98f1a90ba0657ca5cfe9c853dd4d9ee563f338b7012f3c1da57d5ed70f9,onchain_oracle
1779976866.983924,DOWN,Up,false,0.48,2.04,-0.9792,false,0x793876892d63fa753e677b4126dddb7b37d2cf70e8a4fe70669d2046fc288b7a,onchain_oracle
1779939946.615487,DOWN,Down,true,0.49,2,0.9996,false,0x857a89b2f19127df5331f2c645789cabbe48ab88f5354f06b3d624570b5fb744,onchain_oracle
1779932718.191427,DOWN,Down,true,0.49,2.04,1.019592,false,0xb1ca834f70f68334cd337c555aa1bfc43dbc333655d41f43bcc764b2388ca84b,onchain_oracle
1779927317.594720,UP,Down,false,0.51,1.96,-0.9996,false,0x31ce0b5df1946718cc52abcf5e13fbe1c94924ff3591788491e8aa2658e6b5e7,onchain_oracle
1779921924.443710,UP,Up,true,0.54,1.85,0.833980,false,0x0203ad9d973cfb22019165855079a6662b8cab502b791072c7ef3432493f358d,onchain_oracle
1779920130.922142,DOWN,Down,true,0.46,2.12,1.121904,false,0x416cc0959c4b141b0c241c6b6891b4537e7fca00444296595095dc62e7afee8d,onchain_oracle
1779900330.490182,DOWN,Up,false,0.5,2,-1.0,false,0xfc417a8b68a21c2ed411602d73517114d48d20abe89d433a331cd2dc20e2abc6,onchain_oracle
1779897626.262493,UP,Up,true,0.5,2,0.980,false,0x3690963175fee0c72699ec9ae00eba066f00ce60a21c462193a5cbcc2b61782b,onchain_oracle
1779892224.002301,UP,Down,false,0.51,1.96,-0.9996,false,0x5db0f63a1c21539e4fb6aabfcd5d0bd5b3465047d8e8d875e4a26215bea9d207,onchain_oracle
1779887731.091408,DOWN,Down,true,0.51,1.96,0.941192,false,0x871694129034a6ec346d5cf21b4f6ed03278bf3084309d6d55c0a2101157332d,onchain_oracle
1779858096.541263,DOWN,Up,false,0.47,2.12,-0.9964,false,0x211badedecb052d03b9cea5d184eaa12675968c3ac4755cf764445a46ab66094,onchain_oracle
1779838243.342581,UP,Up,true,0.51,1.96,0.941192,false,0x1d7578405328c52c733bca934252502fc46c50cd4a967c6fb636f486b2e7319f,onchain_oracle
1779818438.826665,DOWN,Down,true,0.48,2.08,1.059968,false,0x659e96df616a9ac716bfc587b200a15a02291adfaec5cd2025de5ece3d00535d,onchain_oracle
