sleeve,tf,asset,slug,direction,fe,mult,rule,vwap,shares,won,pnl,pnl_legacy
S3_prewindow,5m,ETH,eth-updown-5m-1779642000,UP,4099.3915204802615,1.0,S3,0.49000000953674316,51.02040717026833,True,25.12790718695763,25.499999026862962
S3_prewindow,5m,SOL,sol-updown-5m-1779642000,UP,2175.0176242504795,1.0,S3,0.5138238246016555,48.65480891116984,True,22.804000604222736,23.181712732946444
kelly,5m,SOL,sol-updown-5m-1779643500,DOWN,2350.3785708117853,3.0,S8,0.5195050439703813,144.36818442955482,True,66.84558591039932,67.98082074096372
kelly,5m,BTC,btc-updown-5m-1779645000,UP,-2562.7088258993585,1.0,S8,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
S3_prewindow,5m,BTC,btc-updown-5m-1779645000,DOWN,4320.210035191916,1.0,S3,0.5,50.0,True,24.125,24.5
kelly,15m,BTC,btc-updown-15m-1779645600,UP,1145.502042815283,2.0,S8,0.49000000953674316,102.04081434053666,True,50.25581437391526,50.999998053725925
kelly,5m,BTC,btc-updown-5m-1779646800,UP,1828.4153214075316,2.0,S8,0.5,100.0,False,-50.0,-50.0
kelly,5m,SOL,sol-updown-5m-1779647400,DOWN,798.829508891028,1.0,S4,0.4948515691393007,50.52019950847625,True,24.636189754470028,25.009795518306724
kelly,15m,BTC,btc-updown-15m-1779647400,UP,3651.4817439927906,4.0,S8,0.48709787443036384,205.29754952625262,False,-100.0,-100.0
kelly,5m,BTC,btc-updown-5m-1779648000,UP,-3036.183043577882,1.0,S8,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
kelly,5m,SOL,sol-updown-5m-1779648300,UP,1739.8424413231662,2.0,S8,0.5237050427394049,95.47358898524098,False,-50.0,-50.0
kelly,5m,ETH,eth-updown-5m-1779649500,DOWN,-2515.412015946029,1.0,S8,0.503952565445194,49.6078435039117,False,-25.000000000000004,-25.000000000000004
kelly,5m,SOL,sol-updown-5m-1779650100,DOWN,-2348.6407704955714,1.0,S8,0.5087863405963075,49.13653926066395,False,-25.000000000000004,-25.000000000000004
kelly,15m,ETH,eth-updown-15m-1779650100,DOWN,-3203.1659250665225,1.0,S8,0.5189620578007538,48.17307859835546,True,22.331262199506778,22.70961702638835
kelly,5m,BTC,btc-updown-5m-1779650400,UP,-3620.380530344545,1.0,S8,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
kelly,5m,ETH,eth-updown-5m-1779650400,UP,-2934.277355922605,1.0,S8,0.5330890396683601,46.89648096226617,False,-25.000000000000004,-25.000000000000004
kelly,5m,SOL,sol-updown-5m-1779650400,UP,-2626.259601086011,1.0,S8,0.5324813474405307,46.95000138533882,False,-24.999999999999996,-24.999999999999996
kelly,5m,SOL,sol-updown-5m-1779650700,UP,1326.9560961586558,2.0,S4,0.5226721152820345,95.66226806077064,False,-50.0,-50.0
kelly,5m,ETH,eth-updown-5m-1779651000,DOWN,-1462.4089400611563,1.0,S8,0.5086372281793564,49.15094416011653,True,23.291059309430405,23.667925276914204
kelly,15m,ETH,eth-updown-15m-1779651000,UP,1052.7129612266717,2.0,S8,0.5334682243533415,93.72629468345355,True,42.09343346869025,42.85176878978448
kelly,5m,SOL,sol-updown-5m-1779651000,DOWN,287.68590906865563,1.0,S8,0.5039426062665018,49.60882388019234,False,-25.0,-25.0
kelly,15m,SOL,sol-updown-15m-1779651000,UP,-361.80653740916335,1.0,S8,0.5343511281060175,46.78571576822777,True,20.970830242413303,21.350001452863214
kelly,15m,BTC,btc-updown-15m-1779651000,UP,229.91073155339993,1.0,S8,0.5099999904632568,49.01960875977925,True,23.162108743089952,23.539216584583667
S3_prewindow,5m,ETH,eth-updown-5m-1779651300,DOWN,1663.1518689753243,1.0,S3,0.49329123711123535,50.680000209212295,False,-25.0,-25.0
S3_prewindow,5m,BTC,btc-updown-5m-1779651900,UP,300.00001192092896,1.0,S3,0.4725990942251961,52.8989587696657,True,26.97600718455979,27.340979594272383
kelly,5m,ETH,eth-updown-5m-1779652200,UP,-4833.193781242014,1.0,S8,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
kelly,5m,BTC,btc-updown-5m-1779652200,DOWN,4485.042512956647,4.0,S8,0.47999998927116394,208.3333379899463,False,-100.0,-100.0
kelly,5m,ETH,eth-updown-5m-1779652800,UP,2572.4766671303787,3.0,S8,0.5297580031676378,141.5740763736359,False,-75.0,-75.0
kelly,5m,SOL,sol-updown-5m-1779652800,UP,1050.3099232901957,2.0,S8,0.5299312829863644,94.35185580709819,False,-50.0,-50.0
kelly,15m,ETH,eth-updown-15m-1779652800,UP,-3132.160398699747,1.0,S8,0.5189620578007538,48.17307859835546,False,-25.0,-25.0
kelly,15m,BTC,btc-updown-15m-1779652800,DOWN,3596.4812626416156,4.0,S8,0.5255433679200565,190.27925401431682,True,86.95805758975722,88.47366893403048
kelly,5m,SOL,sol-updown-5m-1779653400,DOWN,642.6753291256215,1.0,S8,0.4936691920475365,50.64119941596982,True,24.755120502053014,25.12837542765043
S3_prewindow,5m,ETH,eth-updown-5m-1779653400,UP,1185.634901081839,1.0,S3,0.5260274161077725,47.526039963814355,False,-24.999999999999996,-24.999999999999996
S3_prewindow,5m,SOL,sol-updown-5m-1779654000,DOWN,1736.6452178121995,1.0,S3,0.4944542067251815,50.56079948348997,True,24.67609434525904,25.049583493820172
S3_prewindow,5m,SOL,sol-updown-5m-1779654300,UP,1681.0724398985287,1.0,S3,0.5309254054200692,47.08759412298222,True,21.26671358246734,21.645842240522573
S3_prewindow,5m,BTC,btc-updown-5m-1779655500,UP,839.7382958964472,1.0,S3,0.5199999809265137,48.07692484037417,True,22.236924806995567,22.615386343566684
kelly,5m,SOL,sol-updown-5m-1779655800,DOWN,-4094.6841378710974,1.0,S8,0.5067830903793825,49.330769859122114,False,-25.0,-25.0
S3_prewindow,5m,BTC,btc-updown-5m-1779655800,DOWN,3702.6432772820585,1.0,S3,0.5,50.0,True,24.125,24.5
kelly,5m,ETH,eth-updown-5m-1779655800,DOWN,-3473.4223113204876,1.0,S8,0.5107854206477858,48.94423174470137,True,23.088106230835,23.465347109807347
S3_prewindow,5m,ETH,eth-updown-5m-1779656100,DOWN,981.3174448422668,1.0,S3,0.5,50.0,False,-25.0,-25.0
S3_prewindow,5m,BTC,btc-updown-5m-1779656100,DOWN,1.1941539663762324,1.0,S3,0.5,50.0,False,-25.0,-25.0
kelly,5m,SOL,sol-updown-5m-1779656400,DOWN,947.4840163173859,1.0,S8,0.4832823709666506,51.72959226713682,False,-25.0,-25.0
kelly,15m,ETH,eth-updown-15m-1779656400,DOWN,-2721.2524862573828,1.0,S8,0.5215672796387042,47.93245469178549,False,-25.0,-25.0
kelly,15m,SOL,sol-updown-15m-1779656400,DOWN,-1953.4931297336188,1.0,S8,0.5237153926711636,47.73585109364407,False,-25.0,-25.0
kelly,5m,SOL,sol-updown-5m-1779656700,UP,-2390.198672633283,1.0,S8,0.5299999713897705,47.1698138670551,True,21.347313816987192,21.726417589713993
S3_prewindow,5m,BTC,btc-updown-5m-1779657300,DOWN,3691.9614859705985,1.0,S3,0.5113741306908222,48.887885599975824,False,-25.0,-25.0
kelly,5m,ETH,eth-updown-5m-1779657300,UP,-4960.770090900194,1.0,S8,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
kelly,15m,SOL,sol-updown-15m-1779657300,UP,-2048.589242894222,1.0,S8,0.5199999809265137,48.07692484037417,False,-25.0,-25.0
S3_prewindow,5m,ETH,eth-updown-5m-1779657600,DOWN,2658.167513955353,1.0,S3,0.5,50.0,False,-25.0,-25.0
kelly,5m,SOL,sol-updown-5m-1779657600,UP,-420.2338274748774,1.0,S8,0.5099999904632568,49.01960875977925,False,-25.0,-25.0
S3_prewindow,5m,SOL,sol-updown-5m-1779657600,DOWN,1938.2694407216438,1.0,S3,0.5184996601329342,48.21603931927446,True,22.373413724507092,22.75171853288897
kelly,5m,SOL,sol-updown-5m-1779657900,DOWN,-1452.6641426459819,1.0,S8,0.5125725222532852,48.77358600905721,True,22.920587923000465,23.29811428887607
