sleeve,at,symbol,tf,signal,outcome,won,pnl_usd,entry_qty,entry_price,cid
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-24 22:10:40.578383+02:00,SOL,5m,UP,Down,False,-26.165784,49.0196,0.5337820790051326,0xb2cde2581071a36848563bf2f1c6380f017cf99211b0b4bf773f7500c4a72b90
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-24 22:10:40.956574+02:00,BTC,5m,UP,Down,False,-25.0,50.0,0.5,0x37e69a4333734170ebd46680b1f7a67988d8bae12562c802d4d88733910fb91b
shadow_poly_updown_sol_15m_fade_momo_v2,2026-05-24 22:30:46.239903+02:00,SOL,15m,UP,Down,False,-25.0,50.0,0.5,0x9d5eff76543deed8f4c47172a19a52a85ca6165bc050d6769045e6500afe71e0
shadow_poly_updown_sol_5m_fade_sniper,2026-05-24 23:00:29.582641+02:00,SOL,5m,UP,Up,True,21.3473062,47.1698,0.53,0x655bdca52c15badcfbbdb4d046b8f0b9b78e0bb0281fc9a54c9aec71a06ccaf5
shadow_poly_updown_sol_5m_fade_sniper,2026-05-24 23:40:48.286817+02:00,SOL,5m,UP,Down,False,-25.44339,47.1698,0.5393999974559994,0xc06a0bfec70186e642d98d745068ecec3eb7f0efa99b68254a84ee27f46526a1
shadow_poly_updown_btc_5m_fade_sniper,2026-05-24 23:40:52.584439+02:00,BTC,5m,UP,Down,False,-25.124192,49.0196,0.5125335988053759,0xbe4b4c63caf5288b77d4cd6315b01e039ab7a49a7f44d15961642df9da106ddd
shadow_poly_updown_btc_5m_fade_momo_v2,2026-05-24 23:45:57.804490+02:00,BTC,5m,UP,Down,False,-24.999952,42.3728,0.59,0xf32b778689247408806d74e7b1f81e0bfb0616d7760a6a752acf7bfb58182a54
shadow_poly_updown_sol_5m_fade_momo_v2,2026-05-24 23:46:03.669971+02:00,SOL,5m,UP,Down,False,-25.30252,45.4545,0.5566559966559966,0x56f3fbaec723d4b9d914bed720151b4815976df4a4c91d835eec69563d9a34a2
shadow_poly_updown_eth_15m_fade_sniper,2026-05-24 23:46:05.988220+02:00,ETH,15m,DOWN,Down,True,22.827366,50.0,0.526,0x166596f326bd4d7b41d232c823cfbd867bd3550d51f251cafc53d96bae8b453e
shadow_poly_updown_btc_5m_fade_sniper,2026-05-24 23:46:06.788524+02:00,BTC,5m,UP,Down,False,-24.999996,49.0196,0.51,0xf32b778689247408806d74e7b1f81e0bfb0616d7760a6a752acf7bfb58182a54
shadow_poly_updown_sol_5m_fade_sniper,2026-05-24 23:50:28.196589+02:00,SOL,5m,UP,Up,True,20.77581228,47.1698,0.5421771981225275,0x8cd309f79cf7fa9808f8c5ca502391ef32642fd3473537f7849fa7fa236ee0a6
shadow_poly_updown_btc_5m_fade_sniper,2026-05-24 23:50:31.701062+02:00,BTC,5m,UP,Up,True,22.1620618,48.0769,0.5215614359494892,0xa8389678095fd384141f8caf63fa5215565ae06a2671ebbf44be185ed2855daf
