combo,is_sharpe
"('MAx', 80, 200)",2.0145411389118344
"('MAx', 50, 220)",1.9016895083607295
"('MAx', 70, 220)",1.8469198775340627
"('MAx', 20, 260)",1.7677445884242615
"('MAx', 25, 260)",1.7593212399905884
"('MAx', 75, 200)",1.698998935696417
"('MAx', 45, 220)",1.6695021900261946
"('MAx', 55, 220)",1.6677571449047188
"('MAx', 40, 220)",1.6610450016983613
"('MAx', 30, 240)",1.6487673646485104
"('MAx', 60, 220)",1.6197632587006412
"('MAx', 50, 240)",1.6086599825079368
"('MAx', 45, 180)",1.5863216689668418
"('MAx', 80, 220)",1.578365949773337
"('MAx', 30, 220)",1.5761552085069477
"('MAx', 35, 220)",1.57043109247161
"('MAx', 30, 260)",1.5600682471472689
"('MAx', 50, 260)",1.556639968450971
"('MAx', 65, 260)",1.547061591317681
"('MAx', 75, 220)",1.5376511048059096
"('MAx', 55, 260)",1.5343873306903975
"('MAx', 70, 260)",1.5222504697150554
"('MAx', 25, 240)",1.5105954073057395
"('MAx', 40, 260)",1.489040049723366
"('MAx', 85, 200)",1.4772351674813062
"('MAx', 75, 260)",1.4716601991625586
"('MAx', 35, 260)",1.4649477939648077
"('MAx', 35, 200)",1.464544437368525
"('MAx', 15, 40)",1.4603169654683064
"('MAx', 45, 260)",1.4574141272982233
"('MAx', 55, 240)",1.4507777797373689
"('MAx', 35, 80)",1.4445442988847519
"('MAx', 45, 240)",1.4400549797654416
"('MAx', 15, 260)",1.4289918671423327
"('MAx', 85, 220)",1.4231700119130213
"('MAx', 70, 200)",1.4228245938995245
"('MAx', 75, 280)",1.4147879050280676
"('MAx', 30, 80)",1.4138452601244527
"('MAx', 85, 180)",1.4134789676471882
"('MAx', 40, 200)",1.40878433120979
"('MAx', 40, 240)",1.385461667189809
"('MAx', 25, 220)",1.3800038826421561
"('MAx', 60, 240)",1.3641786575415564
"('MAx', 35, 240)",1.3605866157004367
"('MAx', 25, 120)",1.3556053780401331
"('MAx', 65, 220)",1.3421596811867138
"('MAx', 20, 240)",1.330307442238703
"('MAx', 65, 200)",1.304690868487635
"('MAx', 65, 240)",1.2795237803747797
"('MAx', 40, 180)",1.253479878334028
"('MAx', 85, 260)",1.2512003058865322
"('MAx', 50, 80)",1.242037581719858
"('MAx', 55, 80)",1.2304992311453093
"('MAx', 35, 160)",1.2301369864732787
"('MAx', 60, 200)",1.2291057917525916
"('MAx', 75, 240)",1.2171635751419883
"('MAx', 45, 200)",1.2133564134734094
"('MAx', 80, 180)",1.1992083678680123
"('MAx', 25, 80)",1.191125341237238
"('MAx', 80, 260)",1.1884247266761796
"('MAx', 35, 60)",1.1809559865840837
"('MAx', 80, 140)",1.1720560648325604
"('MAx', 40, 60)",1.1674727168924028
"('MAx', 45, 300)",1.1540586176716843
"('MAx', 70, 280)",1.1402700950132574
"('MAx', 50, 200)",1.1128202767087023
"('MAx', 20, 200)",1.1068292454656123
"('MAx', 55, 200)",1.1049763708494604
"('MAx', 15, 240)",1.087297079395913
"('MAx', 95, 200)",1.0701417165747622
"('RSI', 'revert', 21, 20, 80)",1.06295092114042
"('MAx', 40, 140)",1.0528222451240332
"('MAx', 60, 280)",1.0427920858952013
"('MAx', 25, 180)",1.021020326060259
"('MAx', 60, 260)",1.0124162626799122
"('MAx', 70, 240)",1.0014544105958076
"('MAx', 90, 200)",0.9823226789365334
"('MAx', 30, 40)",0.9790570512743599
"('MAx', 60, 80)",0.9700231893810536
"('MAx', 55, 140)",0.9573425644975856
"('MAx', 50, 300)",0.9428966536164728
"('MAx', 40, 80)",0.941946709470477
"('MAx', 45, 80)",0.8996426805086211
"('MAx', 65, 280)",0.8815610278090213
"('MAx', 30, 280)",0.8753965625019979
"('MAx', 35, 180)",0.8693619401347084
"('MAx', 50, 140)",0.866815283048651
"('MAx', 35, 280)",0.85551283950846
"('MAx', 10, 260)",0.8535446848860321
"('MAx', 55, 280)",0.842528827348632
"('MAx', 60, 140)",0.8380687390783811
"('MAx', 75, 180)",0.8307037832023122
"('MAx', 80, 280)",0.8282947755563467
"('MAx', 55, 60)",0.8204214077343606
"('MAx', 50, 180)",0.8076979560616573
"('MAx', 20, 120)",0.805703704202988
"('MAx', 30, 160)",0.7895248486644951
"('MAx', 90, 220)",0.7815648575305956
"('MAx', 50, 60)",0.7764962309567931
"('MAx', 90, 260)",0.7757858120715374
"('MAx', 35, 300)",0.7719181288589626
"('MAx', 35, 140)",0.7611359437174009
"('MAx', 40, 160)",0.7594949396556082
"('MAx', 80, 240)",0.7559910807753746
