asset,venue,lag_s,hy_corr,n_bin_intervals,n_venue_intervals
BTC,coinbase,-120,-0.002109055542915976,712831,11506
BTC,coinbase,-60,0.02549889909731948,712891,11507
BTC,coinbase,-30,0.5373935876154888,712921,11508
BTC,coinbase,-10,0.8393068183464818,712941,11508
BTC,coinbase,-5,0.9110540906281202,712946,11508
BTC,coinbase,-1,0.9630251273628463,712950,11508
BTC,coinbase,0,0.9705289459538661,712951,11508
BTC,coinbase,1,0.9589959553894871,712952,11508
BTC,coinbase,5,0.9000302219360187,712956,11508
BTC,coinbase,10,0.8104729487029765,712961,11508
BTC,coinbase,30,0.503677925840305,712981,11509
BTC,coinbase,60,0.06255358521530754,713011,11509
BTC,coinbase,120,-0.004250953550739855,713071,11510
BTC,kraken,-120,0.014837640072168087,712831,11904
BTC,kraken,-60,0.18540021650645677,712891,11905
BTC,kraken,-30,0.6790853773382017,712921,11906
BTC,kraken,-10,0.8700997852562121,712941,11906
BTC,kraken,-5,0.8857752285203633,712946,11906
BTC,kraken,-1,0.8835217386050297,712950,11906
BTC,kraken,0,0.8760936795938615,712951,11906
BTC,kraken,1,0.8565910641296691,712952,11906
BTC,kraken,5,0.7871145387372988,712956,11906
BTC,kraken,10,0.6858885451591998,712961,11906
BTC,kraken,30,0.37598774427310455,712981,11907
BTC,kraken,60,0.039611743705874454,713011,11907
BTC,kraken,120,-0.0059643485447525,713071,11908
BTC,okx,-120,-0.004448487149410031,720871,12040
BTC,okx,-60,0.03375437123192597,720931,12041
BTC,okx,-30,0.550655150559979,720932,12041
BTC,okx,-10,0.8506709280592795,720932,12041
BTC,okx,-5,0.9196190727331628,720932,12041
BTC,okx,-1,0.96753428159357,720932,12041
BTC,okx,0,0.97440327825126,720932,12041
BTC,okx,1,0.9609698061983108,720932,12041
BTC,okx,5,0.8993612962626305,720932,12040
BTC,okx,10,0.8061926389158446,720932,12040
BTC,okx,30,0.49494003794027797,720932,12041
BTC,okx,60,0.05704952785752572,720932,12041
BTC,okx,120,-0.004591659097180137,720932,12041
ETH,coinbase,-120,-0.017039848327597775,712830,11503
ETH,coinbase,-60,0.029271101074794983,712890,11504
ETH,coinbase,-30,0.5700033372384161,712920,11505
ETH,coinbase,-10,0.8538971566980785,712940,11505
ETH,coinbase,-5,0.9241240631020516,712945,11505
ETH,coinbase,-1,0.9701253716971519,712949,11505
ETH,coinbase,0,0.9766646982480631,712950,11505
ETH,coinbase,1,0.9603880525290244,712951,11505
ETH,coinbase,5,0.8904389857864173,712955,11505
ETH,coinbase,10,0.7911700745749557,712960,11505
ETH,coinbase,30,0.45235302767527874,712980,11506
ETH,coinbase,60,0.04433227209701224,713010,11506
ETH,coinbase,120,-0.020264359032162057,713070,11507
ETH,kraken,-120,-0.0173216754804614,712830,11854
ETH,kraken,-60,0.13731493237413747,712890,11855
ETH,kraken,-30,0.6747742139137581,712920,11856
ETH,kraken,-10,0.8877108705708622,712940,11856
ETH,kraken,-5,0.9069301767122061,712945,11856
ETH,kraken,-1,0.9004147908713072,712949,11856
ETH,kraken,0,0.8915859437549597,712950,11856
ETH,kraken,1,0.8678439222795613,712951,11856
ETH,kraken,5,0.7879868629613243,712955,11856
ETH,kraken,10,0.683915409807149,712960,11856
ETH,kraken,30,0.3488736339461973,712980,11857
ETH,kraken,60,0.030833961905265262,713010,11857
ETH,kraken,120,-0.02226397174330791,713070,11858
ETH,okx,-120,-0.026496250052911955,720870,12039
ETH,okx,-60,0.031350580848611254,720930,12040
ETH,okx,-30,0.567230358087654,720931,12040
ETH,okx,-10,0.8521824272191522,720931,12040
ETH,okx,-5,0.9231355996378181,720931,12040
ETH,okx,-1,0.9716219337540558,720931,12040
ETH,okx,0,0.979626475133435,720931,12040
ETH,okx,1,0.9635137236828187,720931,12040
ETH,okx,5,0.8948648933215931,720931,12039
ETH,okx,10,0.7954553069259006,720931,12039
ETH,okx,30,0.4581988333982714,720931,12040
ETH,okx,60,0.04648420044117441,720931,12040
ETH,okx,120,-0.023106867887721698,720931,12040
SOL,coinbase,-120,-0.02619678910577385,712826,11503
SOL,coinbase,-60,0.045552336014083705,712886,11504
SOL,coinbase,-30,0.569289631017328,712916,11505
SOL,coinbase,-10,0.8485974594084863,712936,11505
SOL,coinbase,-5,0.9231810241926675,712941,11505
SOL,coinbase,-1,0.9680514340014871,712945,11505
SOL,coinbase,0,0.9736486523525496,712946,11505
SOL,coinbase,1,0.9571641421345397,712947,11505
SOL,coinbase,5,0.8884189520207002,712951,11505
SOL,coinbase,10,0.799975919204863,712956,11505
SOL,coinbase,30,0.46848269342439647,712976,11506
SOL,coinbase,60,0.054329601019016745,713006,11506
SOL,coinbase,120,-0.027368651661924835,713066,11507
SOL,kraken,-120,-0.023686328267908396,712826,11875
SOL,kraken,-60,0.12631612578160717,712886,11876
SOL,kraken,-30,0.6408378997290773,712916,11877
SOL,kraken,-10,0.8700857325032743,712936,11877
SOL,kraken,-5,0.9102718935855804,712941,11877
SOL,kraken,-1,0.9105817705184902,712945,11877
SOL,kraken,0,0.9033836794187873,712946,11877
SOL,kraken,1,0.8819902594013413,712947,11877
SOL,kraken,5,0.8130306788191609,712951,11877
SOL,kraken,10,0.7195930466480975,712956,11877
SOL,kraken,30,0.3846567392308875,712976,11878
SOL,kraken,60,0.046417805195716255,713006,11878
SOL,kraken,120,-0.03533351707560907,713066,11879
SOL,okx,-120,-0.030366971148783783,720866,12039
SOL,okx,-60,0.05059143625859381,720926,12040
SOL,okx,-30,0.5796839175252163,720927,12040
SOL,okx,-10,0.8585015827483572,720927,12040
SOL,okx,-5,0.9313321761927357,720927,12040
SOL,okx,-1,0.9705832954778789,720927,12040
SOL,okx,0,0.9765012780635556,720927,12040
SOL,okx,1,0.9588519816179201,720927,12040
SOL,okx,5,0.8859614039848533,720927,12039
SOL,okx,10,0.7962721438876157,720927,12039
SOL,okx,30,0.46587585701048867,720927,12040
SOL,okx,60,0.05345868378286116,720927,12040
SOL,okx,120,-0.03254581453944998,720927,12040
