asset,tf,rule,n,wr,dpt,sum
BTC,15m,AS-A_kept_UP,12946,0.4797620886760389,-2.6806322251504375,-34703.464786797565
BTC,15m,AS-A_skipped_UP,1630,0.47116564417177914,-3.011965236402025,-4909.503335335301
BTC,15m,AS-A_kept_DOWN,12933,0.48619809788912083,-1.7164922534767988,-22199.39431421544
BTC,15m,AS-A_skipped_DOWN,1622,0.5184956843403206,-1.9726809833495276,-3199.688554992934
BTC,15m,AS-B_with_30s,6518,0.5309911015648973,-1.0676961449618947,-6959.24347286163
BTC,15m,AS-C_skew_UP,6886,0.6790589602091199,-1.1789676664004134,-8118.371350833247
BTC,15m,HY-A_cb_with,15082,0.526455377270919,-2.4243616029251736,-36564.221695317465
BTC,15m,AS-B_with_30s_off_0_60,1195,0.4200836820083682,-3.5141010477468364,-4199.350752057469
BTC,15m,AS-B_with_30s_off_120_180,1215,0.5119341563786008,0.004642009255551919,5.640041245495581
BTC,15m,AS-B_with_30s_off_240_360,1064,0.5695488721804511,-1.0786807717555136,-1147.7163411478664
BTC,15m,HY-A_cb_with_off_0_60,1558,0.4178433889602054,-5.251640957285723,-8182.056611451157
BTC,15m,HY-A_cb_with_off_120_180,1780,0.4803370786516854,-5.358572899695058,-9538.259761457202
BTC,15m,HY-A_cb_with_off_240_360,1933,0.5328504914640455,-2.881031186578412,-5569.03328365607
BTC,5m,AS-A_kept_UP,45032,0.4584073547699414,-3.2728554119902817,-147383.22491274637
BTC,5m,AS-A_skipped_UP,5607,0.48564294631710364,-2.69596875147244,-15116.29678950597
BTC,5m,AS-A_kept_DOWN,45326,0.4603318183823854,-3.553252553794188,-161054.72525327536
BTC,5m,AS-A_skipped_DOWN,5610,0.4928698752228164,-1.9600843726409314,-10996.073330515625
BTC,5m,AS-B_with_30s,22386,0.538282855356026,-2.9142323840522724,-65238.00614939417
BTC,5m,AS-C_skew_UP,22274,0.6831732064290204,-0.11499463009578055,-2561.390390753416
BTC,5m,HY-A_cb_with,51802,0.5484730319292691,-2.2359755813445394,-115828.00706480983
BTC,5m,AS-B_with_30s_off_0_60,8977,0.44558315695666706,-6.022922382107872,-54067.774224182365
BTC,5m,AS-B_with_30s_off_60_120,5421,0.6022874008485519,-1.1450115692849725,-6207.107717093836
BTC,5m,AS-B_with_30s_off_120_180,3967,0.6123014872699774,-0.48497458391584325,-1923.8941743941502
BTC,5m,AS-B_with_30s_off_180_240,2888,0.5910664819944599,-0.6130928867395014,-1770.61225690368
BTC,5m,AS-B_with_30s_off_240_360,1133,0.5728155339805825,-1.1196979495323307,-1268.6177768201308
BTC,5m,HY-A_cb_with_off_0_60,12491,0.43887599071331357,-6.500140191774615,-81193.25113545671
BTC,5m,HY-A_cb_with_off_60_120,11011,0.587140132594678,-1.4293577245980584,-15738.657905549222
BTC,5m,HY-A_cb_with_off_120_180,11468,0.598622253226369,-0.8793252899136018,-10084.102424729186
BTC,5m,HY-A_cb_with_off_180_240,11300,0.6046017699115044,-0.43742812511164564,-4942.937813761596
BTC,5m,HY-A_cb_with_off_240_360,5532,0.5003615328994938,-0.6993958397167616,-3869.057785313125
ETH,15m,AS-A_kept_UP,11648,0.4792239010989011,-3.491302160195607,-40666.68756195843
ETH,15m,AS-A_skipped_UP,1456,0.4697802197802198,-3.9060570135029704,-5687.219011660325
ETH,15m,AS-A_kept_DOWN,11712,0.4895833333333333,-2.6174546283674083,-30655.62860743909
ETH,15m,AS-A_skipped_DOWN,1432,0.5244413407821229,-2.469756031078545,-3536.690636504476
ETH,15m,AS-B_with_30s,6273,0.534034752112227,-3.077283797285424,-19303.801260371463
ETH,15m,AS-C_skew_UP,6169,0.6840654887339925,-1.219133206398771,-7520.832750274018
ETH,15m,HY-A_cb_with,13618,0.5324570421500955,-3.295686507757637,-44880.658862643504
ETH,15m,AS-B_with_30s_off_0_60,1140,0.4482456140350877,-6.562229964655287,-7480.942159707027
ETH,15m,AS-B_with_30s_off_120_180,1136,0.5211267605633803,-5.023324643312662,-5706.4967948031845
ETH,15m,AS-B_with_30s_off_240_360,1013,0.5389930898321816,-3.8763903640933504,-3926.7834388265637
ETH,15m,HY-A_cb_with_off_0_60,1411,0.4238128986534373,-8.299555279140034,-11710.672498866588
ETH,15m,HY-A_cb_with_off_120_180,1640,0.4896341463414634,-7.081028652154651,-11612.886989533628
ETH,15m,HY-A_cb_with_off_240_360,1761,0.5264054514480409,-4.454389116673776,-7844.17923446252
ETH,5m,AS-A_kept_UP,42394,0.45504080766146154,-4.120168865696238,-174670.43889232632
ETH,5m,AS-A_skipped_UP,5303,0.49349424853856305,-2.0736142067245633,-10996.376138260359
ETH,5m,AS-A_kept_DOWN,42468,0.46147687670716775,-4.111123975757013,-174591.2130024488
ETH,5m,AS-A_skipped_DOWN,5251,0.4783850695105694,-3.067177518465154,-16105.749149460524
ETH,5m,AS-B_with_30s,22997,0.5433317389224681,-3.435224906564777,-78999.86717627017
ETH,5m,AS-C_skew_UP,20699,0.6965070776366008,-0.5950969979555625,-12317.912760682188
ETH,5m,HY-A_cb_with,48535,0.5504893375914288,-2.7597558797402435,-133944.75162319271
ETH,5m,AS-B_with_30s_off_0_60,9356,0.44388627618640447,-6.942605970111074,-64955.0214563592
ETH,5m,AS-B_with_30s_off_60_120,5489,0.6099471670613955,-1.5133432705016445,-8306.741211783527
ETH,5m,AS-B_with_30s_off_120_180,4061,0.6143806944102438,-0.9159246540646225,-3719.5700201564323
ETH,5m,AS-B_with_30s_off_180_240,2899,0.6112452569851673,-0.5893297272280066,-1708.4668792339912
ETH,5m,AS-B_with_30s_off_240_360,1192,0.6098993288590604,-0.2601238328330729,-310.06760873702285
ETH,5m,HY-A_cb_with_off_0_60,12129,0.4471926787039327,-6.546454898842939,-79401.951468066
ETH,5m,HY-A_cb_with_off_60_120,10092,0.5909631391200951,-2.013212758643507,-20317.34316023027
ETH,5m,HY-A_cb_with_off_120_180,10614,0.5938383267382702,-1.8312173451728864,-19436.540901665016
ETH,5m,HY-A_cb_with_off_180_240,10572,0.6133181990162694,-0.8049449839059414,-8509.878369853612
ETH,5m,HY-A_cb_with_off_240_360,5128,0.4959048361934477,-1.2244613345120556,-6279.037723377822
SOL,15m,AS-A_kept_UP,10223,0.49750562457204345,-3.923464239447978,-40109.57491987668
SOL,15m,AS-A_skipped_UP,1004,0.4940239043824701,-1.9164924434830728,-1924.1584132570051
SOL,15m,AS-A_kept_DOWN,10237,0.47377161277718083,-4.223727353744233,-43238.29692027972
SOL,15m,AS-A_skipped_DOWN,1007,0.5014895729890765,-3.93171713098644,-3959.239150903345
SOL,15m,AS-B_with_30s,2908,0.5285419532324622,-5.30129194511015,-15416.156976380316
SOL,15m,AS-C_skew_UP,5405,0.7074930619796485,-0.6191356472958993,-3346.4281736343355
SOL,15m,HY-A_cb_with,10811,0.5430579964850615,-3.3101865602176055,-35786.42690251253
SOL,15m,AS-B_with_30s_off_0_60,958,0.4822546972860125,-7.593008237798746,-7274.101891811199
SOL,15m,AS-B_with_30s_off_120_180,870,0.5574712643678161,-4.210257785075916,-3662.9242730160468
SOL,15m,AS-B_with_30s_off_240_360,624,0.5496794871794872,-4.547600716308707,-2837.702846976633
SOL,15m,HY-A_cb_with_off_0_60,1247,0.4570970328789094,-8.726180840400225,-10881.547507979081
SOL,15m,HY-A_cb_with_off_120_180,1325,0.5388679245283019,-5.032494312801617,-6668.054964462143
SOL,15m,HY-A_cb_with_off_240_360,1355,0.555719557195572,-3.9661059689097153,-5374.073587872665
SOL,5m,AS-A_kept_UP,30858,0.44827921446626484,-6.108612584156456,-188499.56712189992
SOL,5m,AS-A_skipped_UP,3028,0.47886393659180976,-5.235157373969213,-15852.056528378776
SOL,5m,AS-A_kept_DOWN,30945,0.45125222168363227,-5.229982301842547,-161841.80233051762
SOL,5m,AS-A_skipped_DOWN,3004,0.4890146471371505,-4.286788572769658,-12877.512872600053
SOL,5m,AS-B_with_30s,9164,0.5201876909646442,-5.68504884849244,-52097.78764758472
SOL,5m,AS-C_skew_UP,14561,0.7113522422910514,-0.9671412963309035,-14082.544415874287
SOL,5m,HY-A_cb_with,32102,0.548252445330509,-3.8819650739523928,-124618.84280401972
SOL,5m,AS-B_with_30s_off_0_60,6363,0.4647179003614647,-7.672584215006002,-48820.65336008319
SOL,5m,AS-B_with_30s_off_60_120,2208,0.6480978260869565,-1.3626459119895338,-3008.7221736728907
SOL,5m,AS-B_with_30s_off_120_180,529,0.6427221172022685,-0.4145934384332034,-219.3199289311646
SOL,5m,AS-B_with_30s_off_180_240,58,0.6379310344827587,0.3653983743657333,21.193105713212532
SOL,5m,HY-A_cb_with_off_0_60,8668,0.45350715274573145,-7.599479223556716,-65872.28590978961
SOL,5m,HY-A_cb_with_off_60_120,6647,0.5897397322100195,-3.913201530281371,-26011.050571780273
SOL,5m,HY-A_cb_with_off_120_180,6782,0.6057210262459451,-2.106555391814678,-14286.658667287147
SOL,5m,HY-A_cb_with_off_180_240,6758,0.6021012133767387,-1.5389685477755963,-10400.34944586748
SOL,5m,HY-A_cb_with_off_240_360,3247,0.4841392054203881,-2.4787490635340994,-8048.498209295221
