slug,outcome_truth,n_events,n_l25,n_trades,span_s,accm_inv_up,accm_inv_dn,accm_cost,accm_rebates,accm_taker_fees,accm_cash_recovered,accm_leftover_redeemed_usd,accm_leftover_burned_usd,accm_pnl,accm_n_merges,accm_pairs_merged,accm_n_maker_fills_up,accm_n_maker_fills_dn,accm_n_taker_buys_up,accm_n_taker_buys_dn,accpc_inv_up,accpc_inv_dn,accpc_cost,accpc_rebates,accpc_taker_fees,accpc_cash_recovered,accpc_leftover_redeemed_usd,accpc_leftover_burned_usd,accpc_pnl,accpc_n_merges,accpc_pairs_merged,accpc_n_maker_fills_up,accpc_n_maker_fills_dn,accpc_n_taker_buys_up,accpc_n_taker_buys_dn,pnl_diff,accm_total_buys,accpc_total_buys
btc-updown-5m-1777161600,Up,7772,7772,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777173300,Down,6142,6142,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777185300,Up,5010,5010,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777197300,Up,4166,4166,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777209300,Down,6042,6042,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777221300,Down,4686,4686,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777233300,Down,5105,5105,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777246800,Up,4996,4996,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777258500,Down,6444,6444,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
btc-updown-5m-1777270500,Up,6696,6696,0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0
