slug,outcome_truth,pnl,cost,cash_in,rebates,fees,leftover_redeemed,n_merges,pairs_merged,n_maker_bid_up,n_maker_bid_dn,n_maker_ask_up,n_maker_ask_dn,n_pat_up,n_pat_dn,strategy
btc-updown-5m-1776994800,Down,49.356537079208366,139.23039958111048,193.98999977111816,0.0,5.403063110799322,0.0,10,193.98999977111816,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1776995100,Up,12.138740360865594,180.99999964237213,200.0,0.0,6.861259996762276,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1776996000,Up,10.401719521549703,170.68830136163234,187.49000072479248,0.0,6.3999798416104365,0.0,10,187.49000072479248,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1776999300,Down,4.369939982352256,174.2000000178814,185.0,0.0,6.430059999766351,0.0,10,185.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1776999600,Up,23.417265938272713,121.08000006526709,149.25,0.0,4.752733996460199,0.0,8,149.25,0,0,0,0,8,8,PAT+ACC-M
btc-updown-5m-1776999900,Up,13.22369195609808,167.8750005364418,187.5,0.0,6.401307507460118,0.0,10,187.5,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1777000200,Down,6.393459862508773,172.20000013709068,185.0,0.0,6.406540000400544,0.0,10,185.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1777000500,Down,54.183902108253776,137.52439947066307,197.1599998474121,0.0,5.451698268495264,0.0,10,197.1599998474121,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1777000800,Down,27.23973963708639,166.20000034570694,200.0,0.0,6.5602600172066685,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1777001400,Down,11.332299325418472,181.80000066757202,200.0,0.0,6.867700007009507,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1777002000,Down,7.908359588279724,185.20000040531158,200.0,0.0,6.891640006408691,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1777002300,Up,0.10223983217239385,19.200000166893005,20.0,0.0,0.6977600009346008,0.0,1,20.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-5m-1777002600,Up,2.90923128792572,89.760000705719,96.0,0.0,3.330768006355286,0.0,5,96.0,0,0,0,0,5,5,PAT+ACC-M
btc-updown-5m-1777002900,Up,16.577378881933235,163.72280017704963,186.6200008392334,0.0,6.31982178025053,0.0,10,186.6200008392334,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1777003200,Down,13.76366002711296,179.39999997615814,200.0,0.0,6.836339996728897,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1777003500,Up,10.27750591679842,173.59479999918938,190.42000007629395,0.0,6.547694160306149,0.0,10,190.42000007629395,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1777004100,Up,3.7236281887518663,166.8128002652645,176.68000030517578,0.0,6.143571851159401,0.0,10,176.68000030517578,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1777004700,Down,40.39689586030626,141.9200001358986,188.0,0.0,5.6831040037951475,0.0,10,188.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1777005000,Down,13.430837830265299,159.79920085059405,179.27000045776367,0.0,6.039961776904326,0.0,10,179.27000045776367,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1777005300,Down,30.78497912051201,163.00000086426735,200.0,0.0,6.2150200152206425,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-5m-1777005600,Up,0.9429510412326063,24.81240003118515,26.679999828338623,0.0,0.9246487559208678,0.0,2,26.679999828338623,0,0,0,0,2,2,PAT+ACC-M
