slug,outcome_truth,pnl,cost,cash_in,rebates,fees,leftover_redeemed,n_merges,pairs_merged,n_maker_bid_up,n_maker_bid_dn,n_maker_ask_up,n_maker_ask_dn,n_pat_up,n_pat_dn,strategy
btc-updown-15m-1776995100,Up,0.12626001202106474,4.699999988079071,5.0,0.0,0.17373999989986422,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1776999600,Up,7.411555364854337,142.24999964237213,155.0,0.0,5.338444992773532,0.0,9,155.0,0,0,0,0,9,9,PAT+ACC-M
btc-updown-15m-1777000500,Down,31.602551118945023,134.74939968076944,171.72999954223633,0.0,5.378048742521863,0.0,9,171.72999954223633,0,0,0,0,9,9,PAT+ACC-M
btc-updown-15m-1777001400,Down,8.181959033408166,141.50000095367432,155.0,0.0,5.3180400129175185,0.0,8,155.0,0,0,0,0,8,8,PAT+ACC-M
btc-updown-15m-1777003200,Down,0.07587506002187733,4.749999940395355,5.0,0.0,0.17412499958276745,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777004100,Down,0.07587506002187733,4.749999940395355,5.0,0.0,0.17412499958276745,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777005000,Up,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777005900,Up,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777006800,Down,31.607701107742006,142.3633986613512,179.5300006866455,0.0,5.558900917552303,0.0,10,179.5300006866455,0,0,0,0,10,10,PAT+ACC-M
btc-updown-15m-1777007700,Up,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777010400,Down,5.863700460004807,148.5999995470047,160.0,0.0,5.536299992990493,0.0,8,160.0,0,0,0,0,8,8,PAT+ACC-M
btc-updown-15m-1777011300,Down,5.4815949355947975,144.1500000655651,155.0,0.0,5.368404998840093,0.0,9,155.0,0,0,0,0,9,9,PAT+ACC-M
btc-updown-15m-1777012200,Down,9.850405308247804,139.8499996960163,155.0,0.0,5.299594995735884,0.0,8,155.0,0,0,0,0,8,8,PAT+ACC-M
btc-updown-15m-1777013100,Down,4.1367814411404495,145.48520004134178,155.0,0.0,5.378018517517766,0.0,9,155.0,0,0,0,0,9,9,PAT+ACC-M
btc-updown-15m-1777014000,Down,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777014900,Down,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777015800,Down,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777016700,Up,0.22724006629943852,4.599999934434891,5.0,0.0,0.17275999926567073,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777017600,Up,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777019400,Down,6.188768244681734,162.6885981883049,174.91000032424927,0.0,6.032633891262639,0.0,10,174.91000032424927,0,0,0,0,10,10,PAT+ACC-M
btc-updown-15m-1777021200,Down,22.18052234170914,171.19999766349792,200.0,0.0,6.619479994792937,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-15m-1777022100,Down,11.85951954635616,132.0898004062891,149.0,0.0,5.05068004735474,0.0,8,149.0,0,0,0,0,8,8,PAT+ACC-M
btc-updown-15m-1777023000,Up,17.300531525583267,166.29999846220016,190.0,0.0,6.399470012216566,0.0,10,190.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-15m-1777023900,Down,10.038834366171077,139.65600003266334,155.0,0.0,5.305165601165581,0.0,9,155.0,0,0,0,0,9,9,PAT+ACC-M
btc-updown-15m-1777024800,Down,0.27783501810669897,4.549999982118607,5.0,0.0,0.17216499977469446,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777026600,Down,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777027500,Up,16.029322095446588,177.1999979019165,200.0,0.0,6.770680002636908,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-15m-1777029300,Up,0.17671496388673782,4.650000035762787,5.0,0.0,0.1732850003504753,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777030200,Down,0.07587506002187733,4.749999940395355,5.0,0.0,0.17412499958276745,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
btc-updown-15m-1777031100,Down,10.967606927227262,161.25000008940697,177.0,0.0,4.782392983365772,0.0,10,177.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-15m-1777032000,Up,13.24724355865479,179.9999964237213,200.0,0.0,6.752760017623897,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-15m-1777032900,Down,7.3941062489471445,164.47999775409698,178.0,0.0,6.125895996955871,0.0,10,178.0,0,0,0,0,10,10,PAT+ACC-M
btc-updown-15m-1777033800,Down,4.951336070089469,144.67480060358048,155.0,0.0,5.373863326330052,0.0,8,155.0,0,0,0,0,8,8,PAT+ACC-M
btc-updown-15m-1777034700,Up,52.6611652476665,98.42999976154417,155.0,0.0,3.908834990789332,0.0,9,155.0,0,0,0,0,9,9,PAT+ACC-M
btc-updown-15m-1777036500,Down,6.088903108453753,186.99999690055847,200.0,0.0,6.9110999909877755,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M
