slug,outcome_truth,pnl,cost,cash_in,rebates,fees,leftover_redeemed,n_merges,pairs_merged,n_maker_bid_up,n_maker_bid_dn,n_maker_ask_up,n_maker_ask_dn,n_pat_up,n_pat_dn,strategy
btc-updown-15m-1776999600,Up,10.35908528003931,139.34999972581863,155.0,0.0,5.290914994142057,0.0,8,155.0,0,0,0,0,8,8,PAT+ACC-M-t360
btc-updown-15m-1777000500,Down,68.84834484419852,102.1500001475215,175.0,0.0,4.00165500827998,0.0,9,175.0,0,0,0,0,9,9,PAT+ACC-M-t360
btc-updown-15m-1777001400,Down,31.444325307953356,118.74999970197678,155.0,0.0,4.805674990069866,0.0,8,155.0,0,0,0,0,8,8,PAT+ACC-M-t360
btc-updown-15m-1777003200,Down,0.12626001202106474,4.699999988079071,5.0,0.0,0.17373999989986422,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777004100,Down,0.07587506002187733,4.749999940395355,5.0,0.0,0.17412499958276745,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777005000,Up,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777006800,Down,39.83844144977253,143.9633983275652,189.5300006866455,0.0,5.728160909307789,0.0,10,189.5300006866455,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777007700,Up,0.17671496388673782,4.650000035762787,5.0,0.0,0.1732850003504753,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777010400,Down,14.983960217514037,139.59999978542328,160.0,0.0,5.4160399970626845,0.0,9,160.0,0,0,0,0,9,9,PAT+ACC-M-t360
btc-updown-15m-1777011300,Down,10.761606100876332,138.94999891519547,155.0,0.0,5.288394983928203,0.0,9,155.0,0,0,0,0,9,9,PAT+ACC-M-t360
btc-updown-15m-1777012200,Down,21.802319671325684,128.10000032186508,155.0,0.0,5.0976800068092345,0.0,8,155.0,0,0,0,0,8,8,PAT+ACC-M-t360
btc-updown-15m-1777013100,Down,9.232764831171036,140.450000166893,155.0,0.0,5.317235001935959,0.0,8,155.0,0,0,0,0,8,8,PAT+ACC-M-t360
btc-updown-15m-1777014000,Down,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777014900,Down,1.3044350341135265,3.5499999672174454,5.0,0.0,0.14556499866902828,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777015800,Down,1.4086350124382974,3.449999988079071,5.0,0.0,0.1413649994826317,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777016700,Up,0.22724006629943852,4.599999934434891,5.0,0.0,0.17275999926567073,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777017600,Up,0.7363400366640092,4.099999964237213,5.0,0.0,0.16365999909877776,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777019400,Down,62.93666943771798,125.39779852510691,193.32999992370605,0.0,4.995531960881167,0.0,10,193.32999992370605,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777021200,Down,84.47518200927198,111.3999979943037,200.0,0.0,4.124819996424317,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777022100,Down,16.614894183343782,127.40610051825047,149.0,0.0,4.97900529840575,0.0,9,149.0,0,0,0,0,9,9,PAT+ACC-M-t360
btc-updown-15m-1777023900,Down,54.0984803215456,96.9999996945262,155.0,0.0,3.9015199839282038,0.0,8,155.0,0,0,0,0,8,8,PAT+ACC-M-t360
btc-updown-15m-1777024800,Down,1.513114990646243,3.3500000089406967,5.0,0.0,0.1368850004130602,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777026600,Down,0.07587506002187733,4.749999940395355,5.0,0.0,0.17412499958276745,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777029300,Up,1.096875,3.75,5.0,0.0,0.153125,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777030200,Down,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777031100,Down,6.992183846213037,172.68080486236215,183.4500002861023,0.0,3.777011577527106,0.0,10,183.4500002861023,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777032000,Up,13.24724355865479,179.9999964237213,200.0,0.0,6.752760017623897,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777032900,Down,24.847655551787003,148.7971973708153,179.5099983215332,0.0,5.865145398930902,0.0,10,179.5099983215332,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777033800,Down,14.313615435311794,135.44999957084656,155.0,0.0,5.236384993841648,0.0,8,155.0,0,0,0,0,8,8,PAT+ACC-M-t360
btc-updown-15m-1777034700,Up,52.6611652476665,98.42999976154417,155.0,0.0,3.908834990789332,0.0,9,155.0,0,0,0,0,9,9,PAT+ACC-M-t360
btc-updown-15m-1777036500,Down,23.21706197113037,170.1999980211258,200.0,0.0,6.582940007743835,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777037400,Up,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777038300,Down,1.2005149783498048,3.6500000208616257,5.0,0.0,0.14948500078856947,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777039200,Down,14.092284948307666,153.03580034552215,169.11000061035156,0.0,1.9819153165217487,0.0,10,169.11000061035156,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777040100,Down,13.974586882092982,119.33120586161613,137.9600067138672,0.0,4.654213970158079,0.0,8,137.9600067138672,0,0,0,0,8,8,PAT+ACC-M-t360
btc-updown-15m-1777041900,Up,16.382111381247043,162.3999986052513,185.0,0.0,6.217890013501643,0.0,10,185.0,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777042800,Down,15.76620502501361,18.54999997653067,35.0,0.0,0.6837949984557182,0.0,2,35.0,0,0,0,0,2,2,PAT+ACC-M-t360
btc-updown-15m-1777044600,Up,26.04926107512951,167.39999890327454,200.0,0.0,6.550740021595953,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777045500,Up,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777046400,Down,1.4726800733280183,8.199999928474426,10.0,0.0,0.32731999819755553,0.0,1,10.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777047300,Down,3.4356649239161317,69.918799555552,75.01999998092651,0.0,1.665535501458383,0.0,6,75.01999998092651,0,0,0,0,6,6,PAT+ACC-M-t360
btc-updown-15m-1777048200,Down,44.52470032887459,149.39999967813492,200.0,0.0,6.0752999929904945,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777049100,Up,31.158041075429917,162.39999890327454,200.0,0.0,6.441960021295546,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777050000,Down,1.8282350031429528,3.0499999970197678,5.0,0.0,0.12176499983727934,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777050900,Down,7.10216005649805,12.39999994635582,20.0,0.0,0.49783999714612964,0.0,1,20.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777051800,Down,5.326620042373538,9.299999959766865,15.0,0.0,0.3733799978595972,0.0,1,15.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777053600,Down,1.7808700858998299,7.899999916553497,10.0,0.0,0.3191299975466728,0.0,1,10.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777054500,Down,3.2357499374747274,6.500000059604645,10.0,0.0,0.2642500029206276,0.0,1,10.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777056300,Up,1.1018877046772877,104.38209905036686,109.23999786376953,0.0,3.7560111087253825,0.0,6,109.23999786376953,0,0,0,0,6,6,PAT+ACC-M-t360
btc-updown-15m-1777057200,Down,16.49652470121861,176.799995303154,200.0,0.0,6.703479995627399,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777058100,Down,1.0640697836208344,27.90000021457672,30.0,0.0,1.0359300018024444,0.0,2,30.0,0,0,0,0,2,2,PAT+ACC-M-t360
btc-updown-15m-1777059900,Up,14.546552369517089,164.1999976336956,185.0,0.0,6.2534499967873085,0.0,10,185.0,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777060800,Up,28.01448979492738,157.0413988165617,191.27000045776367,0.0,6.214111846274599,0.0,10,191.27000045776367,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777061700,Down,7.722620148842335,21.399999856948853,30.0,0.0,0.8773799942088127,0.0,2,30.0,0,0,0,0,2,2,PAT+ACC-M-t360
btc-updown-15m-1777064400,Down,0.025559958043098463,4.800000041723251,5.0,0.0,0.1744400002336502,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777065300,Up,30.535999708414078,162.80000030994415,200.0,0.0,6.663999981641769,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777066200,Down,57.900933072986604,122.05000191926956,185.0,0.0,5.049065007743835,0.0,10,185.0,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777068900,Down,19.69376114503181,165.41939758894443,191.51000022888184,0.0,6.3968414949055905,0.0,10,191.51000022888184,0,0,0,0,10,10,PAT+ACC-M-t360
btc-updown-15m-1777069800,Down,8.010684169121447,71.39999982202426,80.0,0.0,0.5893160088542969,0.0,5,80.0,0,0,0,0,5,5,PAT+ACC-M-t360
btc-updown-15m-1777072500,Up,1.2005149783498048,3.6500000208616257,5.0,0.0,0.14948500078856947,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M-t360
btc-updown-15m-1777074300,Up,11.909060357302838,138.08899656927588,155.33999633789062,0.0,5.341939411311908,0.0,8,155.33999633789062,0,0,0,0,8,8,PAT+ACC-M-t360
btc-updown-15m-1777075200,Down,5.899821931056978,71.39999806880951,80.0,0.0,2.700180000133512,0.0,4,80.0,0,0,0,0,4,4,PAT+ACC-M-t360
