slug,outcome_truth,pnl,cost,cash_in,rebates,fees,leftover_redeemed,n_merges,pairs_merged,n_maker_bid_up,n_maker_bid_dn,n_maker_ask_up,n_maker_ask_dn,n_pat_up,n_pat_dn,strategy
btc-updown-5m-1776994800,Down,49.356537079208366,139.23039958111048,193.98999977111816,0.0,5.403063110799322,0.0,10,193.98999977111816,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1776995100,Up,4.348159855213165,53.60000014305115,60.0,0.0,2.0518400017356875,0.0,3,60.0,0,0,0,0,3,3,PAT+ACC-M-t60
btc-updown-5m-1776996000,Up,9.79499003075945,94.30680066175461,107.72000026702881,0.0,3.6182095745147516,0.0,6,107.72000026702881,0,0,0,0,6,6,PAT+ACC-M-t60
btc-updown-5m-1776999300,Down,11.150360120310783,181.9999998807907,200.0,0.0,6.849639998898507,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1776999600,Up,23.417265938272713,121.08000006526709,149.25,0.0,4.752733996460199,0.0,8,149.25,0,0,0,0,8,8,PAT+ACC-M-t60
btc-updown-5m-1776999900,Up,23.75163423197508,155.15000075101852,185.0,0.0,6.098365017006397,0.0,10,185.0,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777000200,Down,6.393459862508773,172.20000013709068,185.0,0.0,6.406540000400544,0.0,10,185.0,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777000500,Down,64.11038013064385,130.59999987483025,200.0,0.0,5.28961999452591,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777000800,Down,39.545219522683624,154.20000046491623,200.0,0.0,6.2547800124001505,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777001400,Down,25.435167805654366,153.72959987022875,185.17999982833862,0.0,6.015232152455502,0.0,10,185.17999982833862,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777002000,Down,23.79507930712223,169.60000067949295,200.0,0.0,6.6049200133848185,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777002300,Up,0.10223983217239385,19.200000166893005,20.0,0.0,0.6977600009346008,0.0,1,20.0,0,0,0,0,1,1,PAT+ACC-M-t60
btc-updown-5m-1777002900,Up,2.3309395464038847,171.4000004529953,180.0,0.0,6.269060000600815,0.0,9,180.0,0,0,0,0,9,9,PAT+ACC-M-t60
btc-updown-5m-1777003200,Down,46.0699817871071,139.77569958664776,191.55000019073486,0.0,5.704318816980001,0.0,10,191.55000019073486,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777003500,Up,10.27750591679842,173.59479999918938,190.42000007629395,0.0,6.547694160306149,0.0,10,190.42000007629395,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777004100,Up,7.216420295433997,171.39999970793724,185.0,0.0,6.383579996628763,0.0,10,185.0,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777004700,Down,73.77658015011072,121.39999985694885,200.0,0.0,4.823419992940426,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777005000,Down,13.430837830265299,159.79920085059405,179.27000045776367,0.0,6.039961776904326,0.0,10,179.27000045776367,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777005300,Down,30.78497912051201,163.00000086426735,200.0,0.0,6.2150200152206425,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777005900,Up,7.204859421386718,89.40000057220459,100.0,0.0,3.395140006408692,0.0,5,100.0,0,0,0,0,5,5,PAT+ACC-M-t60
btc-updown-5m-1777006200,Down,19.047770731958572,163.87949997621774,189.27000045776367,0.0,6.342729749587358,0.0,10,189.27000045776367,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777006500,Down,23.473491960306024,140.85900059735775,169.85000038146973,0.0,5.5175078238059525,0.0,9,169.85000038146973,0,0,0,0,9,9,PAT+ACC-M-t60
btc-updown-5m-1777006800,Up,1.6158201207447054,36.99999988079071,40.0,0.0,1.3841799984645842,0.0,2,40.0,0,0,0,0,2,2,PAT+ACC-M-t60
btc-updown-5m-1777007100,Down,45.414020161430834,148.59999984502792,200.0,0.0,5.985979993541241,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t60
btc-updown-5m-1777009200,Down,6.555088213473527,130.75749939560887,141.97000122070312,0.0,4.657413611620723,0.0,8,141.97000122070312,0,0,0,0,8,8,PAT+ACC-M-t60
btc-updown-5m-1777009800,Down,0.7694169689415946,20.246100581431392,21.770000457763672,0.0,0.7544829073906851,0.0,2,21.770000457763672,0,0,0,0,2,2,PAT+ACC-M-t60
btc-updown-5m-1777010400,Down,7.294360001101493,70.0,80.0,0.0,2.7056399988985063,0.0,4,80.0,0,0,0,0,4,4,PAT+ACC-M-t60
btc-updown-5m-1777010700,Up,24.869794622974396,115.5500003695488,145.0,0.0,4.580205007476807,0.0,8,145.0,0,0,0,0,8,8,PAT+ACC-M-t60
btc-updown-5m-1777011000,Up,5.582098040616834,105.42270112882852,114.97000122070312,0.0,3.96520205125777,0.0,6,114.97000122070312,0,0,0,0,6,6,PAT+ACC-M-t60
