slug,outcome_truth,pnl,cost,cash_in,rebates,fees,leftover_redeemed,n_merges,pairs_merged,n_maker_bid_up,n_maker_bid_dn,n_maker_ask_up,n_maker_ask_dn,n_pat_up,n_pat_dn,strategy
btc-updown-5m-1776994800,Down,82.66349999343603,113.00000000745058,200.0,0.0,4.336499999113381,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t210
btc-updown-5m-1776996000,Up,9.473784553434848,82.35000044107437,95.0,0.0,3.17621500549078,0.0,5,95.0,0,0,0,0,5,5,PAT+ACC-M-t210
btc-updown-5m-1776999300,Down,25.478240175375937,167.99999982118607,200.0,0.0,6.521760003437996,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t210
btc-updown-5m-1776999600,Up,23.369980015892985,112.19999998807907,140.0,0.0,4.430019996027946,0.0,7,140.0,0,0,0,0,7,7,PAT+ACC-M-t210
btc-updown-5m-1776999900,Up,51.64921963593245,142.6000003516674,200.0,0.0,5.750780012400151,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t210
btc-updown-5m-1777000200,Down,11.133380122179986,46.99999988079071,60.0,0.0,1.8666199970293045,0.0,3,60.0,0,0,0,0,3,3,PAT+ACC-M-t210
btc-updown-5m-1777000500,Down,92.22560009541512,103.99999991059303,200.0,0.0,3.774399993991852,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t210
btc-updown-5m-1777000800,Down,18.231820023835002,20.999999977648258,40.0,0.0,0.7681799985167385,0.0,2,40.0,0,0,0,0,2,2,PAT+ACC-M-t210
btc-updown-5m-1777001400,Down,90.37100096745873,100.0555998136714,194.0299997329712,0.0,3.6033989518410543,0.0,10,194.0299997329712,0,0,0,0,10,10,PAT+ACC-M-t210
btc-updown-5m-1777002000,Down,67.27516010020315,127.59999990463257,200.0,0.0,5.124839995164275,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t210
btc-updown-5m-1777003200,Down,69.36076192050062,115.61019986491203,189.53999996185303,0.0,4.5690381764403725,0.0,10,189.53999996185303,0,0,0,0,10,10,PAT+ACC-M-t210
btc-updown-5m-1777003500,Up,10.641240449318886,76.39999955892563,90.0,0.0,2.9587599917554854,0.0,5,90.0,0,0,0,0,5,5,PAT+ACC-M-t210
btc-updown-5m-1777004100,Up,10.864360299754502,152.43550058495998,169.0900001525879,0.0,5.790139267873407,0.0,9,169.0900001525879,0,0,0,0,9,9,PAT+ACC-M-t210
btc-updown-5m-1777005000,Down,22.59118385141583,143.9226011540532,172.17000007629395,0.0,5.656215070824904,0.0,10,172.17000007629395,0,0,0,0,10,10,PAT+ACC-M-t210
btc-updown-5m-1777005300,Down,30.78497912051201,163.00000086426735,200.0,0.0,6.2150200152206425,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t210
btc-updown-5m-1777006200,Down,79.89900013267994,115.59999987483025,200.0,0.0,4.500999992489815,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t210
btc-updown-5m-1777006500,Down,22.517899871444705,113.00000011920929,140.0,0.0,4.4821000093460075,0.0,7,140.0,0,0,0,0,7,7,PAT+ACC-M-t210
btc-updown-5m-1777006800,Up,1.6158201207447054,36.99999988079071,40.0,0.0,1.3841799984645842,0.0,2,40.0,0,0,0,0,2,2,PAT+ACC-M-t210
