slug,outcome_truth,pnl,cost,cash_in,rebates,fees,leftover_redeemed,n_merges,pairs_merged,n_maker_bid_up,n_maker_bid_dn,n_maker_ask_up,n_maker_ask_dn,n_pat_up,n_pat_dn,strategy
btc-updown-5m-1777295400,Down,10.269971809318541,9.800000190734863,20.0,0.06997200005340574,0.0,20.0,0,0.0,0,1,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777314000,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340574,0.0,0.0,0,0.0,0,1,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777431900,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340574,0.0,0.0,0,0.0,0,1,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777454700,Down,2.586062388970769,2.37119994699955,4.9399999999999995,0.017262335970319745,0.0,4.9399999999999995,0,0.0,0,4,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777473300,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340576,0.0,0.0,0,0.0,0,4,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777491900,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340576,0.0,0.0,0,0.0,0,5,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777548600,Down,10.269971809318541,9.800000190734863,20.0,0.06997200005340574,0.0,20.0,0,0.0,0,2,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777604100,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340576,0.0,0.0,0,0.0,0,8,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777644000,Down,10.269971809318541,9.800000190734863,20.0,0.06997200005340574,0.0,20.0,0,0.0,0,1,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777662300,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340574,0.0,0.0,0,0.0,0,2,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777681500,Down,10.26997180931854,9.800000190734862,19.999999999999996,0.06997200005340573,0.0,19.999999999999996,0,0.0,0,5,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777738200,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340574,0.0,0.0,0,0.0,0,3,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777775100,Down,10.269971809318541,9.800000190734863,20.0,0.06997200005340576,0.0,20.0,0,0.0,0,2,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777794300,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340574,0.0,0.0,0,0.0,0,2,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777818600,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340574,0.0,0.0,0,0.0,0,1,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777837200,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340574,0.0,0.0,0,0.0,0,2,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777856700,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340574,0.0,0.0,0,0.0,0,2,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777894500,Down,10.269971809318541,9.800000190734863,20.0,0.06997200005340574,0.0,20.0,0,0.0,0,1,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777912800,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340573,0.0,0.0,0,0.0,0,6,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777931400,Down,10.269971809318541,9.800000190734863,20.0,0.06997200005340574,0.0,20.0,0,0.0,0,4,0,0,0,0,ACC-M-sz20
btc-updown-5m-1777988400,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340574,0.0,0.0,0,0.0,0,1,0,0,0,0,ACC-M-sz20
btc-updown-5m-1778026500,Down,10.269971809318541,9.800000190734863,20.0,0.06997200005340574,0.0,20.0,0,0.0,0,1,0,0,0,0,ACC-M-sz20
btc-updown-5m-1778044800,Down,1.8126500243447228,1.7297000336647033,3.53,0.012350058009426115,0.0,3.53,0,0.0,0,3,0,0,0,0,ACC-M-sz20
btc-updown-5m-1778063400,Up,-9.730028190681457,9.800000190734863,0.0,0.06997200005340574,0.0,0.0,0,0.0,0,2,0,0,0,0,ACC-M-sz20
btc-updown-5m-1778082000,Up,10.07,10.0,20.0,0.07,0.0,20.0,0,0.0,4,0,0,0,0,0,ACC-M-sz20
