slug,outcome_truth,pnl,cost,cash_in,rebates,fees,leftover_redeemed,n_merges,pairs_merged,n_maker_bid_up,n_maker_bid_dn,n_maker_ask_up,n_maker_ask_dn,n_pat_up,n_pat_dn,strategy
btc-updown-5m-1776994800,Down,99.42096825764429,149.724602196002,255.02000427246094,0.0,5.874433818814654,0.0,6,255.02000427246094,0,0,0,0,6,6,PAT+ACC-M-t210-COMBO
btc-updown-5m-1776996000,Up,30.30744158579322,216.46870202844144,255.27000427246094,0.0,8.493860658226275,0.0,8,255.27000427246094,0,0,0,0,8,8,PAT+ACC-M-t210-COMBO
btc-updown-5m-1776999300,Down,13.673927326770615,232.6956019431591,255.16000366210938,0.0,8.79047439217967,0.0,6,255.16000366210938,0,0,0,0,6,6,PAT+ACC-M-t210-COMBO
btc-updown-5m-1776999600,Up,35.31092005271303,211.94939775464536,255.6699981689453,0.0,8.409680361586924,0.0,6,255.6699981689453,0,0,0,0,6,6,PAT+ACC-M-t210-COMBO
btc-updown-5m-1776999900,Up,58.43077433319214,188.98840228412155,255.1300048828125,0.0,7.710828265498812,0.0,6,255.1300048828125,0,0,0,0,6,6,PAT+ACC-M-t210-COMBO
btc-updown-5m-1777000200,Down,34.69631968787908,212.97750025987625,255.97000122070312,0.0,8.296181272947788,0.0,6,255.97000122070312,0,0,0,0,6,6,PAT+ACC-M-t210-COMBO
btc-updown-5m-1777000500,Down,112.75502064680589,127.15040211237073,244.52000427246094,0.0,4.614581513284321,0.0,5,244.52000427246094,0,0,0,0,5,5,PAT+ACC-M-t210-COMBO
btc-updown-5m-1777000800,Down,113.68225015490874,131.49999985471368,250.0,0.0,4.8177499903775765,0.0,5,250.0,0,0,0,0,5,5,PAT+ACC-M-t210-COMBO
btc-updown-5m-1777001400,Down,115.38707808593622,135.4443037161015,255.82000732421875,0.0,4.9886255221810245,0.0,6,255.82000732421875,0,0,0,0,6,6,PAT+ACC-M-t210-COMBO
btc-updown-5m-1777002000,Down,82.74306925048121,165.58050111350417,255.0500030517578,0.0,6.726432687772435,0.0,6,255.0500030517578,0,0,0,0,6,6,PAT+ACC-M-t210-COMBO
btc-updown-5m-1777003200,Down,100.5770209859043,149.20910287428796,255.6300048828125,0.0,5.84388102262024,0.0,6,255.6300048828125,0,0,0,0,6,6,PAT+ACC-M-t210-COMBO
btc-updown-5m-1777003500,Up,33.09650276425701,213.9016020795345,255.44000244140625,0.0,8.441897597614727,0.0,8,255.44000244140625,0,0,0,0,8,8,PAT+ACC-M-t210-COMBO
btc-updown-5m-1777004100,Up,18.156142013584372,228.6336054433823,255.52000427246094,0.0,8.73025681549427,0.0,6,255.52000427246094,0,0,0,0,6,6,PAT+ACC-M-t210-COMBO
btc-updown-5m-1777005000,Down,35.96787326584454,210.91150329595803,255.19000244140625,0.0,8.310625879603682,0.0,6,255.19000244140625,0,0,0,0,6,6,PAT+ACC-M-t210-COMBO
btc-updown-5m-1777005300,Down,7.652385398395751,238.5875960521937,255.08999633789062,0.0,8.850014887301171,0.0,7,255.08999633789062,0,0,0,0,7,7,PAT+ACC-M-t210-COMBO
btc-updown-5m-1777006200,Down,97.96720693626817,151.7547041415304,255.7100067138672,0.0,5.988095636068626,0.0,6,255.7100067138672,0,0,0,0,6,6,PAT+ACC-M-t210-COMBO
btc-updown-5m-1777006500,Down,41.518232663954954,205.62920691268454,255.32000732421875,0.0,8.172567747579258,0.0,6,255.32000732421875,0,0,0,0,6,6,PAT+ACC-M-t210-COMBO
btc-updown-5m-1777006800,Up,5.766574805737497,127.45999920368195,138.0,0.0,4.773425990580558,0.0,3,138.0,0,0,0,0,3,3,PAT+ACC-M-t210-COMBO
