slug,outcome_truth,pnl,cost,cash_in,rebates,fees,leftover_redeemed,n_merges,pairs_merged,n_maker_bid_up,n_maker_bid_dn,n_maker_ask_up,n_maker_ask_dn,n_pat_up,n_pat_dn,strategy
sol-updown-15m-1776999600,Up,10.96297142152206,132.90289783201217,148.92000007629395,0.0,5.054130822759713,0.0,10,148.92000007629395,0,0,0,0,10,10,PAT+ACC-M
sol-updown-15m-1777000500,Down,26.25244566733854,164.12879861171245,196.81999969482422,0.0,6.4387554157732225,0.0,10,196.81999969482422,0,0,0,0,10,10,PAT+ACC-M
sol-updown-15m-1777003200,Down,54.546053446458316,58.429998747305945,115.0,0.0,2.0239478062357383,0.0,7,115.0,0,0,0,0,7,7,PAT+ACC-M
sol-updown-15m-1777005000,Down,104.05360278892637,63.130001090466976,170.0,0.0,2.8163961206066537,0.0,10,170.0,0,0,0,0,10,10,PAT+ACC-M
sol-updown-15m-1777012200,Down,29.357857225320835,29.58000057376921,60.0,0.0,1.0621422009099526,0.0,3,60.0,0,0,0,0,3,3,PAT+ACC-M
sol-updown-15m-1777015800,Down,38.522554920703115,49.15999986171723,89.60000038146973,0.0,1.9174455990493768,0.0,5,89.60000038146973,0,0,0,0,5,5,PAT+ACC-M
sol-updown-15m-1777017600,Down,2.40180139949191,2.5100000004749745,5.0,0.0,0.08819860003311523,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
sol-updown-15m-1777021200,Down,27.878614074630132,26.15759960449077,55.0,0.0,0.9637863208790982,0.0,4,55.0,0,0,0,0,4,4,PAT+ACC-M
sol-updown-15m-1777023900,Up,0.0015654938245362598,5.326200204688313,5.380000114440918,0.0,0.05223441592806914,0.0,1,5.380000114440918,0,0,0,0,1,1,PAT+ACC-M
sol-updown-15m-1777033800,Down,17.664450156180557,27.41971986681756,45.859999656677246,0.0,0.7758296336791292,0.0,3,45.859999656677246,0,0,0,0,3,3,PAT+ACC-M
sol-updown-15m-1777036500,Down,2.301941494592313,2.609999905107543,5.0,0.0,0.08805860030014391,0.0,1,5.0,0,0,0,0,1,1,PAT+ACC-M
sol-updown-15m-1777038300,Down,7.711926950278824,9.073600433313846,17.1200008392334,0.0,0.33447345564072845,0.0,1,17.1200008392334,0,0,0,0,1,1,PAT+ACC-M
sol-updown-15m-1777040100,Down,88.38231184762189,68.56560000265539,159.82000064849854,0.0,2.8720887982212537,0.0,10,159.82000064849854,0,0,0,0,10,10,PAT+ACC-M
sol-updown-15m-1777046400,Down,61.500132126214716,90.35989949072004,154.60000038146973,0.0,2.739968764534969,0.0,10,154.60000038146973,0,0,0,0,10,10,PAT+ACC-M
sol-updown-15m-1777053600,Down,76.74417110290284,113.61759932821393,193.96000003814697,0.0,3.5982296070301985,0.0,10,193.96000003814697,0,0,0,0,10,10,PAT+ACC-M
