slug,outcome_truth,slot_start_s,tf,ACC-M-sz20.n_maker_bid_up,ACC-M-sz20.n_maker_bid_dn,ACC-M-sz20.n_maker_ask_up,ACC-M-sz20.n_maker_ask_dn,ACC-M-sz20.n_taker_up,ACC-M-sz20.n_taker_dn,ACC-M-sz20.inv_up,ACC-M-sz20.inv_dn,ACC-M-sz20.cost_paid,ACC-M-sz20.cash_received,ACC-M-sz20.rebates,ACC-M-sz20.taker_fees,ACC-M-sz20.leftover_redeemed,ACC-M-sz20.leftover_burned_cost,ACC-M-sz20.n_merges,ACC-M-sz20.pairs_merged,ACC-M-sz20.pnl,PAT-sz20-c97.n_maker_bid_up,PAT-sz20-c97.n_maker_bid_dn,PAT-sz20-c97.n_maker_ask_up,PAT-sz20-c97.n_maker_ask_dn,PAT-sz20-c97.n_taker_up,PAT-sz20-c97.n_taker_dn,PAT-sz20-c97.inv_up,PAT-sz20-c97.inv_dn,PAT-sz20-c97.cost_paid,PAT-sz20-c97.cash_received,PAT-sz20-c97.rebates,PAT-sz20-c97.taker_fees,PAT-sz20-c97.leftover_redeemed,PAT-sz20-c97.leftover_burned_cost,PAT-sz20-c97.n_merges,PAT-sz20-c97.pairs_merged,PAT-sz20-c97.pnl,PAT-sz20-c98.n_maker_bid_up,PAT-sz20-c98.n_maker_bid_dn,PAT-sz20-c98.n_maker_ask_up,PAT-sz20-c98.n_maker_ask_dn,PAT-sz20-c98.n_taker_up,PAT-sz20-c98.n_taker_dn,PAT-sz20-c98.inv_up,PAT-sz20-c98.inv_dn,PAT-sz20-c98.cost_paid,PAT-sz20-c98.cash_received,PAT-sz20-c98.rebates,PAT-sz20-c98.taker_fees,PAT-sz20-c98.leftover_redeemed,PAT-sz20-c98.leftover_burned_cost,PAT-sz20-c98.n_merges,PAT-sz20-c98.pairs_merged,PAT-sz20-c98.pnl,PAT-sz20-c99.n_maker_bid_up,PAT-sz20-c99.n_maker_bid_dn,PAT-sz20-c99.n_maker_ask_up,PAT-sz20-c99.n_maker_ask_dn,PAT-sz20-c99.n_taker_up,PAT-sz20-c99.n_taker_dn,PAT-sz20-c99.inv_up,PAT-sz20-c99.inv_dn,PAT-sz20-c99.cost_paid,PAT-sz20-c99.cash_received,PAT-sz20-c99.rebates,PAT-sz20-c99.taker_fees,PAT-sz20-c99.leftover_redeemed,PAT-sz20-c99.leftover_burned_cost,PAT-sz20-c99.n_merges,PAT-sz20-c99.pairs_merged,PAT-sz20-c99.pnl,PAT-sz20-c1.00.n_maker_bid_up,PAT-sz20-c1.00.n_maker_bid_dn,PAT-sz20-c1.00.n_maker_ask_up,PAT-sz20-c1.00.n_maker_ask_dn,PAT-sz20-c1.00.n_taker_up,PAT-sz20-c1.00.n_taker_dn,PAT-sz20-c1.00.inv_up,PAT-sz20-c1.00.inv_dn,PAT-sz20-c1.00.cost_paid,PAT-sz20-c1.00.cash_received,PAT-sz20-c1.00.rebates,PAT-sz20-c1.00.taker_fees,PAT-sz20-c1.00.leftover_redeemed,PAT-sz20-c1.00.leftover_burned_cost,PAT-sz20-c1.00.n_merges,PAT-sz20-c1.00.pairs_merged,PAT-sz20-c1.00.pnl,PAT-sz20-c1.01.n_maker_bid_up,PAT-sz20-c1.01.n_maker_bid_dn,PAT-sz20-c1.01.n_maker_ask_up,PAT-sz20-c1.01.n_maker_ask_dn,PAT-sz20-c1.01.n_taker_up,PAT-sz20-c1.01.n_taker_dn,PAT-sz20-c1.01.inv_up,PAT-sz20-c1.01.inv_dn,PAT-sz20-c1.01.cost_paid,PAT-sz20-c1.01.cash_received,PAT-sz20-c1.01.rebates,PAT-sz20-c1.01.taker_fees,PAT-sz20-c1.01.leftover_redeemed,PAT-sz20-c1.01.leftover_burned_cost,PAT-sz20-c1.01.n_merges,PAT-sz20-c1.01.pairs_merged,PAT-sz20-c1.01.pnl,PAT-sz50-c1.00.n_maker_bid_up,PAT-sz50-c1.00.n_maker_bid_dn,PAT-sz50-c1.00.n_maker_ask_up,PAT-sz50-c1.00.n_maker_ask_dn,PAT-sz50-c1.00.n_taker_up,PAT-sz50-c1.00.n_taker_dn,PAT-sz50-c1.00.inv_up,PAT-sz50-c1.00.inv_dn,PAT-sz50-c1.00.cost_paid,PAT-sz50-c1.00.cash_received,PAT-sz50-c1.00.rebates,PAT-sz50-c1.00.taker_fees,PAT-sz50-c1.00.leftover_redeemed,PAT-sz50-c1.00.leftover_burned_cost,PAT-sz50-c1.00.n_merges,PAT-sz50-c1.00.pairs_merged,PAT-sz50-c1.00.pnl,PAT-sz100-c1.00.n_maker_bid_up,PAT-sz100-c1.00.n_maker_bid_dn,PAT-sz100-c1.00.n_maker_ask_up,PAT-sz100-c1.00.n_maker_ask_dn,PAT-sz100-c1.00.n_taker_up,PAT-sz100-c1.00.n_taker_dn,PAT-sz100-c1.00.inv_up,PAT-sz100-c1.00.inv_dn,PAT-sz100-c1.00.cost_paid,PAT-sz100-c1.00.cash_received,PAT-sz100-c1.00.rebates,PAT-sz100-c1.00.taker_fees,PAT-sz100-c1.00.leftover_redeemed,PAT-sz100-c1.00.leftover_burned_cost,PAT-sz100-c1.00.n_merges,PAT-sz100-c1.00.pairs_merged,PAT-sz100-c1.00.pnl,PAT-sz20-c1.00-thin500.n_maker_bid_up,PAT-sz20-c1.00-thin500.n_maker_bid_dn,PAT-sz20-c1.00-thin500.n_maker_ask_up,PAT-sz20-c1.00-thin500.n_maker_ask_dn,PAT-sz20-c1.00-thin500.n_taker_up,PAT-sz20-c1.00-thin500.n_taker_dn,PAT-sz20-c1.00-thin500.inv_up,PAT-sz20-c1.00-thin500.inv_dn,PAT-sz20-c1.00-thin500.cost_paid,PAT-sz20-c1.00-thin500.cash_received,PAT-sz20-c1.00-thin500.rebates,PAT-sz20-c1.00-thin500.taker_fees,PAT-sz20-c1.00-thin500.leftover_redeemed,PAT-sz20-c1.00-thin500.leftover_burned_cost,PAT-sz20-c1.00-thin500.n_merges,PAT-sz20-c1.00-thin500.pairs_merged,PAT-sz20-c1.00-thin500.pnl,PAT+ACC-M-sz20-c1.00.n_maker_bid_up,PAT+ACC-M-sz20-c1.00.n_maker_bid_dn,PAT+ACC-M-sz20-c1.00.n_maker_ask_up,PAT+ACC-M-sz20-c1.00.n_maker_ask_dn,PAT+ACC-M-sz20-c1.00.n_taker_up,PAT+ACC-M-sz20-c1.00.n_taker_dn,PAT+ACC-M-sz20-c1.00.inv_up,PAT+ACC-M-sz20-c1.00.inv_dn,PAT+ACC-M-sz20-c1.00.cost_paid,PAT+ACC-M-sz20-c1.00.cash_received,PAT+ACC-M-sz20-c1.00.rebates,PAT+ACC-M-sz20-c1.00.taker_fees,PAT+ACC-M-sz20-c1.00.leftover_redeemed,PAT+ACC-M-sz20-c1.00.leftover_burned_cost,PAT+ACC-M-sz20-c1.00.n_merges,PAT+ACC-M-sz20-c1.00.pairs_merged,PAT+ACC-M-sz20-c1.00.pnl
btc-updown-15m-1778769000,Up,1778769000,15m,1,1,0,0,0,0,14.399998931884763,0.0,6.24199936232568,14.599998931884762,0.05048483592511367,0.0,14.399998931884763,0.0,1,0.20000000000000018,8.408484405484195,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,96.59000152265652,97.11999988555908,0.0,0.8227710657354776,0.0,0.0,7,97.11999988555908,-0.29277270283291723,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,1,0,0,0,0,14.399998931884763,0.0,6.24199936232568,14.599998931884762,0.05048483592511367,0.0,14.399998931884763,0.0,1,0.20000000000000018,8.408484405484195
btc-updown-15m-1778769900,Up,1778769900,15m,3,3,0,0,0,0,12.0,0.0,30.880000591278076,32.0,0.12959519427757243,0.0,12.0,0.0,3,20.0,1.249594602999494,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,31.653360646519214,31.800000190734863,0.0,0.023463209940935204,0.0,0.0,2,31.800000190734863,0.12317633427471375,0,0,0,0,0,0,0.0,0.0,117.61513094353106,117.77000045776367,0.0,0.39965377740413954,0.0,0.0,7,117.77000045776367,-0.24478426317152424,0,0,0,0,0,0,0.0,0.0,31.653360646519214,31.800000190734863,0.0,0.023463209940935204,0.0,0.0,2,31.800000190734863,0.12317633427471375,0,0,0,0,0,0,0.0,0.0,31.653360646519214,31.800000190734863,0.0,0.023463209940935204,0.0,0.0,2,31.800000190734863,0.12317633427471375,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,3,0,0,0,0,12.0,0.0,62.53336123779729,63.80000019073486,0.12959519427757243,0.023463209940935204,12.0,0.0,5,51.80000019073486,1.3727709372742112
btc-updown-15m-1778770800,Up,1778770800,15m,3,6,0,0,0,0,11.660000114440919,0.0,37.635499193120005,40.0,0.211676826622215,0.0,11.660000114440919,0.0,3,28.33999988555908,2.576177633502212,0,0,0,0,0,0,0.0,0.0,14.83080020500421,16.010000228881836,0.0,0.47892600744593106,0.0,0.0,2,16.010000228881836,0.7002740164316957,0,0,0,0,0,0,0.0,0.0,14.83080020500421,16.010000228881836,0.0,0.47892600744593106,0.0,0.0,2,16.010000228881836,0.7002740164316957,0,0,0,0,0,0,0.0,0.0,25.035600403571124,26.640000343322754,0.0,0.7966567040363901,0.0,0.0,3,26.640000343322754,0.8077432357152401,0,0,0,0,0,0,0.0,0.0,44.83560037078857,46.640000343322754,0.0,0.9421167079124801,0.0,0.0,4,46.640000343322754,0.8622832646217047,0,0,0,0,0,0,0.0,0.0,56.63480056304931,58.68000030517578,0.0,1.2116441353236738,0.0,0.0,5,58.68000030517578,0.833555606802797,0,0,0,0,0,0,0.0,0.0,74.53560032161474,76.64000034332275,0.0,1.1603067137266152,0.0,0.0,4,76.64000034332275,0.9440933079814016,0,0,0,0,0,0,0.0,0.0,124.03560023965835,126.64000034332275,0.0,1.5239567234168403,0.0,0.0,4,126.64000034332275,1.080443380247563,0,0,0,0,0,0,0.0,0.0,44.83560037078857,46.640000343322754,0.0,0.9421167079124801,0.0,0.0,4,46.640000343322754,0.8622832646217047,3,6,0,0,0,0,11.660000114440919,0.0,82.47109956390858,86.64000034332275,0.211676826622215,0.9421167079124801,11.660000114440919,0.0,7,74.98000022888183,3.4384608981239024
btc-updown-15m-1778771700,Up,1778771700,15m,4,7,0,0,0,0,0.0,10.89000026702881,31.135799697208405,25.099999732971188,0.19359401475098584,0.0,0.0,5.445000133514405,3,25.099999732971188,-5.842205949486232,0,0,0,0,0,0,0.0,0.0,18.199999928474426,20.0,0.0,0.6634599970960617,0.0,0.0,1,20.0,1.136540074429512,0,0,0,0,0,0,0.0,0.0,18.199999928474426,20.0,0.0,0.6634599970960617,0.0,0.0,1,20.0,1.136540074429512,0,0,0,0,0,0,0.0,0.0,18.199999928474426,20.0,0.0,0.6634599970960617,0.0,0.0,1,20.0,1.136540074429512,0,0,0,0,0,0,0.0,0.0,33.88979998100996,36.010000228881836,0.0,0.8649618757680344,0.0,0.0,2,36.010000228881836,1.2552383721038438,0,0,0,0,0,0,0.0,0.0,53.489800362479684,56.010000228881836,0.0,1.4636018788388658,0.0,0.0,3,56.010000228881836,1.0565979875632858,0,0,0,0,0,0,0.0,0.0,42.79870077912807,45.80000114440918,0.0,1.1897255747173452,0.0,0.0,2,45.80000114440918,1.8115747905637656,0,0,0,0,0,0,0.0,0.0,42.79870077912807,45.80000114440918,0.0,1.1897255747173452,0.0,0.0,2,45.80000114440918,1.8115747905637656,0,0,0,0,0,0,0.0,0.0,33.88979998100996,36.010000228881836,0.0,0.8649618757680344,0.0,0.0,2,36.010000228881836,1.2552383721038438,4,7,0,0,0,0,0.0,10.89000026702881,65.02559967821836,61.10999996185302,0.19359401475098584,0.8649618757680344,0.0,5.445000133514405,5,61.10999996185302,-4.586967577382384
btc-updown-15m-1778772600,Up,1778772600,15m,5,1,0,0,0,0,8.140000343322754,0.0,20.330200487184527,27.140000343322754,0.15167059594703472,0.0,8.140000343322754,0.0,2,19.0,6.961470452085262,0,0,0,0,0,0,0.0,0.0,17.29000049829483,19.0,0.0,0.5957070021562572,0.0,0.0,1,19.0,1.1142924995489125,0,0,0,0,0,0,0.0,0.0,17.29000049829483,19.0,0.0,0.5957070021562572,0.0,0.0,1,19.0,1.1142924995489125,0,0,0,0,0,0,0.0,0.0,17.29000049829483,19.0,0.0,0.5957070021562572,0.0,0.0,1,19.0,1.1142924995489125,0,0,0,0,0,0,0.0,0.0,37.09000061452389,39.0,0.0,0.7658069918923374,0.0,0.0,2,39.0,1.144192393583775,0,0,0,0,0,0,0.0,0.0,42.51000056967139,44.420000076293945,0.0,0.7949449194801779,0.0,0.0,3,44.420000076293945,1.1150545871423767,0,0,0,0,0,0,0.0,0.0,42.04000064358115,44.0,0.0,0.8083319893263573,0.0,0.0,2,44.0,1.1516673670924908,0,0,0,0,0,0,0.0,0.0,42.04000064358115,44.0,0.0,0.8083319893263573,0.0,0.0,2,44.0,1.1516673670924908,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,5,1,0,0,0,0,8.140000343322754,0.0,57.420201101708415,66.14000034332275,0.15167059594703472,0.7658069918923374,8.140000343322754,0.0,4,58.0,8.105662845669041
btc-updown-15m-1778773500,Up,1778773500,15m,2,8,0,0,0,0,0.0,10.839999580383303,23.220000100135806,20.0,0.17611999899864195,0.0,0.0,14.619999957084657,3,20.0,-3.0438801011371623,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,150.33000170737506,150.32999992370605,0.0,0.7320429320889874,0.0,0.0,9,150.32999992370605,-0.7320447157579937,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2,8,0,0,0,0,0.0,10.839999580383303,23.220000100135806,20.0,0.17611999899864195,0.0,0.0,14.619999957084657,3,20.0,-3.0438801011371623
btc-updown-15m-1778774400,Up,1778774400,15m,4,0,0,0,0,0,15.379999895095825,0.0,8.920399682474137,15.379999895095825,0.05245195221720117,0.0,15.379999895095825,0.0,0,0.0,6.512052164838888,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,19.800000339746475,20.0,0.0,0.19417998073220216,0.0,0.0,1,20.0,0.005819679521322618,0,0,0,0,0,0,0.0,0.0,59.80000086128712,60.0,0.0,0.43133994624376204,0.0,0.0,3,60.0,-0.23134080753087904,0,0,0,0,0,0,0.0,0.0,25.70039953461884,25.959999084472656,0.0,0.25204560610154436,0.0,0.0,1,25.959999084472656,0.007553943752272918,0,0,0,0,0,0,0.0,0.0,25.70039953461884,25.959999084472656,0.0,0.25204560610154436,0.0,0.0,1,25.959999084472656,0.007553943752272918,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,0,0,0,0,0,15.379999895095821,0.0,28.720400022220613,35.37999989509582,0.05245195221720117,0.19417998073220216,15.379999895095821,0.0,1,20.0,6.517871844360211
btc-updown-15m-1778775300,Up,1778775300,15m,2,1,0,0,0,0,9.139999923706053,0.0,17.070799891853333,20.0,0.09471806689961232,0.0,9.139999923706053,0.0,1,10.860000076293947,3.02391817504628,0,0,0,0,0,0,0.0,0.0,39.02360068186522,41.80000019073486,0.0,1.0173676743496194,0.0,0.0,3,41.80000019073486,1.7590318345200253,0,0,0,0,0,0,0.0,0.0,39.02360068186522,41.80000019073486,0.0,1.0173676743496194,0.0,0.0,3,41.80000019073486,1.7590318345200253,0,0,0,0,0,0,0.0,0.0,43.773600771272186,46.80000019073486,0.0,1.1917726746500268,0.0,0.0,4,46.80000019073486,1.8346267448126508,0,0,0,0,0,0,0.0,0.0,47.634600675636534,50.09000015258789,0.0,1.024933424167576,0.0,0.0,4,50.09000015258789,1.4304660527837805,0,0,0,0,0,0,0.0,0.0,77.84620086078644,81.67000007629395,0.0,2.098792483742951,0.0,0.0,7,81.67000007629395,1.7250067317645552,0,0,0,0,0,0,0.0,0.0,75.8346010511458,80.09000015258789,0.0,1.7649734183096313,0.0,0.0,4,80.09000015258789,2.490425683132463,0,0,0,0,0,0,0.0,0.0,122.83460167699457,130.0900001525879,0.0,2.9983734085463905,0.0,0.0,4,130.0900001525879,4.257025067046934,0,0,0,0,0,0,0.0,0.0,28.834600425297026,30.09000015258789,0.0,0.5315734280728724,0.0,0.0,3,30.09000015258789,0.7238262992179921,2,1,0,0,0,0,9.139999923706053,0.0,64.70540056748987,70.09000015258789,0.09471806689961232,1.024933424167576,9.139999923706053,0.0,5,60.950000228881834,4.454384227830056
btc-updown-15m-1778776200,Down,1778776200,15m,9,6,0,0,0,0,0.0,14.280000152587892,58.76800026035309,60.0,0.3104023983297345,0.0,14.280000152587892,0.0,6,45.71999984741211,1.5424021379766444,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,10.56000017374754,11.0,0.0,0.1620079929871558,0.0,0.0,1,11.0,0.2779918332653047,0,0,0,0,0,0,0.0,0.0,10.56000017374754,11.0,0.0,0.1620079929871558,0.0,0.0,1,11.0,0.2779918332653047,0,0,0,0,0,0,0.0,0.0,10.56000017374754,11.0,0.0,0.1620079929871558,0.0,0.0,1,11.0,0.2779918332653047,0,0,0,0,0,0,0.0,0.0,56.536200865554804,57.36999988555908,0.0,0.951130555049287,0.0,0.0,4,57.36999988555908,-0.11733153504500882,0,0,0,0,0,0,0.0,0.0,10.56000017374754,11.0,0.0,0.1620079929871558,0.0,0.0,1,11.0,0.2779918332653047,0,0,0,0,0,0,0.0,0.0,10.56000017374754,11.0,0.0,0.1620079929871558,0.0,0.0,1,11.0,0.2779918332653047,0,0,0,0,0,0,0.0,0.0,10.56000017374754,11.0,0.0,0.1620079929871558,0.0,0.0,1,11.0,0.2779918332653047,9,6,0,0,0,0,0.0,14.280000152587892,69.32800043410063,71.0,0.3104023983297345,0.1620079929871558,14.280000152587892,0.0,7,56.71999984741211,1.820393971241942
btc-updown-15m-1778777100,Up,1778777100,15m,3,2,0,0,0,0,4.0,0.0,19.23000007867813,25.0,0.1516074014259338,0.0,4.0,0.0,2,21.0,5.921607322747803,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,82.33782100217539,82.63000011444092,0.0,0.1402532667125989,0.0,0.0,5,82.63000011444092,0.15192584555293037,0,0,0,0,0,0,0.0,0.0,186.1859821282518,185.9800000190735,0.0,0.9812258556573195,0.0,0.0,10,185.9800000190735,-1.1872079648356273,0,0,0,0,0,0,0.0,0.0,82.33782100217539,82.63000011444092,0.0,0.1402532667125989,0.0,0.0,5,82.63000011444092,0.15192584555293037,0,0,0,0,0,0,0.0,0.0,82.33782100217539,82.63000011444092,0.0,0.1402532667125989,0.0,0.0,5,82.63000011444092,0.15192584555293037,0,0,0,0,0,0,0.0,0.0,82.33782100217539,82.63000011444092,0.0,0.1402532667125989,0.0,0.0,5,82.63000011444092,0.15192584555293037,3,2,0,0,0,0,4.0,0.0,101.56782108085352,107.63000011444092,0.1516074014259338,0.1402532667125989,4.0,0.0,7,103.63000011444092,6.073533168300734
