slug,outcome_truth,slot_start_s,tf,ACC-M-sz20.n_maker_bid_up,ACC-M-sz20.n_maker_bid_dn,ACC-M-sz20.n_maker_ask_up,ACC-M-sz20.n_maker_ask_dn,ACC-M-sz20.n_taker_up,ACC-M-sz20.n_taker_dn,ACC-M-sz20.inv_up,ACC-M-sz20.inv_dn,ACC-M-sz20.cost_paid,ACC-M-sz20.cash_received,ACC-M-sz20.rebates,ACC-M-sz20.taker_fees,ACC-M-sz20.leftover_redeemed,ACC-M-sz20.leftover_burned_cost,ACC-M-sz20.n_merges,ACC-M-sz20.pairs_merged,ACC-M-sz20.pnl,PAT-sz20-c97.n_maker_bid_up,PAT-sz20-c97.n_maker_bid_dn,PAT-sz20-c97.n_maker_ask_up,PAT-sz20-c97.n_maker_ask_dn,PAT-sz20-c97.n_taker_up,PAT-sz20-c97.n_taker_dn,PAT-sz20-c97.inv_up,PAT-sz20-c97.inv_dn,PAT-sz20-c97.cost_paid,PAT-sz20-c97.cash_received,PAT-sz20-c97.rebates,PAT-sz20-c97.taker_fees,PAT-sz20-c97.leftover_redeemed,PAT-sz20-c97.leftover_burned_cost,PAT-sz20-c97.n_merges,PAT-sz20-c97.pairs_merged,PAT-sz20-c97.pnl,PAT-sz20-c98.n_maker_bid_up,PAT-sz20-c98.n_maker_bid_dn,PAT-sz20-c98.n_maker_ask_up,PAT-sz20-c98.n_maker_ask_dn,PAT-sz20-c98.n_taker_up,PAT-sz20-c98.n_taker_dn,PAT-sz20-c98.inv_up,PAT-sz20-c98.inv_dn,PAT-sz20-c98.cost_paid,PAT-sz20-c98.cash_received,PAT-sz20-c98.rebates,PAT-sz20-c98.taker_fees,PAT-sz20-c98.leftover_redeemed,PAT-sz20-c98.leftover_burned_cost,PAT-sz20-c98.n_merges,PAT-sz20-c98.pairs_merged,PAT-sz20-c98.pnl,PAT-sz20-c99.n_maker_bid_up,PAT-sz20-c99.n_maker_bid_dn,PAT-sz20-c99.n_maker_ask_up,PAT-sz20-c99.n_maker_ask_dn,PAT-sz20-c99.n_taker_up,PAT-sz20-c99.n_taker_dn,PAT-sz20-c99.inv_up,PAT-sz20-c99.inv_dn,PAT-sz20-c99.cost_paid,PAT-sz20-c99.cash_received,PAT-sz20-c99.rebates,PAT-sz20-c99.taker_fees,PAT-sz20-c99.leftover_redeemed,PAT-sz20-c99.leftover_burned_cost,PAT-sz20-c99.n_merges,PAT-sz20-c99.pairs_merged,PAT-sz20-c99.pnl,PAT-sz20-c1.00.n_maker_bid_up,PAT-sz20-c1.00.n_maker_bid_dn,PAT-sz20-c1.00.n_maker_ask_up,PAT-sz20-c1.00.n_maker_ask_dn,PAT-sz20-c1.00.n_taker_up,PAT-sz20-c1.00.n_taker_dn,PAT-sz20-c1.00.inv_up,PAT-sz20-c1.00.inv_dn,PAT-sz20-c1.00.cost_paid,PAT-sz20-c1.00.cash_received,PAT-sz20-c1.00.rebates,PAT-sz20-c1.00.taker_fees,PAT-sz20-c1.00.leftover_redeemed,PAT-sz20-c1.00.leftover_burned_cost,PAT-sz20-c1.00.n_merges,PAT-sz20-c1.00.pairs_merged,PAT-sz20-c1.00.pnl,PAT-sz20-c1.01.n_maker_bid_up,PAT-sz20-c1.01.n_maker_bid_dn,PAT-sz20-c1.01.n_maker_ask_up,PAT-sz20-c1.01.n_maker_ask_dn,PAT-sz20-c1.01.n_taker_up,PAT-sz20-c1.01.n_taker_dn,PAT-sz20-c1.01.inv_up,PAT-sz20-c1.01.inv_dn,PAT-sz20-c1.01.cost_paid,PAT-sz20-c1.01.cash_received,PAT-sz20-c1.01.rebates,PAT-sz20-c1.01.taker_fees,PAT-sz20-c1.01.leftover_redeemed,PAT-sz20-c1.01.leftover_burned_cost,PAT-sz20-c1.01.n_merges,PAT-sz20-c1.01.pairs_merged,PAT-sz20-c1.01.pnl,PAT-sz50-c1.00.n_maker_bid_up,PAT-sz50-c1.00.n_maker_bid_dn,PAT-sz50-c1.00.n_maker_ask_up,PAT-sz50-c1.00.n_maker_ask_dn,PAT-sz50-c1.00.n_taker_up,PAT-sz50-c1.00.n_taker_dn,PAT-sz50-c1.00.inv_up,PAT-sz50-c1.00.inv_dn,PAT-sz50-c1.00.cost_paid,PAT-sz50-c1.00.cash_received,PAT-sz50-c1.00.rebates,PAT-sz50-c1.00.taker_fees,PAT-sz50-c1.00.leftover_redeemed,PAT-sz50-c1.00.leftover_burned_cost,PAT-sz50-c1.00.n_merges,PAT-sz50-c1.00.pairs_merged,PAT-sz50-c1.00.pnl,PAT-sz100-c1.00.n_maker_bid_up,PAT-sz100-c1.00.n_maker_bid_dn,PAT-sz100-c1.00.n_maker_ask_up,PAT-sz100-c1.00.n_maker_ask_dn,PAT-sz100-c1.00.n_taker_up,PAT-sz100-c1.00.n_taker_dn,PAT-sz100-c1.00.inv_up,PAT-sz100-c1.00.inv_dn,PAT-sz100-c1.00.cost_paid,PAT-sz100-c1.00.cash_received,PAT-sz100-c1.00.rebates,PAT-sz100-c1.00.taker_fees,PAT-sz100-c1.00.leftover_redeemed,PAT-sz100-c1.00.leftover_burned_cost,PAT-sz100-c1.00.n_merges,PAT-sz100-c1.00.pairs_merged,PAT-sz100-c1.00.pnl,PAT-sz20-c1.00-thin500.n_maker_bid_up,PAT-sz20-c1.00-thin500.n_maker_bid_dn,PAT-sz20-c1.00-thin500.n_maker_ask_up,PAT-sz20-c1.00-thin500.n_maker_ask_dn,PAT-sz20-c1.00-thin500.n_taker_up,PAT-sz20-c1.00-thin500.n_taker_dn,PAT-sz20-c1.00-thin500.inv_up,PAT-sz20-c1.00-thin500.inv_dn,PAT-sz20-c1.00-thin500.cost_paid,PAT-sz20-c1.00-thin500.cash_received,PAT-sz20-c1.00-thin500.rebates,PAT-sz20-c1.00-thin500.taker_fees,PAT-sz20-c1.00-thin500.leftover_redeemed,PAT-sz20-c1.00-thin500.leftover_burned_cost,PAT-sz20-c1.00-thin500.n_merges,PAT-sz20-c1.00-thin500.pairs_merged,PAT-sz20-c1.00-thin500.pnl,PAT+ACC-M-sz20-c1.00.n_maker_bid_up,PAT+ACC-M-sz20-c1.00.n_maker_bid_dn,PAT+ACC-M-sz20-c1.00.n_maker_ask_up,PAT+ACC-M-sz20-c1.00.n_maker_ask_dn,PAT+ACC-M-sz20-c1.00.n_taker_up,PAT+ACC-M-sz20-c1.00.n_taker_dn,PAT+ACC-M-sz20-c1.00.inv_up,PAT+ACC-M-sz20-c1.00.inv_dn,PAT+ACC-M-sz20-c1.00.cost_paid,PAT+ACC-M-sz20-c1.00.cash_received,PAT+ACC-M-sz20-c1.00.rebates,PAT+ACC-M-sz20-c1.00.taker_fees,PAT+ACC-M-sz20-c1.00.leftover_redeemed,PAT+ACC-M-sz20-c1.00.leftover_burned_cost,PAT+ACC-M-sz20-c1.00.n_merges,PAT+ACC-M-sz20-c1.00.pairs_merged,PAT+ACC-M-sz20-c1.00.pnl
btc-updown-5m-1778769300,Up,1778769300,5m,4,7,0,0,0,0,9.470000114440918,0.0,47.0829003488183,48.150000000000006,0.25054115523281717,0.0,9.470000114440918,0.0,4,38.679999885559084,1.3176408064145235,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,10.286100206741686,10.390000343322754,0.0,0.062475079269246,0.0,0.0,1,10.390000343322754,0.04142505731182167,0,0,0,0,0,0,0.0,0.0,30.28610076553523,30.390000343322754,0.0,0.1439550407357361,0.0,0.0,2,30.390000343322754,-0.04005546294821319,0,0,0,0,0,0,0.0,0.0,10.286100206741686,10.390000343322754,0.0,0.062475079269246,0.0,0.0,1,10.390000343322754,0.04142505731182167,0,0,0,0,0,0,0.0,0.0,10.286100206741686,10.390000343322754,0.0,0.062475079269246,0.0,0.0,1,10.390000343322754,0.04142505731182167,0,0,0,0,0,0,0.0,0.0,10.286100206741686,10.390000343322754,0.0,0.062475079269246,0.0,0.0,1,10.390000343322754,0.04142505731182167,4,7,0,0,0,0,9.470000114440918,0.0,57.369000555559985,58.54000034332276,0.25054115523281717,0.062475079269246,9.470000114440918,0.0,5,49.07000022888184,1.3590658637263453
btc-updown-5m-1778771700,Up,1778771700,5m,8,11,0,0,0,0,6.9099996185302714,0.0,85.67519996964337,99.68999992370604,0.36403988018119826,0.0,6.9099996185302714,0.0,5,92.78000030517578,14.378839834243863,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,18.799999952316284,20.0,0.0,0.6747999979972841,0.0,0.0,1,20.0,0.5252000496864317,0,0,0,0,0,0,0.0,0.0,18.799999952316284,20.0,0.0,0.6747999979972841,0.0,0.0,1,20.0,0.5252000496864317,0,0,0,0,0,0,0.0,0.0,45.309500509306794,47.18000030517578,0.0,1.2254160025067582,0.0,0.0,4,47.18000030517578,0.6450837933622291,0,0,0,0,0,0,0.0,0.0,65.10950055103004,67.18000030517578,0.0,1.5315959947128548,0.0,0.0,5,67.18000030517578,0.5389037594328883,0,0,0,0,0,0,0.0,0.0,65.45370074507892,68.61000061035156,0.0,1.948464210657479,0.0,0.0,4,68.61000061035156,1.2078356546151645,0,0,0,0,0,0,0.0,0.0,65.45370074507892,68.61000061035156,0.0,1.948464210657479,0.0,0.0,4,68.61000061035156,1.2078356546151645,0,0,0,0,0,0,0.0,0.0,45.309500509306794,47.18000030517578,0.0,1.2254160025067582,0.0,0.0,4,47.18000030517578,0.6450837933622291,8,11,0,0,0,0,6.9099996185302714,0.0,130.98470047895017,146.87000022888182,0.36403988018119826,1.2254160025067582,6.9099996185302714,0.0,9,139.96000061035156,15.023923627606084
btc-updown-5m-1778772300,Down,1778772300,5m,7,9,0,0,0,0,0.0,12.259996643066403,92.78599821381559,100.1799966430664,0.4713917450641711,0.0,12.259996643066403,0.0,7,87.92,7.865390174314982,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,19.399999678134918,20.0,0.0,0.24010001351833316,0.0,0.0,1,20.0,0.35990030834674863,0,0,0,0,0,0,0.0,0.0,29.099999517202377,30.0,0.0,0.4839100143277642,0.0,0.0,2,30.0,0.4160904684698585,0,0,0,0,0,0,0.0,0.0,29.69999998807907,30.0,0.0,0.4260899925565719,0.0,0.0,2,30.0,-0.12608998063564292,0,0,0,0,0,0,0.0,0.0,33.94999943673611,35.0,0.0,0.5439350177073475,0.0,0.0,2,35.0,0.5060655455565456,0,0,0,0,0,0,0.0,0.0,33.94999943673611,35.0,0.0,0.5439350177073475,0.0,0.0,2,35.0,0.5060655455565456,0,0,0,0,0,0,0.0,0.0,29.099999517202377,30.0,0.0,0.4839100143277642,0.0,0.0,2,30.0,0.4160904684698585,7,9,0,0,0,0,0.0,12.259996643066401,121.88599773101797,130.1799966430664,0.4713917450641711,0.4839100143277642,12.259996643066401,0.0,9,117.92,8.281480642784855
btc-updown-5m-1778772600,Down,1778772600,5m,8,6,0,0,0,0,0.0,24.81999450683592,73.52819791849853,88.81999450683591,0.46646063042792707,0.0,24.81999450683592,0.0,7,64.0,15.758257218765308,0,0,0,0,0,0,0.0,0.0,18.600000143051147,20.0,0.0,0.578899985647201,0.0,0.0,1,20.0,0.8210998713016515,0,0,0,0,0,0,0.0,0.0,18.600000143051147,20.0,0.0,0.578899985647201,0.0,0.0,1,20.0,0.8210998713016515,0,0,0,0,0,0,0.0,0.0,18.600000143051147,20.0,0.0,0.578899985647201,0.0,0.0,1,20.0,0.8210998713016515,0,0,0,0,0,0,0.0,0.0,18.600000143051147,20.0,0.0,0.578899985647201,0.0,0.0,1,20.0,0.8210998713016515,0,0,0,0,0,0,0.0,0.0,23.866800205183026,25.320000171661377,0.0,0.6764315569893165,0.0,0.0,2,25.320000171661377,0.7767684094890348,0,0,0,0,0,0,0.0,0.0,22.515299321722978,24.209999084472656,0.0,0.7007584061259986,0.0,0.0,1,24.209999084472656,0.9939413566236799,0,0,0,0,0,0,0.0,0.0,22.515299321722978,24.209999084472656,0.0,0.7007584061259986,0.0,0.0,1,24.209999084472656,0.9939413566236799,0,0,0,0,0,0,0.0,0.0,18.600000143051147,20.0,0.0,0.578899985647201,0.0,0.0,1,20.0,0.8210998713016515,8,6,0,0,0,0,0.0,24.81999450683592,92.12819806154968,108.81999450683591,0.46646063042792707,0.578899985647201,24.81999450683592,0.0,8,84.0,16.57935709006696
btc-updown-5m-1778772900,Down,1778772900,5m,10,17,0,0,0,0,0.0,17.780006108284006,147.02270338628287,145.6100062942505,0.6421011068257351,0.0,17.780006108284006,0.0,12,127.8300001859665,-0.7705959852066258,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,39.39999978989363,40.0,0.0,0.410900009481608,0.0,0.0,2,40.0,0.18910020062476485,0,0,0,0,0,0,0.0,0.0,39.39999978989363,40.0,0.0,0.410900009481608,0.0,0.0,2,40.0,0.18910020062476485,0,0,0,0,0,0,0.0,0.0,73.04939984579981,74.03000068664551,0.0,0.6164046569962953,0.0,0.0,2,74.03000068664551,0.3641961838494008,0,0,0,0,0,0,0.0,0.0,122.5493987393886,124.03000068664551,0.0,0.8526547238838811,0.0,0.0,2,124.03000068664551,0.6279472233730337,0,0,0,0,0,0,0.0,0.0,19.600000232458115,20.0,0.0,0.31639998272657366,0.0,0.0,1,20.0,0.08359978481531172,10,17,0,0,0,0,0.0,17.780006108284006,186.4227031761765,185.6100062942505,0.6421011068257351,0.410900009481608,17.780006108284006,0.0,14,167.8300001859665,-0.5814957845818609
btc-updown-5m-1778773200,Up,1778773200,5m,3,4,0,0,0,0,0.0,23.319999809265134,35.77440079569817,36.680000190734866,0.17224658676682256,0.0,0.0,7.39999994635582,4,36.680000190734866,1.0778459818035202,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,59.79999989271164,60.0,0.0,0.5984999870657912,0.0,0.0,3,60.0,-0.3984998797774306,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3,4,0,0,0,0,0.0,23.319999809265134,35.77440079569817,36.680000190734866,0.17224658676682256,0.0,0.0,7.39999994635582,4,36.680000190734866,1.0778459818035202
btc-updown-5m-1778773500,Up,1778773500,5m,7,6,0,0,0,0,0.0,17.749999313354504,68.11249901127813,60.4899991607666,0.4601530414821149,0.0,0.0,30.695999236106868,5,60.4899991607666,-7.162346809029415,0,0,0,0,0,0,0.0,0.0,19.00000050663948,20.0,0.0,0.3044999783039085,0.0,0.0,1,20.0,0.6954995150566109,0,0,0,0,0,0,0.0,0.0,19.00000050663948,20.0,0.0,0.3044999783039085,0.0,0.0,1,20.0,0.6954995150566109,0,0,0,0,0,0,0.0,0.0,19.00000050663948,20.0,0.0,0.3044999783039085,0.0,0.0,1,20.0,0.6954995150566109,0,0,0,0,0,0,0.0,0.0,19.00000050663948,20.0,0.0,0.3044999783039085,0.0,0.0,1,20.0,0.6954995150566109,0,0,0,0,0,0,0.0,0.0,71.88999904733151,72.88999938964844,0.0,0.6339194609844319,0.0,0.0,4,72.88999938964844,0.3660808813324914,0,0,0,0,0,0,0.0,0.0,25.811500760748984,27.170000076293945,0.0,0.41366322168743497,0.0,0.0,1,27.170000076293945,0.944836093857526,0,0,0,0,0,0,0.0,0.0,25.811500760748984,27.170000076293945,0.0,0.41366322168743497,0.0,0.0,1,27.170000076293945,0.944836093857526,0,0,0,0,0,0,0.0,0.0,19.00000050663948,20.0,0.0,0.3044999783039085,0.0,0.0,1,20.0,0.6954995150566109,7,6,0,0,0,0,0.0,17.749999313354504,87.11249951791761,80.4899991607666,0.4601530414821149,0.3044999783039085,0.0,32.695999265909194,6,80.4899991607666,-6.466847293972805
btc-updown-5m-1778773800,Up,1778773800,5m,12,3,0,0,0,0,14.220000457763671,0.0,60.81299938826562,63.66,0.20263278702543425,0.0,14.220000457763671,0.0,6,49.43999954223633,3.0496333987598163,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,19.860000191256404,20.0,0.0,0.01804738695187705,0.0,0.0,1,20.0,0.12195242179171903,0,0,0,0,0,0,0.0,0.0,91.29500109362417,91.34999990463257,0.0,0.14588516594675308,0.0,0.0,6,91.34999990463257,-0.0908863549383501,0,0,0,0,0,0,0.0,0.0,49.65000047814101,50.0,0.0,0.04511846737969263,0.0,0.0,1,50.0,0.3048810544792976,0,0,0,0,0,0,0.0,0.0,99.30000095628202,100.0,0.0,0.09023693475938525,0.0,0.0,1,100.0,0.6097621089585952,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,12,3,0,0,0,0,14.220000457763668,0.0,80.67299957952201,83.66,0.20263278702543425,0.01804738695187705,14.220000457763668,0.0,7,69.43999954223634,3.1715858205515426
btc-updown-5m-1778774100,Up,1778774100,5m,20,14,0,0,0,0,10.520000114440922,0.0,183.99159900879857,182.17999996185304,1.0154741271785497,0.0,10.520000114440922,0.0,13,171.6599998474121,-0.7961249197669815,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,18.999999165534973,20.0,0.0,0.689779999465941,0.0,0.0,1,20.0,0.3102208349990858,0,0,0,0,0,0,0.0,0.0,18.999999165534973,20.0,0.0,0.689779999465941,0.0,0.0,1,20.0,0.3102208349990858,0,0,0,0,0,0,0.0,0.0,83.03519821684361,85.23999977111816,0.0,2.3689624344802587,0.0,0.0,5,85.23999977111816,-0.16416088020570552,0,0,0,0,0,0,0.0,0.0,28.49999874830246,30.0,0.0,1.0346699991989117,0.0,0.0,1,30.0,0.4653312524986286,0,0,0,0,0,0,0.0,0.0,28.49999874830246,30.0,0.0,1.0346699991989117,0.0,0.0,1,30.0,0.4653312524986286,0,0,0,0,0,0,0.0,0.0,18.999999165534973,20.0,0.0,0.689779999465941,0.0,0.0,1,20.0,0.3102208349990858,20,14,0,0,0,0,10.520000114440926,0.0,202.99159817433355,202.17999996185304,1.0154741271785497,0.689779999465941,10.520000114440926,0.0,14,191.6599998474121,-0.4859040847678957
btc-updown-5m-1778775000,Up,1778775000,5m,29,21,0,0,0,0,0.0,10.480001169443126,221.4328021677613,229.7100014436245,1.341051754115618,0.0,0.0,5.240000584721563,20,229.7100014436245,9.618251029978808,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,19.20000046491623,20.0,0.0,0.5375999784708012,0.0,0.0,1,20.0,0.26239955661296954,0,0,0,0,0,0,0.0,0.0,39.00000102818012,40.0,0.0,0.6057799402189232,0.0,0.0,2,40.0,0.3942190316009544,0,0,0,0,0,0,0.0,0.0,57.035201058793064,58.239999771118164,0.0,0.9611111183005306,0.0,0.0,4,58.239999771118164,0.24368759402456985,0,0,0,0,0,0,0.0,0.0,97.5000025704503,100.0,0.0,1.514449850547308,0.0,0.0,2,100.0,0.985547579002386,0,0,0,0,0,0,0.0,0.0,148.8528043164432,151.93000030517578,0.0,1.73677816104317,0.0,0.0,2,151.93000030517578,1.3404178276893992,0,0,0,0,0,0,0.0,0.0,39.00000102818012,40.0,0.0,0.6057799402189232,0.0,0.0,2,40.0,0.3942190316009544,29,21,0,0,0,0,0.0,10.480001169443124,260.43280319594146,269.7100014436245,1.341051754115618,0.6057799402189232,0.0,5.240000584721562,22,269.7100014436245,10.012470061579705
