slug,outcome_truth,slot_start_s,tf,ACC-M.n_maker_bid_up,ACC-M.n_maker_bid_dn,ACC-M.n_maker_ask_up,ACC-M.n_maker_ask_dn,ACC-M.n_taker_up,ACC-M.n_taker_dn,ACC-M.inv_up,ACC-M.inv_dn,ACC-M.cost_paid,ACC-M.cash_received,ACC-M.rebates,ACC-M.taker_fees,ACC-M.leftover_redeemed,ACC-M.leftover_burned_cost,ACC-M.n_merges,ACC-M.pairs_merged,ACC-M.pnl,ACC-M-lift1c.n_maker_bid_up,ACC-M-lift1c.n_maker_bid_dn,ACC-M-lift1c.n_maker_ask_up,ACC-M-lift1c.n_maker_ask_dn,ACC-M-lift1c.n_taker_up,ACC-M-lift1c.n_taker_dn,ACC-M-lift1c.inv_up,ACC-M-lift1c.inv_dn,ACC-M-lift1c.cost_paid,ACC-M-lift1c.cash_received,ACC-M-lift1c.rebates,ACC-M-lift1c.taker_fees,ACC-M-lift1c.leftover_redeemed,ACC-M-lift1c.leftover_burned_cost,ACC-M-lift1c.n_merges,ACC-M-lift1c.pairs_merged,ACC-M-lift1c.pnl,ACC-PC.n_maker_bid_up,ACC-PC.n_maker_bid_dn,ACC-PC.n_maker_ask_up,ACC-PC.n_maker_ask_dn,ACC-PC.n_taker_up,ACC-PC.n_taker_dn,ACC-PC.inv_up,ACC-PC.inv_dn,ACC-PC.cost_paid,ACC-PC.cash_received,ACC-PC.rebates,ACC-PC.taker_fees,ACC-PC.leftover_redeemed,ACC-PC.leftover_burned_cost,ACC-PC.n_merges,ACC-PC.pairs_merged,ACC-PC.pnl,ACC-H.n_maker_bid_up,ACC-H.n_maker_bid_dn,ACC-H.n_maker_ask_up,ACC-H.n_maker_ask_dn,ACC-H.n_taker_up,ACC-H.n_taker_dn,ACC-H.inv_up,ACC-H.inv_dn,ACC-H.cost_paid,ACC-H.cash_received,ACC-H.rebates,ACC-H.taker_fees,ACC-H.leftover_redeemed,ACC-H.leftover_burned_cost,ACC-H.n_merges,ACC-H.pairs_merged,ACC-H.pnl,MAS.n_maker_bid_up,MAS.n_maker_bid_dn,MAS.n_maker_ask_up,MAS.n_maker_ask_dn,MAS.n_taker_up,MAS.n_taker_dn,MAS.inv_up,MAS.inv_dn,MAS.cost_paid,MAS.cash_received,MAS.rebates,MAS.taker_fees,MAS.leftover_redeemed,MAS.leftover_burned_cost,MAS.n_merges,MAS.pairs_merged,MAS.pnl
btc-updown-15m-1778770800,Up,1778770800,15m,3,5,0,0,0,0,0.0,1.7999998855590817,16.080899941372873,15.0,0.10065897872949589,0.0,0.0,0.8999999427795409,3,15.0,-0.9802409626433768,30,33,0,0,0,0,0.0,8.259999999999998,137.61129973522424,130.10999999999999,0.8379121395124871,0.0,0.0,4.129999999999999,22,130.10999999999999,-6.663387595711754,3,4,0,0,1,0,3.5500001525878915,0.0,18.865500050878527,20.0,0.09896537066458119,0.08399999833106976,3.5500001525878915,0.0,3,16.44999984741211,1.1494653214549828,4,4,0,0,30,30,0.0,6.449999847412105,157.31550033698082,160.0,0.08385936935280223,4.733575002002713,0.0,3.2249999237060525,31,160.0,-1.965215969630723,0,0,6,7,0,0,0.0,0.0,30.0,30.349999368190765,0.2086630003387926,0.0,0.0,0.0,0,0.0,0.5586623685295571
btc-updown-15m-1778771700,Up,1778771700,15m,2,5,0,0,0,0,0.0,0.9000000953674316,9.634999870657921,9.099999904632568,0.06196049944674963,0.0,0.0,0.4500000476837158,2,9.099999904632568,-0.4730394665786033,26,27,0,0,0,0,9.700000000000001,0.0,105.67199973678592,110.0,0.6737027323450024,0.0,9.700000000000001,0.0,20,100.3,5.001702995559086,2,5,0,0,0,0,0.0,0.9000000953674316,9.634999870657921,9.099999904632568,0.06196049944674963,0.0,0.0,0.4500000476837158,2,9.099999904632568,-0.4730394665786033,0,5,0,0,30,30,0.0,10.0,160.70000007748604,150.0,0.03240999993324274,4.933249995827671,0.0,5.0,30,150.0,-15.600840073380473,0,0,7,6,0,0,0.0,0.0,30.0,29.049999117851257,0.20645100013518308,0.0,0.0,0.0,0,0.0,-0.7435498820135606
btc-updown-15m-1778774400,Up,1778774400,15m,2,0,0,0,0,0,6.109999895095825,0.0,3.543799837183954,6.109999895095825,0.020837543870651218,0.0,6.109999895095825,0.0,0,0.0,2.587037601782522,35,32,0,0,0,0,0.0,5.12,149.2182986503363,143.22,0.9657678676636556,0.0,0.0,2.56,27,143.22,-5.032530782672637,2,0,0,0,0,2,0.0,0.0,5.843399791455269,6.109999895095825,0.020837543870651218,0.10036207821878429,0.0,0.0,1,6.109999895095825,0.18707556929242275,0,0,0,0,30,30,0.0,0.0,143.10000024735928,150.0,0.0,4.859960003876086,0.0,0.0,30,150.0,2.040039748764638,0,0,9,8,0,0,3.1599998474121094,0.0,30.0,32.932399764156344,0.196633304977886,0.0,3.1599998474121094,0.0,0,0.0,3.1290330691342305
btc-updown-15m-1778776200,Down,1778776200,15m,5,4,0,0,0,0,4.96000000089407,0.0,16.69000001810491,15.0,0.09856699930473409,0.0,0.0,6.089999994263053,3,15.0,-1.591433018800176,35,39,0,0,0,0,3.7800000000000002,0.0,171.37579988369941,163.29999999999998,1.0092874646361907,0.0,0.0,1.8900000000000001,30,163.29999999999998,-7.06651241906323,5,4,0,0,0,0,4.96000000089407,0.0,16.69000001810491,15.0,0.09856699930473409,0.0,0.0,6.089999994263053,3,15.0,-1.591433018800176,5,4,0,0,30,30,4.96000000089407,0.0,164.18999927304685,165.0,0.09856699930473409,5.039019998531337,0.0,2.480000000447035,33,165.0,-4.130452272273466,0,0,6,7,0,0,0.0,0.0,30.0,29.599999636411667,0.20844599975132933,0.0,0.0,0.0,0,0.0,-0.1915543638370032
btc-updown-15m-1778778000,Down,1778778000,15m,7,8,0,0,0,0,0.0,1.4099990844726555,22.95460041310789,25.2,0.16212162817442122,0.0,1.4099990844726555,0.0,5,23.790000915527344,2.407521215066531,75,67,0,0,0,0,0.0,5.75,308.81469772477135,303.13,1.9858356429136514,0.0,5.75,0.0,54,297.38,-3.698862081857726,9,8,0,0,0,1,3.5900009155273445,0.0,29.954600442910213,30.2,0.19607862832796277,0.0857850003504753,0.0,1.7950004577636722,6,30.2,0.3556931850672752,6,8,0,0,30,30,0.0,5.200000000000003,170.1580009996891,175.2,0.14840952059433932,5.025194999657865,5.200000000000003,0.0,33,170.0,0.16521352124734356,0,0,8,7,0,0,3.0821605340576195,3.039217610351564,30.0,29.367314445532095,0.18768074621069042,0.0,3.039217610351564,1.5410802670288097,0,0.0,-0.4450048082572131
btc-updown-15m-1778778900,Down,1778778900,15m,3,1,0,0,0,0,6.4700000286102295,0.0,6.705699863362312,5.0,0.046983062414742434,0.0,0.0,3.455699982571602,1,5.0,-1.6587168009475697,27,36,0,0,0,0,6.309999999999999,0.0,121.12619931392669,113.89000000000001,0.5493292063611531,0.0,0.0,3.1549999999999994,18,113.89000000000001,-6.686870107565525,3,1,0,0,0,0,6.4700000286102295,0.0,6.705699863362312,5.0,0.046983062414742434,0.0,0.0,3.455699982571602,1,5.0,-1.6587168009475697,3,1,0,0,30,30,6.4700000286102295,0.0,159.9056992330432,155.0,0.044967062442279784,4.082260011469717,0.0,3.2350000143051147,31,155.0,-8.942992182070643,0,0,8,7,0,0,0.0,1.1323145340576168,30.0,27.19351031845189,0.19560624062750348,0.0,1.1323145340576168,0.0,0,0.0,-2.610883440920606
btc-updown-15m-1778779800,Up,1778779800,15m,1,4,0,0,0,0,0.0,3.0500000000000007,6.88740010559559,5.0,0.04473974352613061,0.0,0.0,3.8873999863863,1,5.0,-1.8426603620694593,41,33,0,0,0,0,0.0,4.09,151.35629926433563,144.89000000000001,0.9904608421909853,0.0,0.0,2.045,25,144.89000000000001,-5.475838422144619,1,4,0,0,0,0,0.0,3.0500000000000007,6.88740010559559,5.0,0.04473974352613061,0.0,0.0,3.8873999863863,1,5.0,-1.8426603620694593,1,3,0,0,30,30,0.0,0.4800000000000004,154.19960054516793,155.0,0.03580231158789439,5.090889999941584,0.0,0.2400000000000002,31,155.0,-4.254688233521609,0,0,6,7,0,0,4.600000381469727,3.4427685170364395,30.0,30.282495597216588,0.18157079958865227,0.0,4.600000381469727,1.7213842585182197,0,0.0,0.4640663968052401
btc-updown-15m-1778780700,Up,1778780700,15m,2,0,0,0,0,0,5.0,0.0,3.6500000953674316,5.0,0.013796999385833716,0.0,5.0,0.0,0,0.0,1.3637969040184021,14,14,0,0,0,0,9.79,0.0,61.49300043019058,61.13,0.34898480248613667,0.0,9.79,0.0,10,51.34,-0.014015627704438316,2,0,0,0,0,1,0.0,0.0,4.800000116229057,5.0,0.013796999385833716,0.06198500078856945,0.0,0.0,1,5.0,0.15181188236820703,2,0,0,0,30,30,5.0,0.0,161.900000795722,155.0,0.013796999385833716,4.625984992026684,5.0,0.0,29,150.0,-11.512188788362845,0,0,8,9,0,0,2.334052381469725,0.0,30.0,28.937047574226497,0.200264225600361,0.0,2.334052381469725,0.0,0,0.0,-0.8626882001731424
btc-updown-15m-1778781600,Up,1778781600,15m,3,1,0,0,0,0,6.310000152587891,0.0,3.181100146901609,7.080000133514405,0.026090386685760008,0.0,6.310000152587891,0.0,1,0.7699999809265137,3.924990373298556,22,20,0,0,0,0,0.0,5.4,92.65699899977449,85.19999999999999,0.47066502471786453,0.0,0.0,2.7,16,85.19999999999999,-6.986333975056638,3,1,0,0,0,1,1.3100001525878913,0.0,6.031100111138822,7.080000133514405,0.026090386685760008,0.0857850003504753,1.3100001525878913,0.0,1,5.769999980926514,0.9892054087108674,3,0,0,0,30,30,7.080000133514403,0.0,147.86920018360615,157.0800001335144,0.02340508875304793,4.195485049604769,7.080000133514403,0.0,28,150.0,5.038719989056518,0,0,9,8,0,0,1.8700036621093696,2.0500001907348633,30.0,30.257101337146764,0.19576202867157397,0.0,1.8700036621093696,1.0250000953674316,0,0.0,0.4528633658183381
btc-updown-15m-1778782500,Up,1778782500,15m,3,8,0,0,0,0,0.0,5.0,19.75000023841858,15.0,0.11311299862813942,0.0,0.0,2.5,3,15.0,-4.63688723979044,21,28,0,0,0,0,9.41,0.0,86.3223000382662,87.0,0.5283175629659849,0.0,9.41,0.0,15,77.59,1.2060175246997744,4,8,0,0,0,0,0.0,0.0,21.050000190734863,20.0,0.12658099830770486,0.0,0.0,0.0,4,20.0,-0.9234191924271578,2,8,0,0,30,30,0.0,10.0,168.3999990671873,160.0,0.09595599855804436,4.890550000500673,0.0,5.0,32,160.0,-13.194593069129928,0,0,9,7,0,0,0.0,0.0,30.0,29.74999949336052,0.2083970001785754,0.0,0.0,0.0,0,0.0,-0.04160350646090549
