slug,outcome_truth,slot_start_s,tf,ACC-M.n_maker_bid_up,ACC-M.n_maker_bid_dn,ACC-M.n_maker_ask_up,ACC-M.n_maker_ask_dn,ACC-M.n_taker_up,ACC-M.n_taker_dn,ACC-M.inv_up,ACC-M.inv_dn,ACC-M.cost_paid,ACC-M.cash_received,ACC-M.rebates,ACC-M.taker_fees,ACC-M.leftover_redeemed,ACC-M.leftover_burned_cost,ACC-M.n_merges,ACC-M.pairs_merged,ACC-M.pnl,ACC-M-lift1c.n_maker_bid_up,ACC-M-lift1c.n_maker_bid_dn,ACC-M-lift1c.n_maker_ask_up,ACC-M-lift1c.n_maker_ask_dn,ACC-M-lift1c.n_taker_up,ACC-M-lift1c.n_taker_dn,ACC-M-lift1c.inv_up,ACC-M-lift1c.inv_dn,ACC-M-lift1c.cost_paid,ACC-M-lift1c.cash_received,ACC-M-lift1c.rebates,ACC-M-lift1c.taker_fees,ACC-M-lift1c.leftover_redeemed,ACC-M-lift1c.leftover_burned_cost,ACC-M-lift1c.n_merges,ACC-M-lift1c.pairs_merged,ACC-M-lift1c.pnl,ACC-PC.n_maker_bid_up,ACC-PC.n_maker_bid_dn,ACC-PC.n_maker_ask_up,ACC-PC.n_maker_ask_dn,ACC-PC.n_taker_up,ACC-PC.n_taker_dn,ACC-PC.inv_up,ACC-PC.inv_dn,ACC-PC.cost_paid,ACC-PC.cash_received,ACC-PC.rebates,ACC-PC.taker_fees,ACC-PC.leftover_redeemed,ACC-PC.leftover_burned_cost,ACC-PC.n_merges,ACC-PC.pairs_merged,ACC-PC.pnl,ACC-H.n_maker_bid_up,ACC-H.n_maker_bid_dn,ACC-H.n_maker_ask_up,ACC-H.n_maker_ask_dn,ACC-H.n_taker_up,ACC-H.n_taker_dn,ACC-H.inv_up,ACC-H.inv_dn,ACC-H.cost_paid,ACC-H.cash_received,ACC-H.rebates,ACC-H.taker_fees,ACC-H.leftover_redeemed,ACC-H.leftover_burned_cost,ACC-H.n_merges,ACC-H.pairs_merged,ACC-H.pnl,MAS.n_maker_bid_up,MAS.n_maker_bid_dn,MAS.n_maker_ask_up,MAS.n_maker_ask_dn,MAS.n_taker_up,MAS.n_taker_dn,MAS.inv_up,MAS.inv_dn,MAS.cost_paid,MAS.cash_received,MAS.rebates,MAS.taker_fees,MAS.leftover_redeemed,MAS.leftover_burned_cost,MAS.n_merges,MAS.pairs_merged,MAS.pnl
btc-updown-15m-1778841900,Up,1778841900,15m,4,5,0,0,0,0,0.0,5.77,13.12640018299222,14.23,0.06516927068113969,0.0,0.0,2.599999997764826,3,14.23,1.1687690876889185,30,33,0,0,0,0,0.0,4.699999999999999,132.78300033012033,127.49999999999999,0.6320461001327462,0.0,0.0,2.3499999999999996,22,127.49999999999999,-4.6509542299876045,7,5,0,0,0,1,0.0,0.7699999999999996,22.526400308161975,24.23,0.08983726986002608,0.07854000040054322,0.0,0.3849999999999998,5,24.23,1.7148969612975093,10,1,0,0,30,30,31.61,0.0,191.50900016814472,186.61,0.09608824461794457,3.464334989168642,31.61,0.0,30,155.0,-8.26724691269542,0,0,8,8,0,0,2.6224997329711908,0.0,30.0,30.730124830693008,0.19330403779477473,0.0,2.6224997329711908,0.0,0,0.0,0.9234288684877825
btc-updown-15m-1778842800,Down,1778842800,15m,3,3,0,0,0,0,0.0,3.2900000000000063,10.203000026345258,13.290000000000006,0.07489860043826102,0.0,3.2900000000000063,0.0,2,10.0,3.1618985740930086,19,15,0,0,0,0,6.199999999999999,0.0,66.14599973464014,60.0,0.3935514798166845,0.0,0.0,3.0999999999999996,11,60.0,-5.752448254823456,3,4,0,0,1,0,0.0,3.2900000000000063,14.753000008463864,18.290000000000006,0.09195060029139517,0.08746500006675718,3.2900000000000063,0.0,3,15.0,3.541485591760779,1,4,0,0,30,30,0.0,13.290000000000006,164.85300021111965,168.29000000000002,0.07815359994592665,4.718980004806516,13.290000000000006,0.0,31,155.0,-1.2038266159802244,0,0,9,7,0,0,0.0,0.0,30.0,29.450000077486038,0.20771099960947018,0.0,0.0,0.0,0,0.0,-0.34228892290449053
btc-updown-15m-1778843700,Down,1778843700,15m,5,2,0,0,0,0,5.0,0.0,11.100000143051147,10.0,0.0847139999732971,0.0,0.0,7.400000095367432,2,10.0,-1.0152861430778497,18,17,0,0,0,0,7.04,0.0,87.03520022587779,80.0,0.557592336886789,0.0,0.0,3.52,15,80.0,-6.4776078889910025,5,2,0,0,0,0,5.0,0.0,11.100000143051147,10.0,0.0847139999732971,0.0,0.0,7.400000095367432,2,10.0,-1.0152861430778497,5,0,0,0,30,30,15.0,0.0,156.10000059008598,150.0,0.05220599980974194,5.007170001076457,0.0,7.5,30,150.0,-11.05496459135271,0,0,7,7,0,0,0.0,0.0,30.0,29.999999403953552,0.2097340001735686,0.0,0.0,0.0,0,0.0,0.20973340412712105
btc-updown-15m-1778844600,Up,1778844600,15m,3,2,0,0,0,0,2.3400005722045876,0.0,8.229000451803197,10.14000076293945,0.06222482330361363,0.0,2.3400005722045876,0.0,2,7.800000190734863,1.9732251344398684,13,14,0,0,0,0,2.1599999999999984,0.0,46.16259965407849,47.779999999999994,0.3232381882067736,0.0,2.1599999999999984,0.0,8,45.62,1.9406385341282757,3,2,0,0,1,1,2.3400005722045876,0.0,11.929000499486913,15.14000076293945,0.06222482330361363,0.1561700017023086,2.3400005722045876,0.0,2,12.800000190734863,3.117055085053844,3,4,0,0,30,30,0.0,2.6599994277954115,160.82900035643576,160.14000076293945,0.0793818233737087,5.126414999566075,0.0,1.3299997138977058,31,160.14000076293945,-5.7360327696886575,0,0,9,10,0,0,0.0,0.0,30.0,29.69999983906746,0.20953800021362298,0.0,0.0,0.0,0,0.0,-0.09046216071891777
btc-updown-15m-1778845500,Down,1778845500,15m,1,3,0,0,0,0,0.0,5.379999980926513,6.652000054240226,10.379999980926513,0.052250800099134444,0.0,5.379999980926513,0.0,1,5.0,3.7802507267854217,20,13,0,0,0,0,5.190000000000001,0.0,54.88849960975648,50.2,0.31475574337007795,0.0,0.0,2.5950000000000006,9,50.2,-4.373743866386398,1,4,0,0,1,0,0.0,5.379999980926513,10.501999958872794,15.379999980926513,0.06890379987883566,0.0824599995994568,5.379999980926513,0.0,2,10.0,4.864443822333098,1,1,0,0,30,30,0.0,0.0,165.09999945759773,155.0,0.03465700007009506,4.305525008594985,0.0,0.0,31,155.0,-14.37086746612262,0,0,7,7,0,0,4.999999999999999,1.1363649999999978,30.0,26.7863640510419,0.18647299472977752,0.0,1.1363649999999978,2.4999999999999996,0,0.0,-3.0271629542283236
btc-updown-15m-1778846400,Down,1778846400,15m,6,3,0,0,0,0,8.38,0.0,15.230399960875511,11.62,0.09332584787898254,0.0,0.0,7.39999994635582,2,11.62,-3.5170741129965286,25,22,0,0,0,0,6.119999999999999,0.0,95.09279938197139,90.84,0.47537807027849455,0.0,0.0,3.0599999999999996,16,90.84,-3.7774213116928905,6,3,0,0,0,1,8.38,0.0,19.280399972796438,16.619999999999997,0.10964284796576687,0.08623999989986421,0.0,9.249999970197678,3,16.619999999999997,-2.636997124730539,7,2,0,0,30,30,15.0,0.0,165.89999921619892,160.0,0.10411800001335142,4.01562002164602,0.0,7.5,32,160.0,-9.811501237831584,0,0,6,7,0,0,1.0,3.9774533896484368,30.0,32.008552135917185,0.19163253759948806,0.0,3.9774533896484368,0.5,0,0.0,2.2001846735166737
btc-updown-15m-1778856300,Down,1778856300,15m,3,1,0,0,0,0,10.0,0.0,5.999999977648258,5.0,0.04332999992489815,0.0,0.0,2.549999989569187,1,5.0,-0.9566699777233598,20,22,0,0,0,0,6.549999999999999,0.0,89.278500035584,85.04999999999998,0.4536382316454466,0.0,0.0,3.2749999999999995,15,85.04999999999998,-3.7748618039385775,3,1,0,0,1,3,0.0,0.0,14.699999801814556,20.0,0.04332999992489815,0.28119000252842885,0.0,0.0,4,20.0,5.062140195581912,0,1,0,0,30,30,0.0,5.0,156.10000051558018,155.0,0.014973000063419343,4.274864992181061,5.0,0.0,30,150.0,-5.359892507697832,0,0,8,6,0,0,1.7763568394002505e-15,0.0,30.0,29.599999338388443,0.2081940003571508,0.0,0.0,8.881784197001252e-16,0,0.0,-0.19180666125440737
btc-updown-15m-1778857200,Up,1778857200,15m,4,6,0,0,0,0,0.0,4.410000019073486,18.13600006145239,15.589999980926514,0.12091239999582759,0.0,0.0,2.205000009536743,4,15.589999980926514,-2.425087680530048,35,33,0,0,0,0,0.1800000000000015,0.0,144.39369899897574,140.16,0.9411365737597737,0.0,0.1800000000000015,0.0,23,139.98,-3.2925624252159764,4,6,0,0,0,0,0.0,4.410000019073486,18.13600006145239,15.589999980926514,0.12091239999582759,0.0,0.0,2.205000009536743,4,15.589999980926514,-2.425087680530048,6,7,0,0,30,30,0.0,4.410000019073486,173.43599962633849,170.5899999809265,0.1548553999257325,5.060194989852903,0.0,2.205000009536743,35,170.5899999809265,-7.751339235339145,0,0,7,7,0,0,1.0,3.435898999999999,30.0,28.21999923291886,0.19178879410651842,0.0,1.0,1.7179494999999996,0,0.0,-1.588211972974623
btc-updown-15m-1778858100,Down,1778858100,15m,1,2,0,0,0,0,0.0,1.4800001144409176,5.823999951839449,6.480000114440918,0.03999100046663279,0.0,1.4800001144409176,0.0,1,5.0,0.6959911630681015,20,23,0,0,0,0,0.0,6.0,76.09779861481192,77.18,0.5153947407739558,0.0,6.0,0.0,13,71.18,1.597596125962042,1,2,0,0,0,1,0.0,4.5,7.333999894618989,9.5,0.03999100046663279,0.052849997997283946,4.5,0.0,1,5.0,2.1531411078503604,1,1,0,0,30,30,0.5,0.0,156.13499972224236,154.5,0.03313030010313983,5.203239998439546,0.0,0.25,31,154.5,-6.805109420578749,0,0,8,10,0,0,0.0,4.0,30.0,30.449999392032623,0.19427099970960607,0.0,4.0,0.0,0,0.0,0.6442703917422286
btc-updown-15m-1778859000,Down,1778859000,15m,2,4,0,0,0,0,0.0,5.170000038146973,7.458399846243859,10.370000038146973,0.04854516854180142,0.0,5.170000038146973,0.0,2,5.2,2.9601453604449155,24,19,0,0,0,0,8.219999999999999,0.0,101.56859955134394,91.0,0.6113181496301037,0.0,0.0,4.109999999999999,16,91.0,-9.957281401713828,2,4,0,0,1,0,0.0,0.17000003814697262,10.308399810481072,10.370000038146973,0.04854516854180142,0.0857850003504753,0.17000003814697262,0.0,3,10.2,0.02436039585722706,2,2,0,0,30,30,0.1999999999999993,0.0,159.2399998128414,155.0,0.03149300056409833,4.8549549993407695,0.0,0.09999999999999964,31,155.0,-9.063461811618076,0,0,8,8,0,0,0.0,3.7217036566772457,30.0,31.422502721938372,0.19411592991206722,0.0,3.7217036566772457,0.0,0,0.0,1.6166186518504375
