hour,n_fills,n_slugs,median_size,maker_pct,sell_pct,wallet
5,3133,16,8.0,97.6380466007022,97.6380466007022,0x04b6d7e9
6,2486,10,7.8278955,97.62670957361223,97.62670957361223,0x04b6d7e9
9,236,2,6.012047,66.52542372881356,66.52542372881356,0x04b6d7e9
10,3515,16,9.090908,98.23613086770982,98.23613086770982,0x04b6d7e9
11,2818,13,10.0,94.53513129879347,94.53513129879347,0x04b6d7e9
12,3093,14,8.3,97.44584545748465,97.44584545748465,0x04b6d7e9
13,2282,16,10.0,99.78089395267308,99.78089395267308,0x04b6d7e9
14,4422,26,8.695,97.89687924016283,97.89687924016283,0x04b6d7e9
15,8151,32,6.653332,98.85903570114097,98.85903570114097,0x04b6d7e9
16,6188,29,7.246374,98.7879767291532,98.7879767291532,0x04b6d7e9
17,7164,32,7.762122,99.10664433277499,99.10664433277499,0x04b6d7e9
18,5807,32,7.936505,99.25951437919753,99.25951437919753,0x04b6d7e9
19,5540,27,8.3489125,97.11191335740072,97.11191335740072,0x04b6d7e9
0,1758,32,8.78425,77.13310580204778,77.13310580204778,0xeebde7a0
1,7359,60,8.98,54.66775377089278,54.66775377089278,0xeebde7a0
2,7578,56,8.6168175,57.0599102665611,57.0599102665611,0xeebde7a0
3,7219,57,10.0,51.253636237706054,51.253636237706054,0xeebde7a0
4,6842,54,10.0,54.04852382344344,54.04852382344344,0xeebde7a0
5,7247,53,8.3,51.52476886987719,51.52476886987719,0xeebde7a0
6,6155,44,10.0,53.95613322502031,53.95613322502031,0xeebde7a0
7,4257,33,10.0,48.320413436692505,48.320413436692505,0xeebde7a0
8,3859,29,10.0,55.713915522156,55.713915522156,0xeebde7a0
9,4533,28,8.97,55.59232296492389,55.59232296492389,0xeebde7a0
10,4106,31,9.01,51.071602532878714,51.071602532878714,0xeebde7a0
11,5314,32,10.0,43.35716974030862,43.35716974030862,0xeebde7a0
12,3905,28,9.6,47.170294494238156,47.170294494238156,0xeebde7a0
13,3401,32,10.0,61.68773890032343,61.68773890032343,0xeebde7a0
14,2900,26,10.0,62.93103448275862,62.93103448275862,0xeebde7a0
15,4702,33,9.0,63.16461080391322,63.16461080391322,0xeebde7a0
16,3759,26,8.55,56.10534716679968,56.10534716679968,0xeebde7a0
17,4973,30,8.84,58.8578322943897,58.8578322943897,0xeebde7a0
18,4592,32,9.0,58.60191637630662,58.60191637630662,0xeebde7a0
19,4982,33,9.0,53.55279004415897,53.55279004415897,0xeebde7a0
20,3860,33,8.393196,58.93782383419689,58.93782383419689,0xeebde7a0
21,3135,32,10.0,49.473684210526315,49.473684210526315,0xeebde7a0
22,1999,32,10.0,74.23711855927964,74.23711855927964,0xeebde7a0
23,1225,32,10.0,100.0,100.0,0xeebde7a0
0,1842,86,6.756753,100.0,100.0,0x89b5cdaa
1,1331,79,8.771927,100.0,100.0,0x89b5cdaa
2,1642,65,7.091994,100.0,100.0,0x89b5cdaa
3,1516,58,10.207039,100.0,100.0,0x89b5cdaa
4,1598,60,8.127863999999999,100.0,100.0,0x89b5cdaa
5,1380,54,7.162428,100.0,100.0,0x89b5cdaa
6,1535,57,8.5,100.0,100.0,0x89b5cdaa
7,1050,44,7.135315500000001,100.0,100.0,0x89b5cdaa
8,730,33,5.6274999999999995,100.0,100.0,0x89b5cdaa
9,826,34,7.13985,100.0,100.0,0x89b5cdaa
10,727,43,10.0,100.0,100.0,0x89b5cdaa
11,814,40,11.5298,100.0,100.0,0x89b5cdaa
12,535,31,7.74,100.0,100.0,0x89b5cdaa
13,884,47,7.999999,100.0,100.0,0x89b5cdaa
14,1500,74,10.0,100.0,100.0,0x89b5cdaa
15,1981,81,9.439023,100.0,100.0,0x89b5cdaa
16,1304,68,9.638708999999999,100.0,100.0,0x89b5cdaa
17,1460,86,9.483207,100.0,100.0,0x89b5cdaa
18,1426,77,10.8682525,100.0,100.0,0x89b5cdaa
19,1342,69,11.009999,100.0,100.0,0x89b5cdaa
20,1414,73,10.0,100.0,100.0,0x89b5cdaa
21,1334,74,9.195,100.0,100.0,0x89b5cdaa
22,1859,81,9.68,100.0,100.0,0x89b5cdaa
23,2287,86,9.369,100.0,100.0,0x89b5cdaa
0,1902,23,8.0,10.67297581493165,10.67297581493165,0xcfb103c3
1,2846,22,9.0,7.1679550245959245,7.1679550245959245,0xcfb103c3
2,2514,22,7.525,7.040572792362769,7.040572792362769,0xcfb103c3
3,3437,24,8.8,6.546406750072737,6.546406750072737,0xcfb103c3
4,4162,24,8.33,7.448342143200384,7.448342143200384,0xcfb103c3
5,1792,23,9.6,10.323660714285714,10.323660714285714,0xcfb103c3
6,1992,17,8.09,8.634538152610443,8.634538152610443,0xcfb103c3
7,1811,12,9.0,8.061844284925455,8.061844284925455,0xcfb103c3
8,1659,12,8.04,10.006027727546716,10.006027727546716,0xcfb103c3
9,1666,12,7.5,10.624249699879952,10.624249699879952,0xcfb103c3
10,1343,12,9.0,11.020104244229337,11.020104244229337,0xcfb103c3
11,1618,12,8.0,8.96168108776267,8.96168108776267,0xcfb103c3
12,962,10,10.0,13.721413721413722,13.721413721413722,0xcfb103c3
13,479,8,14.67,16.075156576200417,16.075156576200417,0xcfb103c3
14,79,4,11.27,27.848101265822784,27.848101265822784,0xcfb103c3
15,1364,19,11.0,16.348973607038122,16.348973607038122,0xcfb103c3
