offset_bucket,n_fills,median_size,maker_pct,pct_of_fills,wallet
0-30,4796,7.1076185,97.74812343619683,8.746238716148445,0x04b6d7e9
30-60,7688,7.786102,97.1904266389178,14.020242545819276,0x04b6d7e9
60-120,15133,7.462684,97.68056565122579,27.597337466946293,0x04b6d7e9
120-180,11362,7.605,97.94050343249427,20.720342846721984,0x04b6d7e9
180-240,7517,7.0,99.48117600106426,13.708397921035834,0x04b6d7e9
240-300,2681,10.0,99.17941066766132,4.889213093826935,0x04b6d7e9
300-600,3499,10.0,98.34238353815375,6.380961065013222,0x04b6d7e9
600-1000,2159,13.0,99.44418712366836,3.9372663444880094,0x04b6d7e9
0-30,8879,9.9,51.244509516837475,8.096844792996535,0xeebde7a0
30-60,8708,8.108823000000001,54.09967845659164,7.94090826190042,0xeebde7a0
60-120,19271,8.44,54.319962638160966,17.573408717855187,0xeebde7a0
120-180,18374,9.30795,53.92402307608577,16.755425861754514,0xeebde7a0
180-240,17008,8.58325,55.02116650987771,15.50975743206274,0xeebde7a0
240-300,13367,10.0,55.41258322735094,12.18949480211563,0xeebde7a0
300-600,13402,10.0,60.11789285181316,12.221411635965712,0xeebde7a0
600-1000,10651,10.0,60.93324570462867,9.712748495349262,0xeebde7a0
0-30,2254,8.0,100.0,6.97465730111087,0x89b5cdaa
30-60,3302,7.69,100.0,10.217532567998266,0x89b5cdaa
60-120,6292,8.0,100.0,19.46962898783922,0x89b5cdaa
120-180,6064,8.136465999999999,100.0,18.764117956493486,0x89b5cdaa
180-240,5355,8.999998,100.0,16.57022619673856,0x89b5cdaa
240-300,3575,10.0,100.0,11.062289197635918,0x89b5cdaa
300-600,2978,10.605,100.0,9.214964260296439,0x89b5cdaa
600-1000,2497,10.62,100.0,7.726583531887242,0x89b5cdaa
0-30,8946,9.0,9.523809523809524,19.021496459781844,0xcfb103c3
30-60,4796,10.0,10.67556296914095,10.197529289192236,0xcfb103c3
60-120,11277,9.28,10.144541988117407,23.977801875358807,0xcfb103c3
120-180,8677,10.0,10.648841765587184,18.449533286555674,0xcfb103c3
180-240,7624,9.075,9.968520461699896,16.21058450809041,0xcfb103c3
240-300,5711,8.69,9.122745578707757,12.14305458102103,0xcfb103c3
0-30,2413,10.0,25.859925404061336,6.841314394261574,0xce25e214
30-60,2062,10.045,31.134820562560623,5.846162569816563,0xce25e214
60-120,4376,10.0,29.364716636197443,12.406793116157749,0xce25e214
120-180,4105,10.0,30.15834348355664,11.638456522355476,0xce25e214
180-240,3667,11.0,31.769839105535862,10.396643134586487,0xce25e214
240-300,2865,10.0,30.99476439790576,8.122820447393043,0xce25e214
300-600,6854,10.0,30.8141231397724,19.432394885316548,0xce25e214
600-1000,8929,10.0,27.158696382573638,25.315414930112556,0xce25e214
