wallet,tf,first_fill_bucket,n_slugs,pnl_mean,pnl_median,pnl_sum,win_rate_pct,pnl_col_used
0x04b6d7e9,5m,0-30s,148,2687.6717,2675.3989,397775.41,100.0,cash_flow_usd
0x04b6d7e9,5m,30-60s,33,1811.6149,1965.1864,59783.29,100.0,cash_flow_usd
0x04b6d7e9,5m,60-120s,6,1767.6144,1709.0477,10605.69,83.33,cash_flow_usd
0x04b6d7e9,5m,120-180s,6,1162.8307,831.7242,6976.98,100.0,cash_flow_usd
0x04b6d7e9,5m,180s+,3,295.8452,233.4436,887.54,100.0,cash_flow_usd
0x04b6d7e9,15m,0-30s,37,2038.0468,1912.3671,75407.73,100.0,cash_flow_usd
0x04b6d7e9,15m,30-60s,20,1777.6506,1452.9698,35553.01,100.0,cash_flow_usd
0x04b6d7e9,15m,60-120s,6,2018.0183,1925.9814,12108.11,100.0,cash_flow_usd
0x04b6d7e9,15m,120-180s,3,1722.4304,1804.1668,5167.29,100.0,cash_flow_usd
0x04b6d7e9,15m,180s+,3,1496.0883,509.0309,4488.27,100.0,cash_flow_usd
0xeebde7a0,5m,0-30s,323,523.7445,503.2376,169169.47,90.4,cash_flow_usd
0xeebde7a0,5m,30-60s,17,675.9573,405.0048,11491.27,94.12,cash_flow_usd
0xeebde7a0,5m,60-120s,3,-41.3058,533.7107,-123.92,66.67,cash_flow_usd
0xeebde7a0,15m,0-30s,106,647.0691,277.6318,68589.32,85.85,cash_flow_usd
0xeebde7a0,15m,30-60s,6,1291.1561,327.715,7746.94,100.0,cash_flow_usd
0xeebde7a0,15m,60-120s,2,325.7133,325.7133,651.43,100.0,cash_flow_usd
0xeebde7a0,15m,180s+,1,-353.7241,-353.7241,-353.72,0.0,cash_flow_usd
0x89b5cdaa,5m,0-30s,188,564.5256,417.2554,106130.8,100.0,cash_flow_usd
0x89b5cdaa,5m,30-60s,103,472.8684,351.5656,48705.44,100.0,cash_flow_usd
0x89b5cdaa,5m,60-120s,77,587.8196,503.2555,45262.11,100.0,cash_flow_usd
0x89b5cdaa,5m,120-180s,18,315.2174,205.0071,5673.91,100.0,cash_flow_usd
0x89b5cdaa,5m,180s+,3,102.8063,86.7543,308.42,100.0,cash_flow_usd
0x89b5cdaa,15m,0-30s,19,679.0729,726.5139,12902.38,100.0,cash_flow_usd
0x89b5cdaa,15m,30-60s,16,494.4836,346.805,7911.74,100.0,cash_flow_usd
0x89b5cdaa,15m,60-120s,20,669.7123,620.4524,13394.25,100.0,cash_flow_usd
0x89b5cdaa,15m,120-180s,17,635.06,648.3005,10796.02,100.0,cash_flow_usd
0x89b5cdaa,15m,180s+,39,561.728,432.0461,21907.39,100.0,cash_flow_usd
0xcfb103c3,5m,0-30s,322,16.4138,3.1368,5285.26,51.86,cash_flow_usd
0xcfb103c3,5m,30-60s,44,3.4347,2.7989,151.13,54.55,cash_flow_usd
0xcfb103c3,5m,60-120s,39,-1.3151,-7.6744,-51.29,46.15,cash_flow_usd
0xcfb103c3,5m,120-180s,16,37.8738,2.266,605.98,56.25,cash_flow_usd
0xcfb103c3,5m,180s+,7,-26.0234,-8.7373,-182.16,28.57,cash_flow_usd
0xce25e214,5m,0-30s,54,-67.0877,-67.1905,-3622.73,20.37,cash_flow_usd
0xce25e214,5m,30-60s,17,-54.4379,-37.9248,-925.44,29.41,cash_flow_usd
0xce25e214,5m,60-120s,1,50.1007,50.1007,50.1,100.0,cash_flow_usd
0xce25e214,15m,0-30s,41,55.7417,35.6159,2285.41,56.1,cash_flow_usd
0xce25e214,15m,30-60s,7,-27.9753,-69.3617,-195.83,28.57,cash_flow_usd
0xce25e214,15m,60-120s,8,-93.7002,-102.0817,-749.6,25.0,cash_flow_usd
