wallet,label,tf,first_fill_bucket,n_slugs,pnl_net_mean,pnl_net_median,pnl_net_sum,pnl_gross_mean,fees_mean,win_rate_pct,minted_pairs_mean,n_taker_buys_avg,n_maker_sells_avg
0x04b6d7e9,MAS,5m,0-30s,148,-97.3073,-67.7863,-14401.47,-30.7682,66.5391,41.89,3031.52,3.6,245.3
0x04b6d7e9,MAS,5m,30-60s,33,-156.5071,-40.3901,-5164.74,-113.4939,43.0132,48.48,2210.69,3.4,183.3
0x04b6d7e9,MAS,5m,60-120s,6,-13.8784,9.7847,-83.27,26.2465,40.1249,50.0,2109.12,16.5,161.2
0x04b6d7e9,MAS,5m,120-180s,6,-191.2117,136.2796,-1147.27,-158.1286,33.0831,66.67,1860.01,9.2,128.0
0x04b6d7e9,MAS,5m,180-240s,3,153.0365,238.1328,459.11,165.1522,12.1157,66.67,960.45,1.7,38.3
0x04b6d7e9,MAS,15m,0-30s,37,-145.673,-38.5068,-5389.9,-93.8957,51.7773,40.54,2254.09,4.4,148.3
0x04b6d7e9,MAS,15m,30-60s,20,-197.6888,-110.0078,-3953.78,-154.6698,43.0189,25.0,2044.91,2.0,129.4
0x04b6d7e9,MAS,15m,60-120s,6,-98.2906,-143.5882,-589.74,-49.5132,48.7774,16.67,2257.26,0.8,135.2
0x04b6d7e9,MAS,15m,120-180s,3,-118.9633,-86.9197,-356.89,-64.7176,54.2458,0.0,1976.91,4.7,138.7
0x04b6d7e9,MAS,15m,240s+,3,273.6246,273.729,820.87,316.3482,42.7236,100.0,1938.6,7.3,97.7
0xeebde7a0,HYBRID (Bonereaper),5m,0-30s,323,-50.8996,-51.261,-14048.29,-0.1533,48.6499,36.84,1174.95,97.4,92.9
0xeebde7a0,HYBRID (Bonereaper),5m,30-60s,17,61.5474,22.9095,738.57,89.3525,30.5564,41.18,940.07,64.1,62.2
0xeebde7a0,HYBRID (Bonereaper),5m,60-120s,3,-39.1176,-62.5915,-117.35,-11.8961,27.2215,33.33,826.13,64.7,43.3
0xeebde7a0,HYBRID (Bonereaper),15m,0-30s,106,-273.3055,-9.6069,-25417.41,-221.43,49.0858,37.74,1011.34,138.1,157.9
0xeebde7a0,HYBRID (Bonereaper),15m,30-60s,6,-1125.3353,-51.0732,-3376.01,-1047.387,59.6178,16.67,1889.67,79.5,112.2
0xeebde7a0,HYBRID (Bonereaper),15m,60-120s,2,-182.1367,-182.1367,-364.27,-154.9958,27.1409,0.0,478.75,93.5,146.5
0xeebde7a0,HYBRID (Bonereaper),15m,240s+,1,62.6266,62.6266,62.63,88.1972,25.5706,100.0,844.47,128.0,88.0
0x89b5cdaa,directional MAS (ohanism),5m,0-30s,188,-20.4971,-21.7444,-3279.54,-10.9061,10.1917,39.36,813.71,0.0,50.8
0x89b5cdaa,directional MAS (ohanism),5m,30-60s,103,3.6512,-65.271,339.57,12.2958,8.9697,35.92,703.01,0.0,43.9
0x89b5cdaa,directional MAS (ohanism),5m,60-120s,77,-7.3164,-77.0713,-504.83,0.828,8.3996,29.87,748.4,0.0,41.4
0x89b5cdaa,directional MAS (ohanism),5m,120-180s,18,-46.4791,-41.4284,-836.62,-40.742,5.7371,33.33,479.42,0.0,27.7
0x89b5cdaa,directional MAS (ohanism),5m,180-240s,3,-26.7639,-53.9715,-80.29,-24.6126,2.1513,33.33,184.3,0.0,18.0
0x89b5cdaa,directional MAS (ohanism),15m,0-30s,19,-47.8613,-57.7512,-717.92,-38.3298,10.1977,31.58,830.18,0.0,51.5
0x89b5cdaa,directional MAS (ohanism),15m,30-60s,16,50.9675,3.6378,713.54,60.9239,9.1931,43.75,622.74,0.0,40.2
0x89b5cdaa,directional MAS (ohanism),15m,60-120s,20,27.7199,-103.4776,554.4,38.1075,10.3876,35.0,819.69,0.0,42.4
0x89b5cdaa,directional MAS (ohanism),15m,120-180s,17,-141.2711,-191.245,-1977.8,-130.0264,10.7035,17.65,855.96,0.0,46.0
