fold,label,train_end_ts,train_end_date,test_start_date,test_end_date,n_train_slugs,n_test_slugs,n_variants_eligible,selected_variant,train_pick_mean,test_pick_mean,test_pick_sum,test_pick_n,test_baseline_mean,test_baseline_sum,test_baseline_n,test_lift_pct,test_pick_rank_on_test,oracle_variant,oracle_mean,selection_gap_pct
1,btc_5m,1777442520,2026-04-29 06:02,2026-04-29 06:02,2026-05-04 10:24,1115,1178,8,PAT+ACC-M-t210-COMBO,38.196,23.8902,27999.32,1172,7.7172,9090.92,1178,209.6,1,PAT+ACC-M-t210-COMBO,23.8902,0.0
2,btc_5m,1777890240,2026-05-04 10:24,2026-05-04 10:24,2026-05-09 14:46,2293,615,8,PAT+ACC-M-t210-COMBO,30.1313,31.8034,19304.64,607,8.2756,5089.49,615,284.3,1,PAT+ACC-M-t210-COMBO,31.8034,0.0
3,btc_5m,1778337960,2026-05-09 14:46,2026-05-09 14:46,2026-05-14 19:08,2908,66,8,PAT+ACC-M-t210-COMBO,30.5092,25.0569,1453.3,58,15.4657,1020.74,66,62.0,2,PAT+ACC-M-t5-COMBO,45.4648,44.9
4,btc_5m,1778785680,2026-05-14 19:08,2026-05-14 19:08,2026-05-19 23:30,2974,82,8,PAT+ACC-M-t210-COMBO,30.394,19.4923,1520.4,78,9.4389,773.99,82,106.5,2,PAT+ACC-M-t5-COMBO,24.0893,19.1
1,btc_15m,1777442580,2026-04-29 06:03,2026-04-29 06:03,2026-05-04 10:21,410,473,5,PAT+ACC-M-t600-COMBO,48.3104,24.0441,11204.56,466,0.866,409.64,473,2676.3,1,PAT+ACC-M-t600-COMBO,24.0441,0.0
2,btc_15m,1777890060,2026-05-04 10:21,2026-05-04 10:21,2026-05-09 14:39,883,237,5,PAT+ACC-M-t600-COMBO,34.0685,39.6948,9169.49,231,3.1286,735.23,235,1168.8,1,PAT+ACC-M-t600-COMBO,39.6948,0.0
3,btc_15m,1778337540,2026-05-09 14:39,2026-05-09 14:39,2026-05-14 18:57,1120,51,5,PAT+ACC-M-t600-COMBO,35.3364,91.1126,4100.07,45,13.5995,625.58,46,570.0,1,PAT+ACC-M-t600-COMBO,91.1126,0.0
4,btc_15m,1778785020,2026-05-14 18:57,2026-05-14 18:57,2026-05-19 23:15,1171,42,5,PAT+ACC-M-t600-COMBO,37.6822,89.1448,3654.94,41,14.8885,535.99,36,498.8,1,PAT+ACC-M-t600-COMBO,89.1448,0.0
1,eth_5m,1777442520,2026-04-29 06:02,2026-04-29 06:02,2026-05-04 10:24,230,270,2,PAT+ACC-M-t5-COMBO,14.2216,8.1479,2199.92,270,3.9672,1071.14,270,105.4,1,PAT+ACC-M-t5-COMBO,8.1479,0.0
2,eth_5m,1777890240,2026-05-04 10:24,2026-05-04 10:24,2026-05-09 14:46,500,254,2,PAT+ACC-M-t5-COMBO,10.8884,30.9367,7826.98,253,13.6863,3476.33,254,126.0,1,PAT+ACC-M-t5-COMBO,30.9367,0.0
3,eth_5m,1778337960,2026-05-09 14:46,2026-05-09 14:46,2026-05-14 19:08,754,126,2,PAT+ACC-M-t5-COMBO,17.6968,45.559,5694.88,125,25.0638,3158.04,126,81.8,1,PAT+ACC-M-t5-COMBO,45.559,0.0
4,eth_5m,1778785680,2026-05-14 19:08,2026-05-14 19:08,2026-05-19 23:30,880,171,2,PAT+ACC-M-t5-COMBO,21.7,70.2728,12016.65,171,31.7201,5424.14,171,121.5,1,PAT+ACC-M-t5-COMBO,70.2728,0.0
1,sol_5m,1777447320,2026-04-29 07:22,2026-04-29 07:22,2026-05-04 11:24,201,246,2,PAT+ACC-M-t5-COMBO,26.1643,30.7492,7502.8,244,8.5737,2109.13,246,258.6,1,PAT+ACC-M-t5-COMBO,30.7492,0.0
2,sol_5m,1777893840,2026-05-04 11:24,2026-05-04 11:24,2026-05-09 15:26,447,371,2,PAT+ACC-M-t5-COMBO,28.6953,19.1156,7015.44,367,14.5541,5399.56,371,31.3,1,PAT+ACC-M-t5-COMBO,19.1156,0.0
3,sol_5m,1778340360,2026-05-09 15:26,2026-05-09 15:26,2026-05-14 19:28,818,312,2,PAT+ACC-M-t5-COMBO,24.3495,20.5147,6380.06,311,16.1182,5028.89,312,27.3,1,PAT+ACC-M-t5-COMBO,20.5147,0.0
4,sol_5m,1778786880,2026-05-14 19:28,2026-05-14 19:28,2026-05-19 23:30,1130,311,2,PAT+ACC-M-t5-COMBO,23.2847,30.7575,9534.83,310,21.7835,6774.68,311,41.2,1,PAT+ACC-M-t5-COMBO,30.7575,0.0
