slug,outcome,n_fills,n_buys,n_sells,n_maker,n_taker,buy_shares,sell_shares,buy_usd,sell_usd,avg_buy_px,avg_sell_px,size_p50,size_p90,first_offset,last_offset,median_offset,n_unique_offsets,mc,asset_sym,slot_start_s,median_book_spread,wallet,span_s,fires_per_min,maker_pct,sell_pct
btc-updown-15m-1778767200,Down,73,0,73,73,0,0.0,2481.1686250000002,0.0,899.3161748933437,,0.4375342449096784,7.0,177.41399999999967,210,615,536.0,31,updown_15m,BTC,1778767200,0.010000020265579224,0x04b6d7e9,405,10.814814814814815,100.0,100.0
btc-updown-15m-1778767200,Up,85,5,80,80,5,130.0,2347.4225130000004,94.90000247955322,1324.678320626023,0.7300000190734863,0.5148749988526106,10.0,88.68000000000009,160,779,373.0,38,updown_15m,BTC,1778767200,0.01000000536441803,0x04b6d7e9,619,8.239095315024233,94.11764705882352,94.11764705882352
btc-updown-15m-1778768100,Down,64,3,61,61,3,25.16,2033.8291159999999,5.283599835038185,365.63820913915464,0.20999999344348907,0.2611475403680176,6.13,106.16409660000002,21,392,220.0,29,updown_15m,BTC,1778768100,0.009999990463256836,0x04b6d7e9,371,10.350404312668463,95.3125,95.3125
btc-updown-15m-1778768100,Up,44,1,43,43,1,5.0,1736.9002639999999,4.650000035762787,1438.7610943876994,0.9300000071525574,0.7795348874358243,14.4828565,152.03815040000018,19,602,238.0,21,updown_15m,BTC,1778768100,0.009999990463256836,0x04b6d7e9,583,4.528301886792453,97.72727272727273,97.72727272727273
btc-updown-15m-1778769000,Down,33,0,33,33,0,0.0,1171.8437170000002,0.0,427.43193952004754,,0.32939393637758313,15.327271,105.94588460000001,59,533,390.0,16,updown_15m,BTC,1778769000,0.009999990463256836,0x04b6d7e9,474,4.177215189873418,100.0,100.0
btc-updown-15m-1778769000,Up,60,0,60,60,0,0.0,1442.8931420000001,0.0,862.7288339933582,,0.5465000023444494,9.11,53.429445700000024,12,509,104.5,31,updown_15m,BTC,1778769000,0.010000020265579224,0x04b6d7e9,497,7.2434607645875255,100.0,100.0
btc-updown-15m-1778769900,Down,51,3,48,48,3,12.2,1866.5334440000001,2.877999982237816,248.40901730701592,0.23666666448116302,0.17187499805974463,7.5,172.07,57,366,146.0,30,updown_15m,BTC,1778769900,0.010000001639127731,0x04b6d7e9,309,9.902912621359222,94.11764705882352,94.11764705882352
btc-updown-15m-1778769900,Up,78,3,75,75,3,51.0,2029.664495,39.2699990272522,1617.322804831143,0.7699999809265137,0.7502666640281678,10.681817500000001,58.81606929999986,30,279,148.0,39,updown_15m,BTC,1778769900,0.009999990463256836,0x04b6d7e9,249,18.795180722891565,96.15384615384616,96.15384615384616
btc-updown-15m-1778770800,Down,150,0,150,150,0,0.0,3860.942966,0.0,2335.973429637654,,0.6174666663010915,6.0600000000000005,54.63799999999997,95,868,455.0,43,updown_15m,BTC,1778770800,0.009999990463256836,0x04b6d7e9,773,11.64294954721863,100.0,100.0
btc-updown-15m-1778770800,Up,151,6,145,145,6,54.05,4475.082388000001,12.354599838852883,1614.8334331984827,0.22999999672174454,0.4164137928650297,8.76,104.52,16,774,441.0,51,updown_15m,BTC,1778770800,0.009999990463256836,0x04b6d7e9,758,11.952506596306069,96.02649006622516,96.02649006622516
