name,n_rows,min_ts,max_ts,median_dt_s,max_gap_s,n_in_window,expected_1hz_rows,asset,venue,tf,schema
binance-spot-ws_BTC_1MIN,56598,2026-04-14T16:00:00+00:00,2026-05-25T19:14:00+00:00,60.0,154440.0,31625,1900800,BTC,binance-spot-ws,1MIN,OHLCV
coinbase-spot-ws_BTC_1MIN,54485,2026-04-08T00:56:00+00:00,2026-05-16T03:46:00+00:00,60.0,23520.0,22865,1900800,BTC,coinbase-spot-ws,1MIN,OHLCV
kraken-spot-ws_BTC_1MIN,12405,2026-05-07T12:58:00+00:00,2026-05-16T03:46:00+00:00,60.0,240.0,12405,1900800,BTC,kraken-spot-ws,1MIN,OHLCV
okx-ws_BTC_1MIN,26049,2026-04-28T04:50:00+00:00,2026-05-16T07:03:00+00:00,60.0,120.0,23459,1900800,BTC,okx-ws,1MIN,OHLCV
binance-spot-ws_ETH_1MIN,56598,2026-04-14T16:00:00+00:00,2026-05-25T19:14:00+00:00,60.0,154440.0,31625,1900800,ETH,binance-spot-ws,1MIN,OHLCV
coinbase-spot-ws_ETH_1MIN,54482,2026-04-08T00:56:00+00:00,2026-05-16T03:46:00+00:00,60.0,23700.0,22862,1900800,ETH,coinbase-spot-ws,1MIN,OHLCV
kraken-spot-ws_ETH_1MIN,12355,2026-05-07T12:58:00+00:00,2026-05-16T03:46:00+00:00,60.0,240.0,12355,1900800,ETH,kraken-spot-ws,1MIN,OHLCV
okx-ws_ETH_1MIN,26047,2026-04-28T04:50:00+00:00,2026-05-16T07:03:00+00:00,60.0,120.0,23457,1900800,ETH,okx-ws,1MIN,OHLCV
binance-spot-ws_SOL_1MIN,56597,2026-04-14T16:00:00+00:00,2026-05-25T19:14:00+00:00,60.0,154440.0,31624,1900800,SOL,binance-spot-ws,1MIN,OHLCV
coinbase-spot-ws_SOL_1MIN,54481,2026-04-08T00:56:00+00:00,2026-05-16T03:46:00+00:00,60.0,23640.0,22862,1900800,SOL,coinbase-spot-ws,1MIN,OHLCV
kraken-spot-ws_SOL_1MIN,12376,2026-05-07T12:58:00+00:00,2026-05-16T03:46:00+00:00,60.0,240.0,12376,1900800,SOL,kraken-spot-ws,1MIN,OHLCV
okx-ws_SOL_1MIN,26047,2026-04-28T04:50:00+00:00,2026-05-16T07:03:00+00:00,60.0,120.0,23457,1900800,SOL,okx-ws,1MIN,OHLCV
binance_1s_BTC,4136288,2026-04-07T00:00:00+00:00,2026-05-25T19:15:20+00:00,1.0,76589.0,1820989,1900800,BTC,binance-spot-ws,1SEC,OHLCV
binance_1s_ETH,4136286,2026-04-07T00:00:00+00:00,2026-05-25T19:15:20+00:00,1.0,76589.0,1820988,1900800,ETH,binance-spot-ws,1SEC,OHLCV
binance_1s_SOL,4136279,2026-04-07T00:00:00+00:00,2026-05-25T19:15:20+00:00,1.0,76589.0,1820984,1900800,SOL,binance-spot-ws,1SEC,OHLCV
hyperliquid_BTC_1MIN,26402,2026-04-27T04:03:00+00:00,2026-05-16T07:04:00+00:00,60.0,68280.0,22325,1900800,BTC,hyperliquid,1MIN,OHLCV
hyperliquid_ETH_1MIN,26399,2026-04-27T04:06:00+00:00,2026-05-16T07:04:00+00:00,60.0,68280.0,22325,1900800,ETH,hyperliquid,1MIN,OHLCV
hyperliquid_SOL_1MIN,26384,2026-04-27T04:15:00+00:00,2026-05-16T07:04:00+00:00,60.0,68280.0,22319,1900800,SOL,hyperliquid,1MIN,OHLCV
hyperliquid_trades_BTC,6497388,2026-04-30T18:57:35+00:00,2026-05-16T07:19:38+00:00,1.0,3552.0,6497388,1900800,BTC,hyperliquid,TICK,trades
hyperliquid_trades_ETH,2308466,2026-04-30T18:57:31+00:00,2026-05-16T07:19:38+00:00,1.0,3547.0,2308466,1900800,ETH,hyperliquid,TICK,trades
hyperliquid_trades_SOL,1547970,2026-04-30T18:54:02+00:00,2026-05-16T07:19:37+00:00,2.0,3551.0,1547970,1900800,SOL,hyperliquid,TICK,trades
hyperliquid_liqs_BTC,88296,2026-04-16T10:17:09+00:00,2026-05-16T07:24:05+00:00,16.0,50003.0,49135,1900800,BTC,hyperliquid,EVENT,liquidations
hyperliquid_liqs_ETH,33470,2026-04-16T07:43:14+00:00,2026-05-16T07:25:08+00:00,25.0,92872.0,25399,1900800,ETH,hyperliquid,EVENT,liquidations
hyperliquid_liqs_SOL,26398,2026-04-16T07:43:14+00:00,2026-05-16T07:24:55+00:00,30.0,198052.0,22313,1900800,SOL,hyperliquid,EVENT,liquidations
chainlink_BTC,2567454,2026-04-24T01:38:28+00:00,2026-05-25T19:15:56+00:00,1.0,6989.0,1774072,1900800,BTC,chainlink,1HZ,price-tick
chainlink_ETH,2567556,2026-04-24T01:38:28+00:00,2026-05-25T19:15:56+00:00,1.0,6989.0,1774140,1900800,ETH,chainlink,1HZ,price-tick
chainlink_SOL,2567523,2026-04-24T01:38:28+00:00,2026-05-25T19:15:56+00:00,1.0,6989.0,1774133,1900800,SOL,chainlink,1HZ,price-tick
