asset,rule,n_fires,wr,mean_pnl,sum_pnl,median_pnl,p_value_proxy
BTC,LL-A-up_60s,3037,0.6476786302271978,-1.264669451163944,-3840.8011231848977,1.563829853341503,1.9949796478415598
BTC,LL-C-div-up_15s,2449,0.449162923642303,-1.7807684557584833,-4361.101948152525,-25.0,1.8508183534061993
ETH,LL-C-div-dn_15s,1807,0.4748201438848921,-2.4954306758503777,-4509.243231261633,-25.0,1.9201113744400562
SOL,LL-C-div-dn_15s,1205,0.47717842323651455,-4.120186638419512,-4964.824899295512,-25.0,1.9567598494118559
BTC,LL-A-dn_60s,3004,0.6348202396804261,-1.8430713759936346,-5536.586413484878,1.2894740078257763,1.9997376855579527
SOL,LL-C-div-dn_5s,1030,0.4747572815533981,-5.658688944182325,-5828.449612507795,-25.0,1.9999886356533314
SOL,LL-A-dn_60s,1898,0.6417281348788199,-3.12921065891602,-5939.241830622606,0.7577312137840346,1.9999972604845115
SOL,LL-C-div-up_15s,1200,0.4766666666666667,-5.180743489065497,-6216.8921868785965,-25.0,1.9999487168951848
ETH,LL-A-dn_60s,3246,0.6333949476278496,-2.0097995703691365,-6523.809405418217,1.2894740078257763,1.9999397546913493
SOL,LL-A-up_60s,1952,0.6388319672131147,-3.3828855203712185,-6603.3925357646185,0.7010493227413814,1.9999993394188793
ETH,LL-C-div-up_5s,2274,0.4366754617414248,-3.1018287972497505,-7053.558684945932,-25.0,1.9607093853336628
BTC,LL-A-up_120s,6298,0.6332168942521436,-1.1647091918734418,-7335.338490418937,1.2894740078257763,1.9630614953963326
BTC,LL-C-div-dn_15s,2544,0.4638364779874214,-3.100096436867593,-7886.645335391157,-25.0,1.998798683937447
ETH,LL-C-div-dn_5s,2043,0.4669603524229075,-4.000475594511676,-8172.971639587355,-25.0,1.9977213555741002
SOL,LL-C-div-up_5s,1164,0.45103092783505155,-7.333732098934205,-8536.464163159415,-25.0,1.9999999807050681
ETH,LL-A-up_60s,3374,0.6075874333135743,-2.657759198947893,-8967.27953725019,0.9790405600253019,1.999991543676244
BTC,LL-A-both_60s,6041,0.6412845555371627,-1.5522906036533315,-9377.387536669776,1.2894740078257763,1.999945651961291
ETH,LL-C-div-up_15s,2382,0.4466834592779177,-4.789995600883239,-11409.769521303877,-25.0,1.9999965118234906
SOL,LL-A-both_60s,3850,0.6402597402597403,-3.257827108152526,-12542.634366387225,0.7471492649098055,1.9999999962750903
ETH,LL-A-dn_120s,6666,0.6275127512751275,-1.9324387970354147,-12881.637021038074,1.071875522898832,1.9996095999620567
BTC,LL-C-div-up_5s,3432,0.4603729603729604,-3.932445208357153,-13496.151955081748,-25.0,1.9999472240443492
BTC,LL-C-div-dn_5s,3133,0.46345355888924356,-4.393231325231573,-13763.993741950519,-25.0,1.9999989917682792
BTC,LL-A-dn_120s,6261,0.6198690305063089,-2.403818124682763,-15050.30527863878,1.0208339037684229,1.9999999221846996
SOL,LL-A-up_120s,4141,0.6423569186186912,-3.6928361668901397,-15292.034567092069,0.4999995134314807,1.999999999954535
ETH,LL-A-both_60s,6620,0.6202416918429003,-2.340043646928762,-15491.088942668406,1.1767365690994966,1.9999998096183453
SOL,LL-A-dn_120s,4051,0.6304616144161935,-3.941130251857858,-15965.518650276183,0.4999995134314807,1.9999999999313336
SOL,LL-B-hl-dn_60s,10444,0.6180582152432018,-1.6050166792002947,-16762.794197567877,0.7577312137840346,1.9886328429441542
ETH,LL-A-up_120s,6625,0.6149433962264151,-2.8869005869154,-19125.716388314526,0.7577312137840346,1.999999998754227
BTC,LL-B-hl-up_60s,17113,0.5929994740840296,-1.332094500952276,-22796.1331947963,1.2894740078257763,1.9985111170773586
BTC,LL-B-hl-dn_60s,16863,0.5969874873984463,-1.3941102490053476,-23508.881128977177,1.2894740078257763,1.9992852818322162
SOL,LL-B-bn-dn_60s,13444,0.6249628086878906,-1.7920693630384796,-24092.58051668932,0.7577312137840346,1.9986375348001584
ETH,LL-B-hl-dn_60s,15401,0.6171027855334069,-1.6289754210124159,-25087.850459012217,1.2894740078257763,1.999893496878847
BTC,LL-B-bn-up_5s,15859,0.5064001513336276,-1.7781976070862902,-28200.435850781476,0.24747450908049662,1.9996714140941685
ETH,LL-B-hl-dn_15s,13331,0.5511964593803915,-2.3610142189217522,-31474.68055244588,0.4999995134314807,1.9999888340795122
SOL,LL-B-hl-dn_5s,6833,0.5145616859358993,-4.608878295455423,-31492.4653928469,0.24747450908049662,1.9999999825543044
SOL,LL-B-hl-up_60s,10650,0.6131455399061033,-3.1439087200386524,-33482.62786841165,0.52324949009079,1.999999610620598
SOL,LL-B-bn-dn_5s,8367,0.5006573443289112,-4.065336432372977,-34014.6699296647,0.024524208464945338,1.9999960398943106
SOL,LL-B-hl-dn_15s,9645,0.5479523068947642,-3.5559096801621717,-34296.74886516415,0.24747450908049662,1.9999990793955436
ETH,LL-B-hl-dn_5s,10543,0.513705776344494,-3.300312602800558,-34795.19577132628,0.24747450908049662,1.9999998364186187
BTC,LL-B-bn-dn_60s,22768,0.5899068868587491,-1.5456722830858411,-35191.866541298434,1.2894740078257763,1.9999244293719953
BTC,LL-B-hl-up_15s,16165,0.5284256108877203,-2.2037612502928514,-35623.80061098394,0.24747450908049662,1.9999750458457044
BTC,LL-B-bn-dn_5s,15563,0.5045942299042601,-2.363781944897886,-36787.5384084458,0.24747450908049662,1.9999970352049483
ETH,LL-B-hl-up_60s,15684,0.5958301453710788,-2.385644725824987,-37416.45187983909,0.7803622537540447,1.9999992281139227
BTC,LL-B-bn-up_60s,22788,0.5950061435843427,-1.6662305459439604,-37970.06168097097,1.2894740078257763,1.9999919803778528
ETH,LL-B-hl-up_5s,11901,0.4879421897319553,-3.269402610351731,-38909.16046579595,-25.0,1.9999928709502681
SOL,LL-B-hl-up_5s,7482,0.5114942528735632,-5.319116843212641,-39797.63222091698,0.24747450908049662,1.9999999999999858
BTC,LL-B-hl-dn_15s,16358,0.5292823083506542,-2.4420243599810307,-39946.6344805697,0.24747450908049662,1.9999970244998089
BTC,LL-B-hl-up_5s,16553,0.49773454962846614,-2.504554145645323,-41457.88477286703,-25.0,1.9999898560022142
ETH,LL-B-bn-up_5s,15577,0.5073505809847852,-2.6637746601507315,-41493.61788116794,0.24747450908049662,1.9999901018869402
