sleeve,gate,is_n,is_wr,is_mean,is_sum,oos_n,oos_wr,oos_mean,oos_sum,PASS
S1,BASE,60,0.6,4.869315780334037,292.1589468200422,10,0.7,9.966176781110397,99.66176781110397,
S1,g_bn_with_5s,27,0.7777777777777778,13.899805597135604,375.2947511226613,6,1.0,24.686683333927856,148.12010000356713,True
S1,g_hl_with_15s,31,0.6774193548387096,8.625597510365244,267.39352282132256,6,0.8333333333333334,16.436683333927856,98.62010000356715,True
S1,g_xchg_all_with_120s,26,0.6538461538461539,7.683312487251116,199.76612466852902,8,0.75,12.520220976387998,100.16176781110399,True
S1,g_hl_with_5s,34,0.6470588235294118,7.500792775978271,255.0269543832612,8,0.75,12.520220976387998,100.16176781110399,True
S2,BASE,70,0.5857142857142857,5.073442632310816,355.1409842617571,13,0.6153846153846154,6.756492815443966,87.83440660077156,
S2,g_kr_against_120s,15,0.6666666666666666,9.600852696934675,144.01279045402012,9,0.6666666666666666,9.522971877120952,85.70674689408857,True
S2,g_bn_against_60s,34,0.6470588235294118,8.762631593005583,297.9294741621898,5,0.4,-4.347826280192749,-21.739131400963746,False
S2,g_hl_with_60s,34,0.5882352941176471,5.112828691901054,173.83617552463585,8,0.75,13.696692250216914,109.57353800173532,True
S3,BASE,43,0.5581395348837209,4.276489512782241,183.88904904963638,10,0.6,6.187464199998582,61.874641999985826,
S3,g_bn_against_60s,23,0.6086956521739131,7.094816701302827,163.18078412996502,4,0.5,0.8152171497590635,3.260868599036254,False
S3,g_hl_with_60s,20,0.6,6.841646517236997,136.83293034473994,6,0.6666666666666666,9.768962233491594,58.61377340094957,True
S5,BASE,43,0.6511627906976745,8.192478795116532,352.2765881900109,13,0.46153846153846156,-1.7580771078054729,-22.855002401471147,
S5,g_hl_with_5s,22,0.7272727272727273,12.028551178986227,264.628125937697,5,0.6,5.3289999089605855,26.64499954480293,False
S5,g_hl_with_15s,27,0.7407407407407407,12.629095989197692,340.98559170833767,10,0.5,0.2644997598528853,2.644997598528853,False
S5,g_hl_with_60s,36,0.6944444444444444,10.329006677484799,371.84424038945275,12,0.5,0.17874979987740444,2.144997598528853,False
