asset,venue,lag_min,xc
BTC,coinbase,-10,0.001001251052718787
BTC,coinbase,-9,-0.008003988865896617
BTC,coinbase,-8,-0.0018370444970415727
BTC,coinbase,-7,-0.006607425389675887
BTC,coinbase,-6,0.011119843382242962
BTC,coinbase,-5,-0.004837330541618876
BTC,coinbase,-4,0.004949394261029584
BTC,coinbase,-3,-0.003788992085436484
BTC,coinbase,-2,0.0008497468296900854
BTC,coinbase,-1,0.02436951538102505
BTC,coinbase,0,0.9804314776368975
BTC,coinbase,1,0.05276442083126216
BTC,coinbase,2,-0.00026061801267966754
BTC,coinbase,3,-0.007508206259043007
BTC,coinbase,4,0.004525346134128369
BTC,coinbase,5,-0.005567704946637269
BTC,coinbase,6,0.007778551921512809
BTC,coinbase,7,-0.004355180288307696
BTC,coinbase,8,-0.0014477739978074069
BTC,coinbase,9,-0.008985315185457775
BTC,coinbase,10,0.0025057026960477965
BTC,kraken,-10,0.0011643395054766693
BTC,kraken,-9,0.0005889868176874926
BTC,kraken,-8,-0.0009695423515302669
BTC,kraken,-7,-0.01316005443643211
BTC,kraken,-6,0.005482064075148585
BTC,kraken,-5,0.001804016873012713
BTC,kraken,-4,0.007210670698399391
BTC,kraken,-3,-0.007529504801495649
BTC,kraken,-2,0.016108446041153957
BTC,kraken,-1,0.1810823889827473
BTC,kraken,0,0.8899243280139638
BTC,kraken,1,0.03066391926516548
BTC,kraken,2,-0.002541733433140057
BTC,kraken,3,-0.00936809490392773
BTC,kraken,4,-0.0012469114806204018
BTC,kraken,5,0.00010077076910869283
BTC,kraken,6,-0.0008125189837659329
BTC,kraken,7,0.003241357091835977
BTC,kraken,8,-0.0091368134120003
BTC,kraken,9,-0.003162404347411477
BTC,kraken,10,-0.0018352650892798574
BTC,okx,-10,-0.0009916401312319062
BTC,okx,-9,-0.006349745879704504
BTC,okx,-8,0.001236386754679096
BTC,okx,-7,-0.007561577876347754
BTC,okx,-6,0.00799833763902996
BTC,okx,-5,-0.005993309999344762
BTC,okx,-4,0.0011524568006212796
BTC,okx,-3,-0.006141590166379664
BTC,okx,-2,-0.001737650689567372
BTC,okx,-1,0.03291775732825704
BTC,okx,0,0.9842986560322265
BTC,okx,1,0.04830043916326508
BTC,okx,2,-0.0017540642232938281
BTC,okx,3,-0.008356447538470096
BTC,okx,4,0.001910762241144377
BTC,okx,5,-0.004794672697194623
BTC,okx,6,0.005399434265961182
BTC,okx,7,-0.005644035818991505
BTC,okx,8,-0.0009752440089227263
BTC,okx,9,-0.004067258104419038
BTC,okx,10,-7.515246118690738e-05
BTC,hyperliquid,-10,-0.0024594195411433086
BTC,hyperliquid,-9,-0.0004596093559589728
BTC,hyperliquid,-8,-0.003362320459844667
BTC,hyperliquid,-7,-0.009608660853452914
BTC,hyperliquid,-6,0.004418654436789344
BTC,hyperliquid,-5,-0.0026129541596313236
BTC,hyperliquid,-4,-0.0001839476837432677
BTC,hyperliquid,-3,-0.007873124466378018
