rule,side,asset,tf,fire_offset_s,n,wins,WR,sum_pnl,per_trade,ha_n,ha_WR,ha_per_trade,ha_sum,lm_n,lm_WR,lm_per_trade,lm_sum,edge_vs_HA_per_trade,edge_vs_LM_per_trade,additive_per_trade
XF-A,UP,BTC,15m,60,6,6,1.0,108.15227250792177,18.025378751320293,861,0.610917537746806,0.2096167247386759,180.48,146,0.6232876712328769,-0.6360782580693994,-92.86742567813232,17.815762026581616,18.661457009389693,False
XF-A,DN,BTC,15m,60,15,11,0.7333333333333333,75.3222129583171,5.021480863887806,861,0.610917537746806,0.2096167247386759,180.48,146,0.6232876712328769,-0.6360782580693994,-92.86742567813232,4.81186413914913,5.657559121957205,False
XF-A,BOTH,BTC,15m,60,21,17,0.8095238095238095,183.4744854662388,8.736880260297086,861,0.610917537746806,0.2096167247386759,180.48,146,0.6232876712328769,-0.6360782580693994,-92.86742567813232,8.52726353555841,9.372958518366486,False
XF-A,UP,BTC,15m,120,5,3,0.6,-20.798453157793027,-4.159690631558606,819,0.6495726495726496,0.2861538461538461,234.36,144,0.6597222222222221,0.3774285722755389,54.34971440767761,-4.445844477712452,-4.537119203834145,False
XF-A,DN,BTC,15m,120,5,4,0.8,6.642236695596544,1.3284473391193088,819,0.6495726495726496,0.2861538461538461,234.36,144,0.6597222222222221,0.3774285722755389,54.34971440767761,1.0422934929654626,0.95101876684377,False
XF-A,BOTH,BTC,15m,120,10,7,0.7,-14.156216462196475,-1.4156216462196478,819,0.6495726495726496,0.2861538461538461,234.36,144,0.6597222222222221,0.3774285722755389,54.34971440767761,-1.701775492373494,-1.7930502184951866,False
XF-A,UP,BTC,15m,240,9,5,0.5555555555555556,-59.657438054410704,-6.628604228267856,852,0.67018779342723,0.3269718309859155,278.58000000000004,147,0.5578231292517006,-5.3229984774199925,-782.4807761807389,-6.955576059253771,-1.3056057508478638,False
XF-A,DN,BTC,15m,240,4,2,0.5,-33.32151371492807,-8.330378428732017,852,0.67018779342723,0.3269718309859155,278.58000000000004,147,0.5578231292517006,-5.3229984774199925,-782.4807761807389,-8.657350259717932,-3.007379951312024,False
XF-A,BOTH,BTC,15m,240,13,7,0.5384615384615384,-92.97895176933878,-7.152227059179906,852,0.67018779342723,0.3269718309859155,278.58000000000004,147,0.5578231292517006,-5.3229984774199925,-782.4807761807389,-7.479198890165821,-1.8292285817599137,False
XF-A,UP,BTC,15m,360,10,6,0.6,-8.237024102263476,-0.8237024102263476,816,0.6727941176470589,0.3321323529411765,271.02000000000004,122,0.6721311475409836,1.0319462351796571,125.89744069191818,-1.155834763167524,-1.8556486454060046,False
XF-A,DN,BTC,15m,360,7,4,0.5714285714285714,-46.604993165417824,-6.65785616648826,816,0.6727941176470589,0.3321323529411765,271.02000000000004,122,0.6721311475409836,1.0319462351796571,125.89744069191818,-6.989988519429437,-7.689802401667917,False
XF-A,BOTH,BTC,15m,360,17,10,0.5882352941176471,-54.84201726768129,-3.2260010157459584,816,0.6727941176470589,0.3321323529411765,271.02000000000004,122,0.6721311475409836,1.0319462351796571,125.89744069191818,-3.558133368687135,-4.257947250925616,False
XF-A,UP,BTC,15m,480,9,7,0.7777777777777778,85.60412681406538,9.511569646007263,850,0.668235294117647,0.3231058823529412,274.64000000000004,113,0.672566371681416,1.946802157291648,219.9886437739562,9.188463763654322,7.564767488715615,False
XF-A,DN,BTC,15m,480,5,2,0.4,-71.5158691526142,-14.30317383052284,850,0.668235294117647,0.3231058823529412,274.64000000000004,113,0.672566371681416,1.946802157291648,219.9886437739562,-14.626279712875782,-16.249975987814487,False
