rule,side,asset,tf,fire_offset_s,n,wins,WR,sum_pnl,per_trade
XF-A,UP,BTC,15m,60,6,6,1.0,108.15227250792175,18.025378751320293
XF-A,DN,BTC,15m,60,15,11,0.7333333333333333,75.3222129583171,5.021480863887806
XF-A,BOTH,BTC,15m,60,21,17,0.8095238095238095,183.4744854662388,8.736880260297086
XF-A,UP,BTC,15m,120,5,3,0.6,-20.798453157793027,-4.159690631558606
XF-A,DN,BTC,15m,120,5,4,0.8,6.642236695596544,1.3284473391193088
XF-A,BOTH,BTC,15m,120,10,7,0.7,-14.156216462196477,-1.4156216462196478
XF-A,UP,BTC,15m,240,9,5,0.5555555555555556,-59.657438054410704,-6.628604228267856
XF-A,DN,BTC,15m,240,4,2,0.5,-33.32151371492807,-8.330378428732017
XF-A,BOTH,BTC,15m,240,13,7,0.5384615384615384,-92.97895176933878,-7.152227059179906
XF-A,UP,BTC,15m,360,10,6,0.6,-8.237024102263476,-0.8237024102263476
XF-A,DN,BTC,15m,360,7,4,0.5714285714285714,-46.604993165417824,-6.65785616648826
XF-A,BOTH,BTC,15m,360,17,10,0.5882352941176471,-54.84201726768129,-3.2260010157459584
XF-A,UP,BTC,15m,480,9,7,0.7777777777777778,85.60412681406538,9.511569646007265
XF-A,DN,BTC,15m,480,5,2,0.4,-71.5158691526142,-14.30317383052284
XF-A,BOTH,BTC,15m,480,14,9,0.6428571428571429,14.088257661451195,1.0063041186750854
XF-A,UP,BTC,15m,600,13,9,0.6923076923076923,17.557765691399453,1.350597360876881
XF-A,DN,BTC,15m,600,8,7,0.875,35.139135837692024,4.392391979711503
XF-A,BOTH,BTC,15m,600,21,16,0.7619047619047619,52.69690152909149,2.509376263290071
XF-A,UP,BTC,15m,720,2,1,0.5,-19.550243709583782,-9.775121854791891
XF-A,DN,BTC,15m,720,4,3,0.75,-8.419928012790434,-2.1049820031976085
XF-A,BOTH,BTC,15m,720,6,4,0.6666666666666666,-27.970171722374218,-4.661695287062369
XF-A,UP,BTC,15m,840,3,1,0.3333333333333333,-49.781852205799105,-16.593950735266368
XF-A,DN,BTC,15m,840,4,2,0.5,-45.5116288674167,-11.377907216854174
XF-A,BOTH,BTC,15m,840,7,3,0.42857142857142855,-95.2934810732158,-13.613354439030829
XF-A,UP,BTC,5m,30,21,17,0.8095238095238095,131.78216561741388,6.275341219876852
XF-A,DN,BTC,5m,30,20,14,0.7,173.2570409818114,8.66285204909057
XF-A,BOTH,BTC,5m,30,41,31,0.7560975609756098,305.0392065992253,7.439980648761592
XF-A,UP,BTC,5m,60,18,15,0.8333333333333334,199.13316033536913,11.062953351964952
XF-A,DN,BTC,5m,60,27,15,0.5555555555555556,-94.05159902196067,-3.483392556368914
XF-A,BOTH,BTC,5m,60,45,30,0.6666666666666666,105.08156131340849,2.335145806964633
XF-A,UP,BTC,5m,90,20,17,0.85,274.6937826509208,13.734689132546041
XF-A,DN,BTC,5m,90,18,12,0.6666666666666666,101.87657789119271,5.65980988284404
XF-A,BOTH,BTC,5m,90,38,29,0.7631578947368421,376.57036054211346,9.909746330055617
