rule,side,asset,tf,fire_offset_s,n,WR,per_trade,sum_pnl
DISAGR_mp=0_imb=0_hk=N,UP,BTC,15m,60,251,0.46613545816733065,-2.988418551578689,-750.093056446251
DISAGR_mp=0_imb=0_hk=N,DN,BTC,15m,60,277,0.5234657039711191,0.43935677564901704,121.70182685477772
DISAGR_mp=0_imb=0_hk=N,UP,BTC,15m,120,252,0.49603174603174605,-1.3185534363514184,-332.2754659605574
DISAGR_mp=0_imb=0_hk=N,DN,BTC,15m,120,278,0.49640287769784175,-1.8027958576332512,-501.1772484220438
DISAGR_mp=0_imb=0_hk=N,UP,BTC,15m,240,284,0.5563380281690141,0.2878482815996477,81.74891197429994
DISAGR_mp=0_imb=0_hk=N,DN,BTC,15m,240,283,0.5901060070671378,1.9922167021165105,563.7973266989725
DISAGR_mp=0_imb=0_hk=N,UP,BTC,15m,360,302,0.6026490066225165,-0.978513715960315,-295.51114222001513
DISAGR_mp=0_imb=0_hk=N,DN,BTC,15m,360,325,0.5907692307692308,-1.8631974562835254,-605.5391732921457
DISAGR_mp=0_imb=0_hk=N,UP,BTC,15m,480,327,0.6207951070336392,0.08598098972519415,28.11578364013849
DISAGR_mp=0_imb=0_hk=N,DN,BTC,15m,480,313,0.6293929712460063,-1.3292464002136721,-416.0541232668794
DISAGR_mp=0_imb=0_hk=N,UP,BTC,15m,600,324,0.6697530864197531,-2.1133831035216826,-684.7361255410251
DISAGR_mp=0_imb=0_hk=N,DN,BTC,15m,600,353,0.6855524079320113,-1.948325351679851,-687.7588491429874
DISAGR_mp=0_imb=0_hk=N,UP,BTC,15m,720,297,0.632996632996633,-4.954856834066626,-1471.592479717788
DISAGR_mp=0_imb=0_hk=N,DN,BTC,15m,720,316,0.6455696202531646,-3.7310107787177413,-1178.9994060748063
DISAGR_mp=0_imb=0_hk=N,UP,BTC,15m,840,237,0.4978902953586498,-8.5157225143488,-2018.2262359006656
DISAGR_mp=0_imb=0_hk=N,DN,BTC,15m,840,242,0.5661157024793388,-5.654292006934353,-1368.3386656781136
DISAGR_mp=0_imb=0_hk=N,UP,BTC,5m,30,689,0.5224963715529753,-0.17009249912710828,-117.1937318985776
DISAGR_mp=0_imb=0_hk=N,DN,BTC,5m,30,657,0.54337899543379,0.9238949587280686,606.9989878843411
DISAGR_mp=0_imb=0_hk=N,UP,BTC,5m,60,698,0.5444126074498568,-0.49782750463486136,-347.48359823513323
DISAGR_mp=0_imb=0_hk=N,DN,BTC,5m,60,688,0.5188953488372093,-2.1026152660807758,-1446.5993030635736
DISAGR_mp=0_imb=0_hk=N,UP,BTC,5m,90,728,0.5741758241758241,-0.5578885341778816,-406.14285288149784
DISAGR_mp=0_imb=0_hk=N,DN,BTC,5m,90,746,0.5589812332439679,-1.308210857369261,-975.9252995974688
DISAGR_mp=0_imb=0_hk=N,UP,BTC,5m,120,774,0.6098191214470284,-0.8421086301712079,-651.7920797525148
DISAGR_mp=0_imb=0_hk=N,DN,BTC,5m,120,747,0.6372155287817939,-0.5588069025048837,-417.42875617114817
DISAGR_mp=0_imb=0_hk=N,UP,BTC,5m,150,792,0.6275252525252525,1.5365082916446164,1216.9145669825361
DISAGR_mp=0_imb=0_hk=N,DN,BTC,5m,150,808,0.6398514851485149,-1.447932423649964,-1169.929398309171
DISAGR_mp=0_imb=0_hk=N,UP,BTC,5m,180,848,0.6851415094339622,0.23530082726031196,199.53510151674453
DISAGR_mp=0_imb=0_hk=N,DN,BTC,5m,180,827,0.686819830713422,-1.4247692247824608,-1178.284148895095
DISAGR_mp=0_imb=0_hk=N,UP,BTC,5m,210,842,0.6983372921615202,-1.7468354176449064,-1470.8354216570112
DISAGR_mp=0_imb=0_hk=N,DN,BTC,5m,210,822,0.6909975669099757,-0.39495857483795754,-324.6559485168011
DISAGR_mp=0_imb=0_hk=N,UP,BTC,5m,240,760,0.6631578947368421,0.4356277628899987,331.077099796399
DISAGR_mp=0_imb=0_hk=N,DN,BTC,5m,240,815,0.6773006134969325,-3.547774515802732,-2891.436230379227
DISAGR_mp=0_imb=0_hk=N,UP,BTC,5m,270,576,0.6510416666666666,-2.451866653444052,-1412.275192383774
DISAGR_mp=0_imb=0_hk=N,DN,BTC,5m,270,596,0.6946308724832215,-1.8396096213421873,-1096.4073343199436
DISAGR_mp=0_imb=0_hk=N,UP,BTC,5m,300,102,0.5588235294117647,-7.3528515105881,-749.9908540799862
DISAGR_mp=0_imb=0_hk=N,DN,BTC,5m,300,95,0.631578947368421,-6.369921830350501,-605.1425738832976
DISAGR_mp=0_imb=0_hk=N,UP,ETH,15m,60,230,0.45652173913043476,-4.017839682352777,-924.1031269411388
DISAGR_mp=0_imb=0_hk=N,DN,ETH,15m,60,285,0.5052631578947369,-1.6887339178844814,-481.2891665970772
DISAGR_mp=0_imb=0_hk=N,UP,ETH,15m,120,236,0.5254237288135594,-1.8921858198122607,-446.55585347569354
DISAGR_mp=0_imb=0_hk=N,DN,ETH,15m,120,287,0.5121951219512195,-2.4679630095298113,-708.3053837350558
DISAGR_mp=0_imb=0_hk=N,UP,ETH,15m,240,287,0.5818815331010453,-2.980663705945658,-855.4504836064038
DISAGR_mp=0_imb=0_hk=N,DN,ETH,15m,240,307,0.6449511400651465,1.316637395870925,404.20768053237396
DISAGR_mp=0_imb=0_hk=N,UP,ETH,15m,360,274,0.6167883211678832,-1.6502757654825042,-452.17555974220613
DISAGR_mp=0_imb=0_hk=N,DN,ETH,15m,360,286,0.6223776223776224,-1.7141431654058876,-490.2449453060839
DISAGR_mp=0_imb=0_hk=N,UP,ETH,15m,480,272,0.6507352941176471,-3.878343363483668,-1054.9093948675577
DISAGR_mp=0_imb=0_hk=N,DN,ETH,15m,480,284,0.6795774647887324,-0.13921072748344793,-39.53584660529921
DISAGR_mp=0_imb=0_hk=N,UP,ETH,15m,600,257,0.6108949416342413,-5.8710053306623875,-1508.8483699802337
DISAGR_mp=0_imb=0_hk=N,DN,ETH,15m,600,295,0.6711864406779661,0.10062721692201786,29.685028991995267
DISAGR_mp=0_imb=0_hk=N,UP,ETH,15m,720,265,0.6264150943396226,7.866557192937935,2084.637656128553
DISAGR_mp=0_imb=0_hk=N,DN,ETH,15m,720,265,0.6037735849056604,-5.579693592567162,-1478.618802030298
DISAGR_mp=0_imb=0_hk=N,UP,ETH,15m,840,234,0.4829059829059829,-6.510036495605744,-1523.3485399717442
DISAGR_mp=0_imb=0_hk=N,DN,ETH,15m,840,240,0.5333333333333333,-6.6365037410932155,-1592.7608978623716
DISAGR_mp=0_imb=0_hk=N,UP,ETH,5m,30,639,0.49608763693270735,-1.1280220213190273,-720.8060716228584
DISAGR_mp=0_imb=0_hk=N,DN,ETH,5m,30,742,0.5202156334231806,-0.2906517032343586,-215.66356379989412
DISAGR_mp=0_imb=0_hk=N,UP,ETH,5m,60,611,0.5531914893617021,-0.4054480800897845,-247.72877693485833
DISAGR_mp=0_imb=0_hk=N,DN,ETH,5m,60,780,0.5551282051282052,-0.07371968312712636,-57.50135283915856
