reason,won,n_events,spread,px
wide_spread,True,41,0.06999999284744263,0.9399999976158142
wide_spread,True,53,0.02000001072883606,0.5
few_book_events,True,17,,
few_book_events,True,22,,
few_book_events,True,22,,
FILLED,True,28,0.009999990463256836,0.949999988079071
FILLED,True,31,0.009999990463256836,0.7437524850833998
FILLED,True,41,0.009999990463256836,0.916853369576046
wide_spread,False,52,0.039999961853027344,0.699999988079071
few_book_events,True,16,,
FILLED,True,39,0.009999990463256836,0.9200000166893005
FILLED,True,50,0.009999990463256836,0.9896991412884975
few_book_events,False,15,,
FILLED,True,58,0.009999990463256836,0.9630123849718096
FILLED,True,57,0.009999990463256836,0.9290593909295746
FILLED,True,54,0.009999990463256836,0.9858554769738255
wide_spread,True,36,0.030000030994415283,0.9700000286102295
FILLED,True,60,0.010000050067901611,0.9700000286102295
wide_spread,True,35,0.04999998211860657,0.3499999940395355
few_book_events,True,18,,
few_book_events,True,24,,
few_book_events,True,11,,
wide_spread,False,52,0.07000000774860382,0.27000001072883606
few_book_events,True,22,,
wide_spread,False,39,0.030000001192092896,0.3199999928474426
FILLED,True,33,0.009999990463256836,0.9669984503037578
wide_spread,False,30,0.02000001072883606,0.27000001072883606
FILLED,True,29,0.019999980926513672,0.9376558602008579
FILLED,True,35,0.019999980926513672,0.8283432982940508
FILLED,True,42,0.009999990463256836,0.9556650857889399
wide_spread,True,44,0.09999996423721313,0.7799999713897705
few_book_events,True,20,,
wide_spread,True,45,0.07999998331069946,0.9300000071525574
wide_spread,True,30,0.029999971389770508,0.6299999952316284
wide_spread,True,104,0.06000000238418579,0.9399999976158142
FILLED,True,38,0.010000050067901611,0.9714088868343133
few_book_events,True,15,,
FILLED,True,28,0.009999990463256836,0.9382061490907643
few_book_events,True,24,,
few_book_events,True,23,,
wide_spread,True,74,0.050000011920928955,0.4399999976158142
wide_spread,False,43,0.04000002145767212,0.5600000023841858
FILLED,True,39,0.009999990463256836,0.8467252240512703
wide_spread,True,37,0.030000030994415283,0.9700000286102295
FILLED,True,53,0.009999990463256836,0.9484559032759678
few_book_events,True,24,,
few_book_events,True,16,,
wide_spread,True,25,0.029999971389770508,0.8199999928474426
wide_spread,False,36,0.15000002086162567,0.36000001430511475
wide_spread,True,48,0.06999999284744263,0.9200000166893005
FILLED,True,54,0.009999990463256836,0.8899999856948853
FILLED,True,40,0.019999980926513672,0.8852830446264264
wide_spread,True,59,0.19999998807907104,0.7400000095367432
few_book_events,True,20,,
wide_spread,True,40,0.039999961853027344,0.949999988079071
wide_spread,False,36,0.03999999165534973,0.38999998569488525
wide_spread,True,57,0.12000000476837158,0.6499999761581421
FILLED,True,44,0.009999990463256836,0.9825756750563082
few_book_events,False,23,,
FILLED,True,48,0.010000050067901611,0.9781806048462879
wide_spread,True,53,0.04999995231628418,0.9599999785423279
FILLED,True,58,0.009999990463256836,0.9885211832531455
wide_spread,True,62,0.03999999165534973,0.44999998807907104
FILLED,True,79,0.009999990463256836,0.8232166841765363
FILLED,True,31,0.009999990463256836,0.9854550950778743
wide_spread,True,72,0.13999998569488525,0.9399999976158142
wide_spread,True,58,0.04000002145767212,0.9700000286102295
FILLED,True,93,0.009999990463256836,0.9823221862911046
FILLED,True,67,0.009999990463256836,0.948633956509327
FILLED,True,78,0.019999980926513672,0.828803192676602
wide_spread,True,61,0.020000040531158447,0.9700000286102295
wide_spread,True,40,0.020000040531158447,0.9800000190734863
FILLED,True,43,0.009999990463256836,0.8161515252889215
FILLED,True,56,0.010000050067901611,0.6361424217669805
wide_spread,True,64,0.029999971389770508,0.7699999809265137
wide_spread,True,66,0.030000030994415283,0.8600000143051147
FILLED,True,55,0.009999990463256836,0.9241780761918229
FILLED,True,43,0.019999980926513672,0.8811881129688613
wide_spread,True,46,0.04999995231628418,0.8399999737739563
FILLED,True,46,0.010000050067901611,0.9737679103903955
FILLED,True,59,0.009999990463256836,0.9900000095367432
FILLED,True,61,0.009999990463256836,0.3898635358110383
FILLED,True,48,0.009999990463256836,0.8195705383136849
wide_spread,True,63,0.04999995231628418,0.7799999713897705
wide_spread,True,69,0.04000002145767212,0.9700000286102295
wide_spread,False,77,0.030000030994415283,0.9300000071525574
wide_spread,True,48,0.020000040531158447,0.8500000238418579
FILLED,True,83,0.009999990463256836,0.5642023330510965
wide_spread,True,73,0.04000002145767212,0.9700000286102295
wide_spread,True,43,0.050000011920928955,0.949999988079071
wide_spread,True,35,0.06000000238418579,0.8899999856948853
wide_spread,False,71,0.020000040531158447,0.7300000190734863
FILLED,False,56,0.010000050067901611,0.56198065287578
wide_spread,True,80,0.11000001430511475,0.6200000047683716
wide_spread,True,72,0.020000040531158447,0.9800000190734863
wide_spread,True,100,0.07999998331069946,0.5899999737739563
FILLED,True,50,0.010000050067901611,0.978700306332315
FILLED,True,60,0.010000050067901611,0.9791031614478509
wide_spread,True,43,0.04999995231628418,0.8999999761581421
wide_spread,True,102,0.11000001430511475,0.949999988079071
FILLED,True,68,0.009999990463256836,0.9600614526337917
FILLED,True,41,0.009999990463256836,0.949999988079071
FILLED,True,39,0.009999990463256836,0.9691471748078749
wide_spread,True,36,0.050000011920928955,0.949999988079071
FILLED,True,29,0.01000000536441803,0.17647059483511635
FILLED,True,32,0.019999980926513672,0.9481302770209857
wide_spread,True,44,0.030000030994415283,0.9100000262260437
FILLED,True,35,0.009999990463256836,0.7389743141584146
wide_spread,True,25,0.020000040531158447,0.7900000214576721
FILLED,True,28,0.019999980926513672,0.919867555487607
few_book_events,True,21,,
wide_spread,True,37,0.06000000238418579,0.9599999785423279
FILLED,True,59,0.019999980926513672,0.6114501739879377
wide_spread,False,101,0.07000002264976501,0.33000001311302185
wide_spread,True,108,0.039999961853027344,0.8899999856948853
wide_spread,False,50,0.029999971389770508,0.949999988079071
FILLED,True,74,0.009999990463256836,0.9680638911341756
wide_spread,True,61,0.06000000238418579,0.9399999976158142
FILLED,True,52,0.009999990463256836,0.7890531529334037
wide_spread,False,127,0.030000030994415283,0.9300000071525574
wide_spread,True,182,0.030000030994415283,0.8500000238418579
wide_spread,True,116,0.020000040531158447,0.9800000190734863
FILLED,True,66,0.009999990463256836,0.9685858860992965
wide_spread,True,43,0.030000030994415283,0.9100000262260437
wide_spread,True,64,0.020000040531158447,0.9100000262260437
wide_spread,False,111,0.029999971389770508,0.8899999856948853
FILLED,True,121,0.019999980926513672,0.9684775742151306
FILLED,True,43,0.009999990463256836,0.9871570001628958
FILLED,True,47,0.019999980926513672,0.9599999785423279
wide_spread,True,73,0.030000030994415283,0.8500000238418579
wide_spread,True,87,0.020000040531158447,0.9700000286102295
wide_spread,True,71,0.06999999284744263,0.9599999785423279
FILLED,True,52,0.009999990463256836,0.9800000190734863
FILLED,True,71,0.019999980926513672,0.7873545002525084
FILLED,True,54,0.009999990463256836,0.9460304481907262
FILLED,True,84,0.009999990463256836,0.985549273278214
wide_spread,True,52,0.030000030994415283,0.8100000023841858
FILLED,False,54,0.009999990463256836,0.8224238220611837
FILLED,True,65,0.009999990463256836,0.7718944286109517
wide_spread,False,35,0.030000001192092896,0.46000000834465027
wide_spread,False,67,0.04999999701976776,0.25999999046325684
FILLED,True,48,0.009999990463256836,0.6677453854934601
FILLED,True,46,0.009999990463256836,0.9674035045889654
wide_spread,True,62,0.029999971389770508,0.8799999952316284
wide_spread,True,52,0.030000030994415283,0.8600000143051147
FILLED,True,78,0.009999990463256836,0.9625536980529527
wide_spread,False,56,0.040000006556510925,0.18000000715255737
wide_spread,False,65,0.030000001192092896,0.3400000035762787
FILLED,True,72,0.009999990463256836,0.7960670508179247
wide_spread,True,55,0.020000040531158447,0.9200000166893005
FILLED,True,88,0.010000050067901611,0.9700000286102295
FILLED,True,68,0.019999980926513672,0.9599999785423279
wide_spread,False,52,0.029999971389770508,0.38999998569488525
FILLED,True,90,0.010000050067901611,0.9775522305331291
wide_spread,True,44,0.039999961853027344,0.9599999785423279
wide_spread,True,45,0.020000040531158447,0.9700000286102295
FILLED,True,74,0.009999990463256836,0.9696509535687726
FILLED,True,46,0.010000050067901611,0.8669540826767581
FILLED,True,62,0.009999990463256836,0.8742300821917859
few_book_events,True,23,,
wide_spread,False,161,0.07999998331069946,0.7699999809265137
wide_spread,True,87,0.04000002145767212,0.9100000262260437
wide_spread,True,117,0.06000000238418579,0.949999988079071
wide_spread,True,83,0.020000040531158447,0.9200000166893005
FILLED,True,44,0.010000050067901611,0.9769012912000583
wide_spread,False,54,0.06000000238418579,0.8999999761581421
FILLED,True,60,0.009999990463256836,0.9374987532987776
wide_spread,True,59,0.030000030994415283,0.9700000286102295
FILLED,True,27,0.009999990463256836,0.9200000166893005
FILLED,True,31,0.009999990463256836,0.949999988079071
FILLED,False,65,0.019999980926513672,0.8968260265025221
FILLED,True,32,0.009999990463256836,0.9370980347904881
FILLED,True,35,0.009999990463256836,0.9447735058775539
FILLED,True,60,0.009999990463256836,0.949999988079071
FILLED,True,45,0.009999990463256836,0.953868517674577
wide_spread,False,47,0.030000030994415283,0.800000011920929
few_book_events,True,24,,
few_book_events,True,22,,
FILLED,True,56,0.009999990463256836,0.9323011993312813
wide_spread,False,39,0.03999999165534973,0.3799999952316284
FILLED,True,77,0.019999980926513672,0.9486263784364972
wide_spread,True,57,0.029999971389770508,0.9399999976158142
FILLED,True,41,0.019999980926513672,0.7671426726480929
wide_spread,True,55,0.04999999701976776,0.20000000298023224
FILLED,True,51,0.009999990463256836,0.9381233574850394
wide_spread,False,36,0.04000002145767212,0.5699999928474426
wide_spread,True,44,0.1899999976158142,0.3499999940395355
FILLED,False,69,0.010000050067901611,0.9700000286102295
wide_spread,False,27,0.039999961853027344,0.8299999833106995
few_book_events,False,21,,
few_book_events,True,19,,
FILLED,True,51,0.009999990463256836,0.828803192676602
FILLED,True,35,0.010000050067901611,0.8046187176003986
wide_spread,True,53,0.030000030994415283,0.9800000190734863
FILLED,False,28,0.009999990463256836,0.6891729908155314
wide_spread,True,61,0.050000011920928955,0.8500000238418579
wide_spread,True,53,0.020000040531158447,0.8500000238418579
FILLED,True,53,0.009999990463256836,0.9488613555383107
FILLED,True,31,0.009999990463256836,0.8299999833106995
wide_spread,True,43,0.030000030994415283,0.7300000190734863
wide_spread,False,26,0.050000011920928955,0.4399999976158142
FILLED,True,73,0.009999990463256836,0.9541756955637238
wide_spread,True,42,0.050000011920928955,0.9700000286102295
wide_spread,False,25,0.050000011920928955,0.46000000834465027
FILLED,True,79,0.009999990463256836,0.9599999785423279
FILLED,True,47,0.019999980926513672,0.9900000095367432
wide_spread,True,39,0.06999999284744263,0.8600000143051147
FILLED,True,47,0.009999990463256836,0.98287612981179
FILLED,True,79,0.009999990463256836,0.9200000166893005
FILLED,True,56,0.009999990463256836,0.9300000071525574
FILLED,True,29,0.019999980926513672,0.884433953257056
FILLED,True,70,0.009999990463256836,0.9120007584631599
wide_spread,False,83,0.030000030994415283,0.7400000095367432
FILLED,True,73,0.009999990463256836,0.9575830412730453
FILLED,True,108,0.010000050067901611,0.8236456808926468
wide_spread,True,25,0.039999961853027344,0.8999999761581421
wide_spread,False,95,0.03999999165534973,0.5
wide_spread,True,87,0.029999971389770508,0.8799999952316284
wide_spread,True,74,0.029999971389770508,0.8799999952316284
FILLED,True,43,0.019999980926513672,0.9343936411157631
FILLED,True,41,0.009999990463256836,0.949999988079071
FILLED,True,41,0.009999990463256836,0.9800000190734863
wide_spread,True,93,0.020000040531158447,0.8500000238418579
wide_spread,True,69,0.020000040531158447,0.9800000190734863
FILLED,True,50,0.009999990463256836,0.9472642914937008
FILLED,True,33,0.009999990463256836,0.9631271336567057
wide_spread,False,66,0.030000001192092896,0.3499999940395355
wide_spread,True,64,0.029999971389770508,0.8299999833106995
FILLED,True,105,0.019999980926513672,0.5398041985082579
FILLED,True,30,0.009999990463256836,0.9842950410098521
FILLED,True,49,0.019999980926513672,0.9900000095367432
wide_spread,True,45,0.020000040531158447,0.9700000286102295
wide_spread,True,49,0.08000004291534424,0.6600000262260437
FILLED,True,36,0.009999990463256836,0.965773794084725
FILLED,True,50,0.010000050067901611,0.8594053063936917
wide_spread,True,30,0.030000030994415283,0.8500000238418579
FILLED,True,44,0.009999990463256836,0.9234912467427482
few_book_events,True,13,,
FILLED,True,48,0.009999990463256836,0.8780930550231368
FILLED,True,69,0.010000050067901611,0.9801980384996436
wide_spread,True,75,0.030000030994415283,0.9200000166893005
FILLED,True,70,0.019999980926513672,0.9481037823227899
FILLED,True,45,0.010000050067901611,0.9178852110957387
wide_spread,True,69,0.020000040531158447,0.9800000190734863
FILLED,True,35,0.009999990463256836,0.9688412886238007
FILLED,True,68,0.019999980926513672,0.7875837025363144
FILLED,True,83,0.009999990463256836,0.9603009405496228
FILLED,True,79,0.019999980926513672,0.9599999785423279
FILLED,True,114,0.010000050067901611,0.5551149950861383
wide_spread,True,66,0.029999971389770508,0.8799999952316284
FILLED,True,48,0.009999990463256836,0.22890978032670367
wide_spread,True,104,0.04000002145767212,0.9800000190734863
FILLED,True,59,0.009999990463256836,0.944376232816038
FILLED,True,64,0.019999980926513672,0.7177107824914324
FILLED,True,52,0.019999980926513672,0.7888419955861147
FILLED,True,89,0.009999990463256836,0.8061383120308705
wide_spread,True,67,0.030000001192092896,0.28999999165534973
FILLED,True,63,0.019999980926513672,0.8484073593403728
FILLED,True,50,0.009999990463256836,0.9237811186209922
wide_spread,False,34,0.030000030994415283,0.9300000071525574
wide_spread,True,95,0.020000040531158447,0.9800000190734863
FILLED,True,52,0.009999990463256836,0.431687431374033
FILLED,True,129,0.009999990463256836,0.6392431225498337
FILLED,False,69,0.010000020265579224,0.27229620397064386
