asset,slug,timeframe,window_start_unix,outcome_up,strike_price,settlement_price,abs_move_pct,btc_close_at_ws,ret_5m,ret_15m,ret_1h,oi_now,oi_delta_5m,oi_delta_15m,oi_delta_1h,oiv_delta_5m,ls_count,ls_count_delta_5m,ls_top_count,ls_top_sum,smart_minus_retail,taker_ratio,taker_delta_5m,book_skew,entry_yes_ask,entry_no_ask,votes_up,prob_a,prob_b
btc,btc-updown-15m-1776872700,15m,1776872700,1,79279.92,79272.91,8.84208763076e-05,79309.99,0.0005361417484879,0.0007603445630145,0.0077081091215993,105937.334,0.0013388447109707,0.006794781311286,0.0306397730434024,0.0015356110851336,0.53987935,0.0011352,0.5551368,0.901601,0.01525745,1.423171,-0.8028930000000001,-0.9508980048944378,0.57,0.44,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1776873600,15m,1776873600,0,79272.91,79201.0,0.000907119468681,79324.3,-0.0008280287234893,0.0001804149662573,0.0040847618435636,105962.294,0.0002278121500316,0.0002356109886623,0.0218158752342381,-0.0014143538552118,0.53887728,-0.0012441599999999,0.55335928,0.895752,0.0144819999999999,0.526296,-1.851901,0.6834641681438339,0.54,0.47,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1776874500,15m,1776874500,0,79201.0,78932.0,0.0033964217623514,79169.19,-0.0008588037374834,-0.0019573049911314,0.0025598236469924,106169.537,0.0008326073722402,0.0019558183593118,0.0168583435923106,-0.0001992616935907,0.53037637,-0.0055560599999999,0.54639748,0.893181,0.0160211099999999,0.6333,-0.574349,0.904655075715087,0.51,0.5,1,0.5,0.4983991462113128
btc,btc-updown-15m-1776875400,15m,1776875400,0,78932.0,78813.9,0.0014962245983884,78862.31,-0.0013542293281617,-0.0038837875454336,-0.0049003330072931,106122.378,-0.0009729751641252,-0.0004441857931433,0.0085533807254731,-0.0017325827084331,0.51939233,-0.00262726,0.53941757,0.891231,0.02002524,0.625862,0.033044,-0.3247148761614717,0.54,0.47,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1776876300,15m,1776876300,0,78813.9,78743.6,0.0008919746389913,78745.96,-0.0021273686089895,-0.0014764456349385,-0.0071371232052461,106115.928,-3.7156094922163874e-05,-6.0778886805556986e-05,0.0016858457095021,-0.0018142689767711,0.51552126,-0.00401421,0.5367942,0.894915,0.02127294,0.845457,-0.4853470000000001,-0.6413038604672017,0.57,0.44,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1776877200,15m,1776877200,1,78743.6,78980.24,0.003005196612804,78787.59,0.0012902482771036,0.0005285223492907,-0.0067890158222128,105680.611,-0.0028895467377019,-0.0041022776524179,-0.0026583324064312,-0.0024928318884949,0.50960534,-0.0028381299999999,0.53139708,0.898587,0.0217917399999999,1.119429,0.0867109999999999,-0.9460616582668936,0.56,0.45,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1776878100,15m,1776878100,0,78980.24,78832.19,0.0018745195000673,78969.98,-0.0006077678126738,0.0023122830969652,-0.0025194277341161,105552.892,-0.0006485050168059,-0.0012085376758467,-0.0058081161265682,-1.6372083876170507e-05,0.51343832,0.0014286599999999,0.53425414,0.899173,0.02081582,1.02862,-0.333437,0.4180514524864598,0.5,0.51,1,0.5,0.4983991462113128
btc,btc-updown-15m-1776879000,15m,1776879000,0,78832.19,78815.98,0.0002056266608856,78851.23,0.0008399083293616,-0.0015048677222835,-0.0001405079109661,105451.552,-0.0001209982755019,-0.0009600873844367,-0.0063212492279431,0.0012386776654191,0.51184625,-0.0006058000000001,0.53389157,0.899757,0.02204532,1.857327,0.734315,-0.1881890585330226,0.48,0.53,1,0.5,0.4983991462113128
btc,btc-updown-15m-1776879900,15m,1776879900,1,78815.98,78900.01,0.0010661543509323,78736.77,-0.0018086991994558,-0.0014526489342802,-0.0001167112103077,105499.796,0.0006578460704314,0.0004574991935633,-0.005806216009344,0.0005719061204947,0.51148237,8.224999999995042e-05,0.53340609,0.899611,0.02192372,0.742519,-0.2215499999999999,0.3569018769303873,0.52,0.49,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1776880800,15m,1776880800,1,78900.01,78958.51,0.0007414447729474,78951.99,-0.0002192231341235,0.0027296826183003,0.0020844490587019,105421.132,-0.0001817047337245,-0.0007456317735439,-0.0024553132078315,-0.0013034942780895,0.51107804,0.00021669,0.53288437,0.904719,0.0218063299999999,1.044136,-1.105816,-0.2703687136558246,0.52,0.49,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1776881700,15m,1776881700,0,78958.51,78905.02,0.0006774443945307,78971.41,0.0008872967790291,0.0002459420212316,1.8107982968091883e-05,105393.3,-7.941618232476522e-06,-0.0002640077892541,-0.0015119623629071,0.0004727304137941,0.51171056,0.00064072,0.53324149,0.90522,0.0215309299999999,1.446374,-0.2241309999999998,0.7385555611063929,0.47,0.55,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1776882600,15m,1776882600,1,78905.02,78960.97,0.0007090803601595,78876.7,-0.0010550148200394,-0.0012000145122482,0.0003229611930035,105382.493,-0.0001265135478276,-0.0001025397250109,-0.0006548884173842,-0.0011016267570503,0.51188715,0.0002065599999999,0.53363164,0.906008,0.02174449,1.220165,-0.2226320000000001,0.3266666666666667,0.5,0.51,1,0.5,0.4983991462113128
btc,btc-updown-15m-1776883500,15m,1776883500,1,78960.97,79022.4,0.0007779792978733,78998.7,0.0001129196256521,0.0015455229159768,0.0033211330432607,105411.78,-9.609839291546685e-06,0.0002779114363899,-0.0008342764947147,8.211337035590738e-05,0.51224227,0.00057909,0.53400937,0.906249,0.0217671,2.394408,0.711849,-0.0111125637338214,0.48,0.53,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1776884400,15m,1776884400,0,79022.4,78855.72,0.0021092753447123,78876.48,-0.0022607282098925,-0.0015483120832064,-0.0009568616582461,105459.571,-0.0001519119200219,0.0004533743761845,0.0003646232901388,-0.0008425615026488,0.51360862,-0.0005793099999999,0.53423796,0.907572,0.02062934,0.380849,-1.294643,-0.2213608957795004,0.48,0.53,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1776885300,15m,1776885300,1,78855.72,79027.59,0.0021795501962318,78893.33,0.001452380941915,0.000213602337026,-0.0009892013424517,104603.684,-0.0009176811428374,-0.0081157830615488,-0.0074920891555726,0.0002291413605555,0.51735195,0.00036009,0.54058839,0.893141,0.02323644,1.914859,0.948343,-0.6291359834727267,0.51,0.5,2,0.457516339869281,0.4983991462113128
btc,btc-updown-15m-1776886200,15m,1776886200,0,79027.59,78860.1,0.0021193864066966,79040.01,0.0001520864441019,0.0018574930685809,0.0020683062383774,104558.039,-0.00029239318771,-0.000436361304445,-0.0078234436909743,0.0004847300262413,0.51568992,-0.00096989,0.53871222,0.884901,0.0230222999999999,1.753754,-2.144981,0.9459135814788944,0.49,0.52,3,0.559322033898305,0.4983991462113128
btc,btc-updown-15m-1776887100,15m,1776887100,0,78860.1,78846.62,0.0001709356188997,78834.04,-0.000300966805811,-0.0026092966749253,-0.0020865133525249,104393.077,0.0002670909409057,-0.0015777074778534,-0.0096640337541021,-4.970853567431988e-06,0.51726357,-2.221000000002249e-05,0.54122219,0.880855,0.02395862,0.62843,-0.423022,-0.8465060087747187,0.51,0.5,0,0.4406779661016949,0.4983991462113128
btc,btc-updown-15m-1776888000,15m,1776888000,0,78846.62,78748.46,0.0012449487371811,78842.9,-0.0005970853814828,0.0001123816838318,-0.0004258195854865,104318.541,-0.0002806670781877,-0.00071399370669,-0.010819596449904,-0.0008306670967731,0.52436017,0.0069238999999999,0.55185986,0.877815,0.0274996899999999,1.545657,-0.220628,0.0645063597819503,0.52,0.5,1,0.5,0.4983991462113128
