asset,slug,timeframe,window_start_unix,outcome_up,strike_price,settlement_price,abs_move_pct,btc_close_at_ws,ret_5m,ret_15m,ret_1h,oi_now,oi_delta_5m,oi_delta_15m,oi_delta_1h,oiv_delta_5m,ls_count,ls_count_delta_5m,ls_top_count,ls_top_sum,smart_minus_retail,taker_ratio,taker_delta_5m,book_skew,entry_yes_ask,entry_no_ask,votes_up,prob_a,prob_b,prob_c,prob_stack
eth,eth-updown-15m-1776872700,15m,1776872700,0,2411.97,2403.84,0.0033706886901578,2412.66,0.0008956784118308,0.0037997043330214,0.007012668960277,2315280.917,0.0071127058739848,0.0133833880251994,0.018084799209036,0.0082067375522696,1.22379224,-0.0018036699999999,0.8805794,1.363708,-0.3432128400000001,1.745589,0.355863,0.5002039842620956,0.31,0.7,3,0.4958677685950413,0.5017976373908578,0.4916820702402957,0.4790775459906698
eth,eth-updown-15m-1776873600,15m,1776873600,1,2403.84,2404.58,0.0003078407880724,2405.55,-0.0018232832862957,-0.0029513056345801,0.002726583783233,2315605.554,0.0001487184233213,0.0001402149508582,0.0162248023849822,-0.0027779386130528,1.22143771,-0.0007299300000001,0.8788669,1.358205,-0.34257081,0.572739,-0.2951049999999999,0.9659284497444632,0.62,0.39,1,0.5098039215686274,0.5017976373908578,0.4916820702402957,0.483772381671421
eth,eth-updown-15m-1776874500,15m,1776874500,0,2404.58,2393.98,0.0044082542481431,2402.95,0.0001123682015819,-0.0010814184271122,0.001866115149306,2315601.669,0.0002193695124772,-1.6777468826445483e-06,0.0144820809538437,-0.0009444253864963,1.21552224,-0.0035366599999999,0.87487771,1.352178,-0.34064453,0.774682,-0.219795,-0.1723772635481841,0.45,0.56,2,0.5666666666666667,0.5017976373908578,0.4916820702402957,0.5772920399088624
eth,eth-updown-15m-1776875400,15m,1776875400,0,2393.98,2390.52,0.0014452919406177,2390.38,-0.0024651857403397,-0.0052448000928545,-0.0054778198215255,2315921.375,-0.0005704964037194,0.0001380660604455,0.0136637123232845,-0.0016689769690656,1.20815541,0.00018259,0.87163039,1.357888,-0.33652502,0.706337,0.094446,-0.9431333522888826,0.59,0.44,0,0.4180327868852459,0.5017976373908578,0.5476190476190477,0.45834995463609074
eth,eth-updown-15m-1776876300,15m,1776876300,0,2390.52,2386.15,0.0018280541472148,2386.94,-0.0022513955183454,-0.0014401382342176,-0.0107176623887644,2306665.634,-0.0017479555477745,-0.0039965696158402,-0.0037210529991164,-0.0034786572223829,1.20622807,-0.0035252499999998,0.86974213,1.360644,-0.3364859400000001,0.769318,-0.6459060000000001,0.1428571428571428,0.6,0.41,0,0.4180327868852459,0.5017976373908578,0.5476190476190477,0.45834995463609074
eth,eth-updown-15m-1776877200,15m,1776877200,1,2386.15,2393.75,0.0031850470423066,2387.92,0.0009007707435437,0.000410483245063,-0.0073558735091213,2306185.633,2.675615095837358e-05,-0.0002080930122358,-0.0040680162403859,-1.2846276843392346e-05,1.20316527,-0.00080122,0.86981699,1.365712,-0.3333482799999999,0.751853,0.05759,0.2072363107737037,0.58,0.43,2,0.5666666666666667,0.5017976373908578,0.5855855855855856,0.7748609415276082
eth,eth-updown-15m-1776878100,15m,1776878100,0,2393.75,2392.1,0.0006892950391644,2393.41,-0.0009563364276586,0.0022964331734785,-0.0039780219085305,2303691.975,0.0007086003318277,-0.0010812911000386,-0.0051432395128404,0.000636588112403,1.20639429,0.00189682,0.87021645,1.372342,-0.3361778399999999,0.954647,-0.5083260000000001,0.2733812949640288,0.51,0.5,1,0.5098039215686274,0.5017976373908578,0.5476190476190477,0.5262108557408021
eth,eth-updown-15m-1776879000,15m,1776879000,1,2392.1,2397.35,0.0021947243008235,2393.31,0.0007356537409136,-4.178226427051923e-05,0.0012249959200532,2303901.333,-0.0002259295418886,9.087933728646468e-05,-0.0051901770628978,0.001172455417189,1.20459162,-6.265999999999217e-05,0.86945566,1.372761,-0.33513596,1.170364,0.0688219999999999,0.7916666666666666,0.53,0.48,2,0.5666666666666667,0.5017976373908578,0.5476190476190477,0.6896961063627725
eth,eth-updown-15m-1776879900,15m,1776879900,1,2397.35,2399.21,0.0007758566750787,2393.07,-0.0026041355344905,-0.0001002845575157,0.0025648495967553,2302666.952,-0.000812496421031,-0.0005357785866605,-0.0017335334350414,-0.0009916083374494,1.2024672,0.0020798800000001,0.86681188,1.37381,-0.3356553200000001,0.537348,-1.0901960000000002,-0.8344370860927153,0.43,0.58,1,0.5098039215686274,0.5017976373908578,0.4352941176470588,0.4093002802456622
eth,eth-updown-15m-1776880800,15m,1776880800,1,2399.21,2401.75,0.0010586818160977,2402.14,0.0001582047922696,0.0037829462386373,0.0059373125903295,2302008.659,0.0001132495831306,-0.0002858828539786,-0.0018112045883168,-0.0009539183305156,1.19764983,-0.00077715,0.86241276,1.369831,-0.33523707,0.492877,-1.584304,0.0721247563352826,0.46,0.55,3,0.4958677685950413,0.5017976373908578,0.4916820702402957,0.4790775459906698
eth,eth-updown-15m-1776881700,15m,1776881700,0,2401.75,2398.24,0.0014614343707713,2401.68,0.0011290138993109,-0.0001915142538254,0.0034493651630254,2301919.423,0.0004533555308352,-3.876440675021353e-05,-0.0007694396730275,0.001459999058311,1.19893713,0.0003054399999999,0.86443515,1.365306,-0.33450198,0.674578,-0.081103,-0.8888888888888888,0.43,0.58,2,0.5666666666666667,0.5017976373908578,0.4916820702402957,0.5772920399088624
eth,eth-updown-15m-1776882600,15m,1776882600,0,2398.24,2398.17,2.91880712522e-05,2395.84,-0.0018015017382596,-0.0024345924079897,0.0010565550193063,2303023.639,-0.0001507677283064,0.0004796935935147,-0.0003809598906986,-0.0014624302583681,1.19495004,-0.0017446199999999,0.86228599,1.364155,-0.33266405,1.205785,0.4082320000000001,0.7142857142857143,0.55,0.5,1,0.5098039215686274,0.5017976373908578,0.5476190476190477,0.5262108557408021
