slug,outcome,taker_side,n_trades,total_size
sol-updown-15m-1776875400,Down,buy,1,2.222221
sol-updown-15m-1776875400,Up,buy,2,7.142856
sol-updown-15m-1776876300,Down,buy,1,2.127658
sol-updown-15m-1776876300,Up,buy,2,10.000000
sol-updown-15m-1776877200,Up,buy,1,10.000000
sol-updown-15m-1776878100,Down,buy,2,9.347825
sol-updown-15m-1776878100,Up,buy,1,5.000000
sol-updown-15m-1776879000,Down,buy,2,12.061222
sol-updown-15m-1776879000,Up,buy,3,38.689088
sol-updown-15m-1776880800,Down,buy,1,1.960783
sol-updown-15m-1776880800,Up,buy,1,5.000000
sol-updown-15m-1776881700,Down,buy,4,64.326362
sol-updown-15m-1776881700,Up,buy,1,4.081631
sol-updown-15m-1776882600,Down,buy,4,54.728985
sol-updown-15m-1776883500,Down,buy,2,41.818180
sol-updown-15m-1776884400,Down,buy,1,2.173912
sol-updown-15m-1776884400,Up,buy,1,40.000000
sol-updown-15m-1776885300,Down,buy,1,2.325580
sol-updown-15m-1776885300,Up,buy,3,314.537305
sol-updown-15m-1776886200,Down,buy,2,8.703702
sol-updown-15m-1776887100,Down,buy,1,2.325580
sol-updown-15m-1776887100,Up,buy,3,272.213042
sol-updown-15m-1776888000,Down,buy,4,39.163259
sol-updown-15m-1776888000,Up,buy,1,5.000000
sol-updown-15m-1776888900,Up,buy,1,5.000000
sol-updown-15m-1776889800,Down,buy,1,2.083332
sol-updown-15m-1776891600,Up,buy,2,10.000000
sol-updown-15m-1776892500,Down,buy,1,4.081631
sol-updown-15m-1776893400,Down,buy,1,28.000000
sol-updown-15m-1776894300,Down,buy,3,50.053570
sol-updown-15m-1776895200,Down,buy,4,39.681181
sol-updown-15m-1776897000,Down,buy,1,2.272726
sol-updown-15m-1776897000,Up,buy,1,10.290000
sol-updown-15m-1776897900,Down,buy,1,4.255318
sol-updown-15m-1776899700,Down,buy,2,6.976741
sol-updown-15m-1776899700,Up,buy,5,292.443352
sol-updown-15m-1776900600,Down,buy,1,2.272726
sol-updown-15m-1776900600,Up,buy,2,19.142856
sol-updown-15m-1776901500,Down,buy,1,2.222221
sol-updown-15m-1776901500,Up,buy,2,27.876427
sol-updown-15m-1776902400,Up,buy,4,46.434205
sol-updown-15m-1776903300,Down,buy,1,2.380951
sol-updown-15m-1776903300,Down,sell,2,24.370000
sol-updown-15m-1776903300,Up,buy,6,96.462862
sol-updown-15m-1776904200,Down,buy,1,5.000000
sol-updown-15m-1776904200,Up,buy,2,38.000000
sol-updown-15m-1776905100,Up,buy,1,5.000000
sol-updown-15m-1776906000,Down,buy,1,2.083332
sol-updown-15m-1776906000,Up,buy,2,16.000000
sol-updown-15m-1776907800,Down,buy,1,2.222221
sol-updown-15m-1776908700,Down,buy,1,5.000000
sol-updown-15m-1776908700,Up,buy,1,38.830000
sol-updown-15m-1776910500,Down,buy,1,2.127658
sol-updown-15m-1776910500,Up,buy,1,4.727271
sol-updown-15m-1776911400,Down,buy,1,2.272726
sol-updown-15m-1776913200,Down,buy,1,3.773582
sol-updown-15m-1776914100,Down,buy,1,2.222221
sol-updown-15m-1776914100,Up,buy,3,38.392820
sol-updown-15m-1776915900,Up,buy,7,155.600266
sol-updown-15m-1776916800,Down,buy,1,2.127658
sol-updown-15m-1776917700,Down,buy,1,4.081631
sol-updown-15m-1776917700,Up,buy,1,5.000000
sol-updown-15m-1776918600,Down,buy,1,19.430768
sol-updown-15m-1776918600,Up,buy,1,5.000000
sol-updown-15m-1776919500,Down,buy,1,3.773582
sol-updown-15m-1776919500,Up,buy,1,10.000000
sol-updown-15m-1776920400,Down,buy,1,17.040000
sol-updown-15m-1776922200,Down,buy,1,2.000000
sol-updown-15m-1776923100,Down,buy,1,2.380951
sol-updown-15m-1776923100,Up,buy,4,185.045064
sol-updown-15m-1776924900,Down,buy,4,108.464283
sol-updown-15m-1776925800,Down,buy,2,28.600000
sol-updown-15m-1776925800,Up,buy,2,10.108694
sol-updown-15m-1776926700,Down,buy,1,1.886791
sol-updown-15m-1776926700,Up,buy,4,33.905659
sol-updown-15m-1776928500,Down,buy,2,5.882350
sol-updown-15m-1776928500,Up,buy,1,10.000000
sol-updown-15m-1776930300,Down,buy,1,2.127658
sol-updown-15m-1776930300,Up,buy,2,10.710000
sol-updown-15m-1776932100,Down,buy,1,14.893616
sol-updown-15m-1776933000,Down,buy,1,2.272726
sol-updown-15m-1776933000,Up,buy,2,44.982104
sol-updown-15m-1776933900,Down,buy,1,2.325580
sol-updown-15m-1776933900,Up,buy,1,45.000000
sol-updown-15m-1776934800,Down,buy,4,33.810872
sol-updown-15m-1776934800,Up,buy,1,95.791014
sol-updown-15m-1776935700,Down,buy,1,2.222221
