asset,tf,offset_bin,WR_DOWN,WR_UP,dpt_DOWN,dpt_UP,n_DOWN,n_UP,sum_DOWN,sum_UP,dpt_diff,sum_diff,wr_diff_pp
BTC,15m,150-240,0.6667,0.6316,4.3881,6.2245,60.0,57.0,263.2848,354.799,1.8364000000000003,91.51419999999996,-3.509999999999991
BTC,15m,240-300,0.7797,0.8704,0.6582,6.5059,59.0,54.0,38.8326,351.3192,5.8477,312.4866,9.07
BTC,15m,60-150,0.7787,0.7589,2.9134,2.674,122.0,112.0,355.4291,299.4912,-0.23940000000000028,-55.93790000000001,-1.9799999999999929
BTC,5m,0-60,0.6718,0.6947,2.4322,1.7742,2885.0,2679.0,7016.88,4753.0662,-0.6579999999999999,-2263.8138,2.290000000000003
BTC,5m,150-240,0.7693,0.7595,0.9085,2.2898,4721.0,4628.0,4289.1291,10597.187,1.3813,6308.0579,-0.9800000000000031
BTC,5m,240-300,0.789,0.7757,1.4025,2.7463,2114.0,2051.0,2964.9715,5632.5736,1.3438,2667.6020999999996,-1.330000000000009
BTC,5m,60-150,0.711,0.7224,2.7954,1.3329,7248.0,7320.0,20261.2367,9756.7584,-1.4625,-10504.4783,1.1400000000000077
ETH,15m,150-240,0.6197,0.5309,6.0354,0.5851,71.0,81.0,428.5134,47.3938,-5.4503,-381.1196,-8.879999999999999
ETH,15m,240-300,0.7667,0.7021,4.4798,3.6081,30.0,47.0,134.3954,169.5788,-0.8717000000000001,35.183400000000006,-6.46000000000001
ETH,15m,60-150,0.6799,0.6748,1.9354,1.7827,378.0,369.0,731.5737,657.8126,-0.15270000000000006,-73.76110000000006,-0.5099999999999993
ETH,5m,0-60,0.6479,0.7035,1.0623,2.4253,869.0,877.0,923.1658,2126.9868,1.363,1203.8210000000001,5.559999999999999
ETH,5m,150-240,0.8327,0.8508,0.6571,1.4458,2535.0,2520.0,1665.8536,3643.3538,0.7887,1977.5002,1.8100000000000005
ETH,5m,240-300,0.8611,0.8618,0.6159,1.0989,2038.0,1982.0,1255.2703,2177.9691,0.483,922.6987999999999,0.07000000000000339
ETH,5m,60-150,0.7212,0.7317,1.8071,0.9446,6321.0,5599.0,11422.5744,5288.5994,-0.8624999999999999,-6133.974999999999,1.0500000000000065
SOL,15m,240-300,0.8056,0.8163,3.2468,3.1551,36.0,49.0,116.8844,154.5998,-0.09169999999999989,37.71539999999999,1.0700000000000043
SOL,15m,60-150,0.6952,0.7383,1.1484,3.3899,105.0,107.0,120.5781,362.7147,2.2415,242.1366,4.309999999999992
SOL,5m,0-60,0.7375,0.7532,2.8378,3.3383,1120.0,1479.0,3178.296,4937.4171,0.5004999999999997,1759.1210999999998,1.5699999999999936
SOL,5m,150-240,0.8478,0.8487,1.3134,0.7992,2891.0,2552.0,3796.9077,2039.5303,-0.5141999999999999,-1757.3774000000003,0.09000000000000119
SOL,5m,240-300,0.9125,0.8962,1.4687,4.0931,480.0,520.0,704.9662,2128.41,2.6243999999999996,1423.4438,-1.6299999999999981
SOL,5m,60-150,0.7586,0.7544,1.1001,0.7975,5260.0,5480.0,5786.4598,4370.1589,-0.3026000000000001,-1416.3008999999993,-0.42000000000000925
