at,slug,direction,asset,tf,sleeve_id,fire_us,book_source,fill_method,entry_vwap,exit_vwap,shares,scalp_pnl_usd,exit_trigger,delta_bps,best_bid_at_exit,exit_book_depth,sell_leg_fee_charged,tp_bid,stop_bid,side
2026-06-11 02:21:05.789619+02,btc-updown-5m-1781137200,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781137500000000,ws_mirror,l25_walk,0.51,0.52,9.803921568627452,0.0980392156862746,time60,3.504379909664568,0.52,2873.8601,0.0,0.65,0.41000000000000003,UP
2026-06-11 19:41:05.74597+02,btc-updown-5m-1781199600,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781199900000000,ws_mirror,l25_walk,0.5,0.69,10.0,1.7502699999999995,time60,5.029438028310018,0.69,3907.0025999999993,0.14973000000000003,0.65,0.4,UP
2026-06-12 07:01:05.887806+02,btc-updown-5m-1781240400,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781240700000000,ws_mirror,l25_walk,0.38,0.31,13.157894736842104,-1.118065789473684,time60,3.3453689167961542,0.31,1083.2602000000002,0.1970131578947368,0.65,0.28,UP
2026-06-12 19:16:05.678796+02,btc-updown-5m-1781284500,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781284800000000,ws_mirror,l25_walk,0.52,0.48,9.615384615384615,-0.552615384615385,time60,-3.3719245270968923,0.48,5210.077800000001,0.168,0.65,0.42000000000000004,DOWN
2026-06-15 00:36:05.344683+02,btc-updown-5m-1781476500,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781476800000000,ws_mirror,l25_walk,0.54,0.76,9.25925925925926,1.9188148148148145,time60,4.344797357946906,0.76,2865.469899999999,0.11822222222222223,0.65,0.44000000000000006,UP
2026-06-15 15:36:05.816636+02,btc-updown-5m-1781530500,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781530800000000,ws_mirror,l25_walk,0.54,0.4,9.25925925925926,-1.4518518518518522,time60,3.309996263536341,0.4,3556.2893,0.15555555555555559,0.65,0.44000000000000006,UP
2026-06-17 14:01:05.334134+02,btc-updown-5m-1781697600,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781697900000000,ws_mirror,l25_walk,0.5247524752475248,0.58,9.528301886792452,0.363938490566037,time60,-7.6654825388855485,0.58,4478.3488,0.16247660377358494,0.65,0.4247524752475248,DOWN
2026-06-17 18:01:05.483756+02,btc-updown-5m-1781712000,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781712300000000,ws_mirror,l25_walk,0.4799999999999999,0.61,10.416666666666668,1.1806979166666673,time60,5.315427667598183,0.61,4515.285,0.17346875000000003,0.65,0.3799999999999999,UP
2026-06-17 18:11:05.536511+02,btc-updown-5m-1781712600,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781712900000000,ws_mirror,l25_walk,0.5,0.71,10.0,1.9558699999999996,time60,-4.017843846286784,0.71,9147.272500000003,0.14413000000000004,0.65,0.4,DOWN
2026-06-17 18:26:05.36181+02,btc-updown-5m-1781713500,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781713800000000,ws_mirror,l25_walk,0.5114183992604102,0.52,9.77673076923077,-0.08691903999999889,time60,4.39878762680479,0.52,7990.337199999999,0.17081904000000003,0.65,0.41141839926041024,UP
2026-06-17 18:31:05.34277+02,btc-updown-5m-1781713800,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781714100000000,ws_mirror,l25_walk,0.4799999999999999,0.13,10.416666666666668,-3.728302083333333,time60,5.638564399770285,0.13,919.7728000000001,0.08246875000000001,0.65,0.3799999999999999,UP
2026-06-17 20:26:05.684352+02,btc-updown-5m-1781720700,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781721000000000,ws_mirror,l25_walk,0.53,0.53,9.433962264150942,-0.16449999999999998,time60,-5.279988522295387,0.53,6834.3896,0.16449999999999998,0.65,0.43000000000000005,DOWN
2026-06-17 21:41:05.787285+02,btc-updown-5m-1781725200,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1781725500000000,ws_mirror,l25_walk,0.4799999999999999,0.56,10.416666666666668,0.6536666666666681,time60,-6.234243292277952,0.56,7279.3470000000025,0.17966666666666667,0.65,0.3799999999999999,DOWN
