fid,slug,ts,price,size,bid0,ask0,snap_us,age_s,cls
0,btc-updown-15m-1782978300,1782979187,0.8,30.0,0.72,0.9,1782979186229000.0,0.771,INSIDE
1,btc-updown-5m-1782978900,1782979187,0.3,30.0,0.21,0.22,1782979186945000.0,0.055,TAKER
2,btc-updown-15m-1782978300,1782979183,0.22,6.24,0.22,0.24,1782979182998000.0,0.002,MAKER
3,btc-updown-15m-1782978300,1782979180,0.2799998844,5.535713,0.21,0.22,1782979179995000.0,0.005,TAKER
4,btc-updown-15m-1782978300,1782979102,0.64,30.0,0.62,0.63,1782979101919000.0,0.081,TAKER
5,btc-updown-15m-1782978300,1782979082,0.74,30.0,0.71,0.72,1782979081488000.0,0.512,TAKER
6,btc-updown-15m-1782978300,1782979048,0.85,5.0,0.68,0.7,1782979036043000.0,11.957,TAKER
7,btc-updown-15m-1782978300,1782979042,0.78,15.0,0.68,0.7,1782979036043000.0,5.957,TAKER
8,btc-updown-15m-1782978300,1782979012,0.74,5.0,0.73,0.74,1782979010182000.0,1.818,TAKER
9,btc-updown-15m-1782978300,1782978982,0.68,30.0,0.72,0.73,1782978981951000.0,0.049,MAKER
10,btc-updown-15m-1782978300,1782978877,0.47,30.0,0.48,0.49,1782978876400000.0,0.6,MAKER
11,btc-updown-5m-1782978600,1782978830,0.8,19.0,0.82,0.83,1782978829763000.0,0.237,MAKER
12,btc-updown-5m-1782978600,1782978830,0.8,30.0,0.82,0.83,1782978829763000.0,0.237,MAKER
13,btc-updown-5m-1782978600,1782978826,0.83,30.0,0.84,0.85,1782978825937000.0,0.063,MAKER
14,btc-updown-5m-1782978600,1782978815,0.36,2.22,0.45,0.53,1782978814990000.0,0.01,MAKER
15,btc-updown-15m-1782978300,1782978773,0.2,30.0,0.19,0.2,1782978771572000.0,1.428,TAKER
18,btc-updown-5m-1782978600,1782978625,0.65,28.77,0.7,0.71,1782978624684000.0,0.316,MAKER
19,btc-updown-15m-1782978300,1782978566,0.74,30.0,0.77,0.79,1782978565976000.0,0.024,MAKER
20,btc-updown-15m-1782978300,1782978563,0.69,30.0,0.71,0.73,1782978562783000.0,0.217,MAKER
21,btc-updown-15m-1782978300,1782978563,0.68,30.0,0.71,0.73,1782978562783000.0,0.217,MAKER
22,btc-updown-5m-1782978300,1782978437,0.5199999856,30.576922,0.52,0.53,1782978436665000.0,0.335,MAKER
23,btc-updown-15m-1782977400,1782978280,0.04,30.0,0.02,0.04,1782978279081000.0,0.919,TAKER
24,btc-updown-15m-1782977400,1782978272,0.96,30.0,0.96,0.97,1782978270285000.0,1.715,MAKER
25,btc-updown-5m-1782978000,1782978247,0.03,35.0,0.06,0.07,1782978246981000.0,0.019,MAKER
26,btc-updown-15m-1782977400,1782978247,0.72,10.0,0.48,0.49,1782978246307000.0,0.693,TAKER
27,btc-updown-15m-1782977400,1782978245,0.72,30.0,0.53,0.54,1782978244937000.0,0.063,TAKER
28,btc-updown-15m-1782977400,1782978245,0.7199999987,30.833332,0.53,0.54,1782978244937000.0,0.063,TAKER
33,btc-updown-15m-1782977400,1782978140,0.65,30.0,0.45,0.46,1782978126318000.0,13.682,TAKER
34,btc-updown-15m-1782977400,1782978128,0.5227891149,33.283017,0.54,0.55,1782978126318000.0,1.682,MAKER
35,btc-updown-15m-1782977400,1782978128,0.5499999871,31.090908,0.54,0.55,1782978126318000.0,1.682,TAKER
36,btc-updown-5m-1782978000,1782978121,0.85,30.0,0.83,0.84,1782978120933000.0,0.067,TAKER
37,btc-updown-5m-1782978000,1782978121,0.84,30.0,0.83,0.84,1782978120933000.0,0.067,TAKER
38,btc-updown-5m-1782978000,1782978121,0.85,19.99,0.83,0.84,1782978120933000.0,0.067,TAKER
39,btc-updown-15m-1782977400,1782978047,0.66,9.0,0.66,0.67,1782978045501000.0,1.499,MAKER
41,btc-updown-5m-1782977700,1782977987,0.02,50.0,0.01,0.02,1782977985074000.0,1.926,TAKER
42,btc-updown-15m-1782977400,1782977863,0.73,9.21,0.66,0.67,1782977853728000.0,9.272,TAKER
43,btc-updown-15m-1782977400,1782977863,0.73,30.0,0.66,0.67,1782977853728000.0,9.272,TAKER
44,btc-updown-5m-1782977400,1782977684,0.04,30.0,0.03,0.05,1782977683842000.0,0.158,INSIDE
45,btc-updown-5m-1782977400,1782977680,0.97,18.85,0.98,0.99,1782977679902000.0,0.098,MAKER
46,btc-updown-5m-1782977400,1782977680,0.96,10.02,0.98,0.99,1782977679902000.0,0.098,MAKER
47,btc-updown-5m-1782977400,1782977666,0.02,50.0,0.01,0.02,1782977665721000.0,0.279,TAKER
53,btc-updown-5m-1782977400,1782977588,0.85,5.0,0.73,0.74,1782977587967000.0,0.033,TAKER
54,btc-updown-5m-1782977400,1782977587,0.85,30.0,0.77,0.78,1782977586901000.0,0.099,TAKER
55,btc-updown-5m-1782977400,1782977573,0.37,30.0,0.46,0.47,1782977572912000.0,0.088,MAKER
56,btc-updown-15m-1782977400,1782977552,0.56,20.59,0.55,0.57,1782977550257000.0,1.743,INSIDE
57,btc-updown-15m-1782977400,1782977516,0.55,1.34,0.55,0.56,1782977515537000.0,0.463,MAKER
58,btc-updown-15m-1782977400,1782977504,0.55,30.0,0.54,0.55,1782977501880000.0,2.12,TAKER
59,btc-updown-5m-1782977400,1782977441,0.53,30.0,0.49,0.5,1782977440969000.0,0.031,TAKER
60,btc-updown-5m-1782977400,1782977441,0.5299999974,30.566036,0.49,0.5,1782977440969000.0,0.031,TAKER
65,btc-updown-15m-1782976500,1782977324,0.93,0.65,0.99,,1782977310160000.0,13.84,MAKER
66,btc-updown-15m-1782976500,1782977324,0.94,30.0,0.99,,1782977310160000.0,13.84,MAKER
67,btc-updown-15m-1782976500,1782977323,0.91,3.95,0.99,,1782977310160000.0,12.84,MAKER
68,btc-updown-5m-1782977100,1782977320,0.83,5.0,0.94,0.95,1782977313158000.0,6.842,MAKER
69,btc-updown-15m-1782976500,1782977320,0.97,30.0,0.99,,1782977310160000.0,9.84,MAKER
70,btc-updown-5m-1782977100,1782977318,0.83,5.0,0.94,0.95,1782977313158000.0,4.842,MAKER
71,btc-updown-5m-1782977100,1782977317,0.83,30.0,0.94,0.95,1782977313158000.0,3.842,MAKER
72,btc-updown-5m-1782977100,1782977249,0.87,4.68,0.9,0.91,1782977248923000.0,0.077,MAKER
77,btc-updown-5m-1782976800,1782977048,0.86,30.0,0.52,0.53,1782977042290000.0,5.71,TAKER
78,btc-updown-5m-1782976800,1782977045,0.53,30.0,0.52,0.53,1782977042290000.0,2.71,TAKER
79,btc-updown-5m-1782976800,1782977044,0.53,30.0,0.52,0.53,1782977042290000.0,1.71,TAKER
678,btc-updown-5m-1782832800,1782833069,0.04,26.86,0.04,0.05,1782833068951000.0,0.049,MAKER
