fid,slug,outcome,ts,price,size,bid0,ask0,snap_us,age_s,cls
0,btc-updown-5m-1783977900,Down,1783977953,0.85,35.11,,,,,NO_BOOK
1,btc-updown-5m-1783977600,Up,1783977829,0.94,45.0,0.9400,0.9500,1783977827469000,1.5310000000000000,MAKER
2,btc-updown-5m-1783977600,Down,1783977784,0.07,40.0,0.0800,0.0900,1783977783877000,0.12300000000000000000,MAKER
3,btc-updown-5m-1783977600,Down,1783977784,0.07,50.0,0.0800,0.0900,1783977783877000,0.12300000000000000000,MAKER
4,btc-updown-5m-1783977600,Up,1783977779,0.93,50.0,0.9300,0.9400,1783977778754000,0.24600000000000000000,MAKER
5,btc-updown-5m-1783977600,Up,1783977619,0.72,50.0,,,,,NO_BOOK
6,btc-updown-5m-1783977300,Up,1783977578,0.5,50.0,,,,,NO_BOOK
7,btc-updown-5m-1783977300,Up,1783977577,0.49,47.9,,,,,NO_BOOK
8,btc-updown-5m-1783977300,Down,1783977464,0.68,16.82,0.6700,0.6800,1783977463770000,0.23000000000000000000,TAKER
9,btc-updown-5m-1783977000,Down,1783977251,0.95,50.0,0.9500,0.9600,1783977250986000,0.01400000000000000000,MAKER
10,btc-updown-5m-1783977000,Down,1783977137,0.85,50.0,0.8400,0.8500,1783977135906000,1.0940000000000000,TAKER
11,btc-updown-5m-1783976700,Down,1783976966,0.97,50.0,,,,,NO_BOOK
12,btc-updown-5m-1783976700,Down,1783976921,0.54,50.0,0.3600,0.3800,1783976909213000,11.7870000000000000,TAKER
13,btc-updown-5m-1783976700,Down,1783976921,0.54,50.0,0.3600,0.3800,1783976909213000,11.7870000000000000,TAKER
14,btc-updown-5m-1783976700,Up,1783976839,0.48,50.0,0.4700,0.4900,1783976838909000,0.09100000000000000000,INSIDE
15,btc-updown-5m-1783976700,Up,1783976837,0.47,20.0,0.4800,0.4900,1783976836878000,0.12200000000000000000,MAKER
16,btc-updown-5m-1783976700,Down,1783976753,0.6,50.0,0.4700,0.4900,1783976747593000,5.4070000000000000,TAKER
17,btc-updown-5m-1783976400,Down,1783976630,0.89,50.0,0.9300,0.9400,1783976620955000,9.0450000000000000,MAKER
18,btc-updown-5m-1783976400,Down,1783976626,0.87,1.98,0.9300,0.9400,1783976620955000,5.0450000000000000,MAKER
19,btc-updown-5m-1783976400,Up,1783976620,0.05,50.0,0.0600,0.0700,1783976619886000,0.11400000000000000000,MAKER
20,btc-updown-5m-1783976400,Down,1783976594,0.9,50.0,,,,,NO_BOOK
21,btc-updown-5m-1783976400,Down,1783976548,0.48,45.03,,,,,NO_BOOK
22,btc-updown-5m-1783976100,Down,1783976353,0.01,100.0,0.0400,0.0500,1783976341714000,11.2860000000000000,MAKER
