fid,slug,outcome,ts,price,size
0,btc-updown-5m-1783977900,Down,1783977953,0.85,35.11
1,btc-updown-5m-1783977600,Up,1783977829,0.94,45.0
2,btc-updown-5m-1783977600,Down,1783977784,0.07,40.0
3,btc-updown-5m-1783977600,Down,1783977784,0.07,50.0
4,btc-updown-5m-1783977600,Up,1783977779,0.93,50.0
5,btc-updown-5m-1783977600,Up,1783977619,0.72,50.0
6,btc-updown-5m-1783977300,Up,1783977578,0.5,50.0
7,btc-updown-5m-1783977300,Up,1783977577,0.49,47.9
8,btc-updown-5m-1783977300,Down,1783977464,0.68,16.82
9,btc-updown-5m-1783977000,Down,1783977251,0.95,50.0
10,btc-updown-5m-1783977000,Down,1783977137,0.85,50.0
11,btc-updown-5m-1783976700,Down,1783976966,0.97,50.0
12,btc-updown-5m-1783976700,Down,1783976921,0.54,50.0
13,btc-updown-5m-1783976700,Down,1783976921,0.54,50.0
14,btc-updown-5m-1783976700,Up,1783976839,0.48,50.0
15,btc-updown-5m-1783976700,Up,1783976837,0.47,20.0
16,btc-updown-5m-1783976700,Down,1783976753,0.6,50.0
17,btc-updown-5m-1783976400,Down,1783976630,0.89,50.0
18,btc-updown-5m-1783976400,Down,1783976626,0.87,1.98
19,btc-updown-5m-1783976400,Up,1783976620,0.05,50.0
20,btc-updown-5m-1783976400,Down,1783976594,0.9,50.0
21,btc-updown-5m-1783976400,Down,1783976548,0.48,45.03
22,btc-updown-5m-1783976100,Down,1783976353,0.01,100.0
23,btc-updown-5m-1783975800,Up,1783976059,0.98,50.0
24,btc-updown-5m-1783975800,Up,1783976059,0.98,50.0
25,btc-updown-5m-1783975800,Up,1783976002,0.91,50.0
26,btc-updown-5m-1783975800,Up,1783975988,0.77,25.0
27,btc-updown-5m-1783975800,Up,1783975988,0.77,50.0
28,btc-updown-5m-1783975800,Down,1783975987,0.24,50.0
29,btc-updown-5m-1783975800,Up,1783975871,0.149999985,53.333332
30,btc-updown-5m-1783975800,Up,1783975871,0.149999985,53.333332
31,btc-updown-5m-1783975500,Down,1783975639,0.86,50.0
