fid,slug,outcome,ts,price,size,bid0,ask0,snap_us,age_s,cls,ticks_vs_bid
1,btc-updown-15m-1782971100,Up,1782971299,0.36,12.0,0.38,0.39,1782971297709000.0,1.291,MAKER_at_bid,-2.0
2,btc-updown-15m-1782971100,Up,1782971164,0.66,14.0,0.58,0.59,1782971163717000.0,0.283,TAKER_at_ask,8.0
3,btc-updown-15m-1782970200,Down,1782971009,0.9878823529,68.0,0.986,0.998,1782971007343000.0,1.657,INSIDE_spread,0.0
4,btc-updown-15m-1782970200,Down,1782971008,0.988,46.98,0.986,0.998,1782971007343000.0,0.657,INSIDE_spread,0.0
5,btc-updown-15m-1782970200,Down,1782970948,0.97,0.26,0.96,0.98,1782970945519000.0,2.481,INSIDE_spread,1.0
6,btc-updown-15m-1782970200,Down,1782970942,0.97,71.0,0.96,0.97,1782970940617000.0,1.383,TAKER_at_ask,1.0
7,btc-updown-15m-1782970200,Down,1782970937,0.9700580281,57.58415,0.98,0.99,1782970934585000.0,2.415,MAKER_at_bid,-1.0
8,btc-updown-15m-1782970200,Up,1782970849,0.11,12.67,0.11,0.12,1782970848770000.0,0.23,MAKER_at_bid,0.0
9,btc-updown-15m-1782970200,Up,1782970814,0.07,18.0,0.05,0.06,1782970812983000.0,1.017,TAKER_at_ask,2.0
10,sol-updown-15m-1782970200,Up,1782970811,0.0776699029,25.75,0.06,0.08,1782970809902000.0,1.098,INSIDE_spread,2.0
11,btc-updown-15m-1782970200,Up,1782970811,0.1,24.0,0.06,0.07,1782970810913000.0,0.087,TAKER_at_ask,4.0
12,btc-updown-15m-1782970200,Down,1782970781,0.86,17.84,0.86,0.87,1782970778719000.0,2.281,MAKER_at_bid,0.0
13,btc-updown-15m-1782970200,Down,1782970762,0.82,13.9,0.83,0.84,1782970761641000.0,0.359,MAKER_at_bid,-1.0
14,btc-updown-15m-1782970200,Up,1782970661,0.7,26.0,0.7,0.71,1782970660818000.0,0.182,MAKER_at_bid,0.0
15,btc-updown-15m-1782970200,Up,1782970655,0.67,63.0,0.67,0.68,1782970654094000.0,0.906,MAKER_at_bid,0.0
16,btc-updown-15m-1782970200,Up,1782970655,0.67,14.0,0.67,0.68,1782970654094000.0,0.906,MAKER_at_bid,0.0
17,btc-updown-15m-1782970200,Down,1782970654,0.21,56.0,0.33,0.34,1782970653347000.0,0.653,MAKER_at_bid,-12.0
19,eth-updown-15m-1782970200,Down,1782970630,0.6799999857,11.161762,0.64,0.65,1782970616499000.0,13.501,TAKER_at_ask,4.0
20,btc-updown-15m-1782970200,Down,1782970580,0.1,26.0,0.1,0.11,1782970579637000.0,0.363,MAKER_at_bid,0.0
21,btc-updown-15m-1782970200,Down,1782970564,0.13,5.0,0.13,0.14,1782970563222000.0,0.778,MAKER_at_bid,0.0
22,btc-updown-15m-1782970200,Down,1782970564,0.11,21.45,0.13,0.14,1782970563222000.0,0.778,MAKER_at_bid,-2.0
23,eth-updown-15m-1782970200,Up,1782970541,0.3,3.0,0.29,0.32,1782970538951000.0,2.049,INSIDE_spread,1.0
24,btc-updown-15m-1782970200,Down,1782970525,0.21,5.0,0.22,0.23,1782970524191000.0,0.809,MAKER_at_bid,-1.0
25,eth-updown-15m-1782970200,Up,1782970519,0.21,8.0,0.25,0.26,1782970518420000.0,0.58,MAKER_at_bid,-4.0
26,eth-updown-15m-1782970200,Up,1782970481,0.26,10.0,0.25,0.26,1782970479172000.0,1.828,TAKER_at_ask,1.0
27,btc-updown-15m-1782970200,Up,1782970480,0.68,25.0,0.67,0.68,1782970479947000.0,0.053,TAKER_at_ask,1.0
28,btc-updown-15m-1782970200,Up,1782970472,0.62,15.0,0.66,0.68,1782970471789000.0,0.211,MAKER_at_bid,-4.0
29,btc-updown-15m-1782970200,Down,1782970430,0.44,8.0,0.46,0.52,1782970427311000.0,2.689,MAKER_at_bid,-2.0
30,eth-updown-15m-1782970200,Up,1782970346,0.38,15.0,0.39,0.4,1782970345887000.0,0.113,MAKER_at_bid,-1.0
36,eth-updown-15m-1782969300,Down,1782970151,0.99,156.0,0.98,0.99,1782970149329000.0,1.671,TAKER_at_ask,1.0
37,eth-updown-15m-1782969300,Up,1782970070,0.07,36.0,0.07,0.08,1782970069426000.0,0.574,MAKER_at_bid,0.0
38,eth-updown-15m-1782969300,Down,1782970039,0.91,11.0,0.92,0.94,1782970037427000.0,1.573,MAKER_at_bid,-1.0
39,eth-updown-15m-1782969300,Up,1782970022,0.22,23.0,0.18,0.21,1782970020876000.0,1.124,TAKER_at_ask,4.0
40,eth-updown-15m-1782969300,Up,1782969991,0.15,71.0,0.19,0.21,1782969990153000.0,0.847,MAKER_at_bid,-4.0
41,eth-updown-15m-1782969300,Up,1782969988,0.14,9.17,0.14,0.15,1782969985904000.0,2.096,MAKER_at_bid,0.0
