slug,dir,ev,fire_us,slot_start,ts,fid
btc-updown-5m-1781837400,DOWN,0.68,1781837405000000,1781837400,2026-06-19 02:50:05.004576+00:00,0
btc-updown-5m-1781839800,DOWN,0.66,1781839805000000,1781839800,2026-06-19 03:30:05.002976+00:00,1
btc-updown-5m-1781847600,UP,0.67,1781847605000000,1781847600,2026-06-19 05:40:05.003212+00:00,2
btc-updown-5m-1781856300,DOWN,0.76,1781856305000000,1781856300,2026-06-19 08:05:05.006643+00:00,3
btc-updown-5m-1781860200,DOWN,0.6999999999999998,1781860205000000,1781860200,2026-06-19 09:10:05.004350+00:00,4
btc-updown-5m-1781862000,UP,0.56,1781862005000000,1781862000,2026-06-19 09:40:05.003307+00:00,5
btc-updown-5m-1781867400,DOWN,0.5999999999999999,1781867405000000,1781867400,2026-06-19 11:10:05.027512+00:00,6
btc-updown-5m-1781872800,UP,0.6199999999999999,1781872805000000,1781872800,2026-06-19 12:40:05.004386+00:00,7
btc-updown-5m-1781873400,UP,0.64,1781873405000000,1781873400,2026-06-19 12:50:05.003806+00:00,8
btc-updown-5m-1781877000,DOWN,0.5899999999999999,1781877005000000,1781877000,2026-06-19 13:50:05.004282+00:00,9
btc-updown-5m-1781900700,UP,0.7099999999999999,1781900705000000,1781900700,2026-06-19 20:25:05.004267+00:00,10
btc-updown-5m-1781915700,DOWN,0.64,1781915705000000,1781915700,2026-06-20 00:35:05.003695+00:00,11
btc-updown-5m-1781920800,DOWN,0.77,1781920805000000,1781920800,2026-06-20 02:00:05.003233+00:00,12
btc-updown-5m-1781961900,DOWN,0.56,1781961905000000,1781961900,2026-06-20 13:25:05.004155+00:00,13
btc-updown-5m-1781967900,DOWN,0.63,1781967905000000,1781967900,2026-06-20 15:05:05.004181+00:00,14
btc-updown-5m-1781969400,UP,0.5899999999999999,1781969405000000,1781969400,2026-06-20 15:30:05.004223+00:00,15
btc-updown-5m-1781978100,UP,0.66,1781978105000000,1781978100,2026-06-20 17:55:05.026994+00:00,16
btc-updown-5m-1781992200,UP,0.61,1781992205000000,1781992200,2026-06-20 21:50:05.003058+00:00,17
btc-updown-5m-1781999100,DOWN,0.68,1781999105000000,1781999100,2026-06-20 23:45:05.003108+00:00,18
btc-updown-5m-1782030000,DOWN,0.64,1782030005000000,1782030000,2026-06-21 08:20:05.004581+00:00,19
btc-updown-5m-1782040500,DOWN,0.7099999999999999,1782040505000000,1782040500,2026-06-21 11:15:05.004305+00:00,20
btc-updown-5m-1782060600,UP,0.68,1782060605000000,1782060600,2026-06-21 16:50:05.005338+00:00,21
btc-updown-5m-1782081000,DOWN,0.68,1782081005000000,1782081000,2026-06-21 22:30:05.004706+00:00,22
btc-updown-5m-1782082800,DOWN,0.6999999999999998,1782082805000000,1782082800,2026-06-21 23:00:05.015573+00:00,23
btc-updown-5m-1782085500,UP,0.55,1782085505000000,1782085500,2026-06-21 23:45:05.004589+00:00,24
btc-updown-5m-1782088200,UP,0.64,1782088205000000,1782088200,2026-06-22 00:30:05.005060+00:00,25
btc-updown-5m-1782090300,UP,0.5799999999999998,1782090305000000,1782090300,2026-06-22 01:05:05.004276+00:00,26
btc-updown-5m-1782091500,UP,0.64,1782091505000000,1782091500,2026-06-22 01:25:05.005181+00:00,27
btc-updown-5m-1782091800,UP,0.5799999999999998,1782091805000000,1782091800,2026-06-22 01:30:05.010067+00:00,28
btc-updown-5m-1782093600,UP,0.5999999999999999,1782093605000000,1782093600,2026-06-22 02:00:05.004206+00:00,29
btc-updown-5m-1782094500,DOWN,0.65,1782094505000000,1782094500,2026-06-22 02:15:05.004163+00:00,30
btc-updown-5m-1782098100,UP,0.65,1782098105000000,1782098100,2026-06-22 03:15:05.004180+00:00,31
btc-updown-5m-1782098700,UP,0.6999999999999998,1782098705000000,1782098700,2026-06-22 03:25:05.003816+00:00,32
btc-updown-5m-1782111900,DOWN,0.65,1782111905000000,1782111900,2026-06-22 07:05:05.004921+00:00,33
btc-updown-5m-1782115500,DOWN,0.68,1782115505000000,1782115500,2026-06-22 08:05:05.005251+00:00,34
btc-updown-5m-1782129000,DOWN,0.6235894999406105,1782129005000000,1782129000,2026-06-22 11:50:05.003635+00:00,35
btc-updown-5m-1782129600,UP,0.65,1782129605000000,1782129600,2026-06-22 12:00:05.004088+00:00,36
btc-updown-5m-1782130500,DOWN,0.64,1782130505000000,1782130500,2026-06-22 12:15:05.004373+00:00,37
btc-updown-5m-1782132900,DOWN,0.64,1782132905000000,1782132900,2026-06-22 12:55:05.041973+00:00,38
