slug,dir,ev,fire_us,slot_start,ts,fid,ex_ts,bid0,bidsz0,ask0,asksz0,en_ts,min_ts,exit_off,sh,pnl_exit_full,won,pnl,sold,pnl_exit_partial
btc-updown-5m-1781872800,UP,0.6199999999999999,1781872805000000,1781872800,2026-06-19 12:40:05.004386+00:00,7,1781872860126000.0,0.49,529.39,,,,1781872819534000.0,55.126,8.06451612903226,-1.0483870967741928,False,-5.0,8.06451612903226,-1.0483870967741928
btc-updown-5m-1781915700,DOWN,0.64,1781915705000000,1781915700,2026-06-20 00:35:05.003695+00:00,11,1781915765084000.0,0.84,137.73,,,,1781915753558000.0,60.084,7.8125,1.5624999999999996,False,2.8125,7.8125,1.5624999999999996
btc-updown-5m-1782030000,DOWN,0.64,1782030005000000,1782030000,2026-06-21 08:20:05.004581+00:00,19,1782030064936000.0,0.71,555.06,,,,1782030013601000.0,59.936,7.8125,0.5468749999999997,False,2.8125,7.8125,0.5468749999999997
btc-updown-5m-1782082800,DOWN,0.6999999999999998,1782082805000000,1782082800,2026-06-21 23:00:05.015573+00:00,23,1782082864927000.0,0.93,994.35,,,,1782082833811000.0,59.927,7.142857142857144,1.6428571428571446,False,2.1428571428571432,7.142857142857144,1.6428571428571446
btc-updown-5m-1782098700,UP,0.6999999999999998,1782098705000000,1782098700,2026-06-22 03:25:05.003816+00:00,32,1782098744683000.0,0.79,537.38,,,,1782098717914000.0,39.683,7.142857142857144,0.6428571428571443,False,-5.0,7.142857142857144,0.6428571428571443
btc-updown-5m-1782130500,DOWN,0.64,1782130505000000,1782130500,2026-06-22 12:15:05.004373+00:00,37,1782130537918000.0,0.41,764.63,,,,1782130508938000.0,32.918,7.8125,-1.7968750000000002,False,2.8125,7.8125,-1.7968750000000002
btc-updown-5m-1782177000,UP,0.64,1782177005000000,1782177000,2026-06-23 01:10:05.004676+00:00,51,1782177064951000.0,0.78,1184.32,,,,1782177033526000.0,59.951,7.8125,1.09375,False,2.8125,7.8125,1.09375
btc-updown-5m-1782196200,DOWN,0.6199999999999999,1782196205000000,1782196200,2026-06-23 06:30:05.006416+00:00,56,1782196256602000.0,0.59,149.89,,,,1782196236788000.0,51.602,8.06451612903226,-0.2419354838709671,False,-5.0,8.06451612903226,-0.2419354838709671
btc-updown-5m-1782200700,UP,0.64,1782200705000000,1782200700,2026-06-23 07:45:05.003747+00:00,59,1782200765053000.0,0.7,476.76,,,,1782200728196000.0,60.053,7.8125,0.46874999999999956,False,2.8125,7.8125,0.46874999999999956
btc-updown-5m-1782215100,UP,0.75,1782215105000000,1782215100,2026-06-23 11:45:05.005413+00:00,64,1782215145517000.0,0.71,862.21,,,,1782215109022000.0,40.517,6.666666666666667,-0.26666666666666694,False,-5.0,6.666666666666667,-0.26666666666666694
btc-updown-5m-1782221400,DOWN,0.5799999999999998,1782221405000000,1782221400,2026-06-23 13:30:05.011104+00:00,66,1782221465068000.0,0.65,38.2,,,,1782221413075000.0,60.068,8.620689655172416,0.6034482758620706,False,-5.0,8.620689655172416,0.6034482758620706
btc-updown-5m-1782224100,DOWN,0.65,1782224105000000,1782224100,2026-06-23 14:15:05.004885+00:00,70,1782224164899000.0,0.64,11.66,,,,1782224164558000.0,59.899,7.692307692307692,-0.07692307692307698,False,-5.0,7.692307692307692,-0.07692307692307698
btc-updown-5m-1782235200,UP,0.65,1782235205000000,1782235200,2026-06-23 17:20:05.007376+00:00,79,1782235265034000.0,0.58,1655.29,,,,1782235214048000.0,60.034,7.692307692307692,-0.5384615384615389,False,2.692307692307692,7.692307692307692,-0.5384615384615389
btc-updown-5m-1782777900,DOWN,0.69,1782777905000000,1782777900,2026-06-30 00:05:05.001589+00:00,236,1782777934759000.0,0.72,282.51,,,,1782777921418000.0,29.759,7.246376811594203,0.21739130434782628,False,2.2463768115942035,7.246376811594203,0.21739130434782628
btc-updown-5m-1782830100,DOWN,0.51,1782830105000000,1782830100,2026-06-30 14:35:05.002610+00:00,250,1782830164972000.0,0.75,380.17,,,,1782830155068000.0,59.972,9.803921568627452,2.3529411764705883,False,4.803921568627452,9.803921568627452,2.3529411764705883
btc-updown-5m-1782832200,UP,0.5999999999999999,1782832205000000,1782832200,2026-06-30 15:10:05.002410+00:00,252,1782832265078000.0,0.51,51.08,,,,1782832212516000.0,60.078,8.333333333333336,-0.749999999999999,False,3.333333333333334,8.333333333333336,-0.749999999999999
