ticker,timeframe,weekly_regime,n,up_rate,regime_kind,daily_regime
BTC,15m,DOM_DN,187,0.5080213903743316,WEEKLY-FRESH,
BTC,15m,DOM_UP,550,0.5018181818181818,WEEKLY-FRESH,
BTC,5m,DOM_DN,557,0.518850987432675,WEEKLY-FRESH,
BTC,5m,DOM_UP,1659,0.5033152501506932,WEEKLY-FRESH,
ETH,15m,DOM_DN,187,0.5080213903743316,WEEKLY-FRESH,
ETH,15m,DOM_UP,550,0.5145454545454545,WEEKLY-FRESH,
ETH,5m,DOM_DN,557,0.4919210053859964,WEEKLY-FRESH,
ETH,5m,DOM_UP,1659,0.5039180229053647,WEEKLY-FRESH,
SOL,15m,DOM_DN,187,0.5454545454545454,WEEKLY-FRESH,
SOL,15m,DOM_UP,550,0.5163636363636364,WEEKLY-FRESH,
SOL,5m,DOM_DN,557,0.5080789946140036,WEEKLY-FRESH,
SOL,5m,DOM_UP,1659,0.5027124773960217,WEEKLY-FRESH,
BTC,15m,,267,0.4943820224719101,DAILY-FRESH,DOM_DN
BTC,15m,,470,0.5085106382978724,DAILY-FRESH,DOM_UP
BTC,5m,,811,0.499383477188656,DAILY-FRESH,DOM_DN
BTC,5m,,1405,0.5117437722419929,DAILY-FRESH,DOM_UP
ETH,15m,,267,0.49812734082397003,DAILY-FRESH,DOM_DN
ETH,15m,,470,0.5212765957446809,DAILY-FRESH,DOM_UP
ETH,5m,,811,0.4907521578298397,DAILY-FRESH,DOM_DN
ETH,5m,,1405,0.5067615658362989,DAILY-FRESH,DOM_UP
SOL,15m,,267,0.5093632958801498,DAILY-FRESH,DOM_DN
SOL,15m,,470,0.5319148936170213,DAILY-FRESH,DOM_UP
SOL,5m,,811,0.5067817509247842,DAILY-FRESH,DOM_DN
SOL,5m,,1405,0.502491103202847,DAILY-FRESH,DOM_UP
