variant,thr,ticker,timeframe,n,hit,pnl
early,0.02,BTC,15m,1478,0.4986,-1036.6649
early,0.02,BTC,5m,5200,0.5085,-509.7194
early,0.02,ETH,15m,949,0.5005,-694.1172
early,0.02,ETH,5m,4091,0.5016,-2905.4379
early,0.02,SOL,15m,1135,0.5128,-505.8754
early,0.02,SOL,5m,3462,0.4893,-5592.7695
early,0.05,BTC,15m,1446,0.4959,-1223.927
early,0.05,BTC,5m,5099,0.5083,-538.0826
early,0.05,ETH,15m,925,0.5016,-637.6523
early,0.05,ETH,5m,3990,0.502,-2784.215
early,0.05,SOL,15m,1132,0.5124,-532.1036
early,0.05,SOL,5m,3434,0.4895,-5551.0979
early,0.1,BTC,15m,1402,0.5036,-665.1269
early,0.1,BTC,5m,4937,0.5086,-460.7708
early,0.1,ETH,15m,900,0.5022,-595.4769
early,0.1,ETH,5m,3854,0.5031,-2482.1206
early,0.1,SOL,15m,1129,0.512,-552.061
early,0.1,SOL,5m,3424,0.4895,-5534.012
early,0.15,BTC,15m,1366,0.5044,-606.4262
early,0.15,BTC,5m,4805,0.5099,-138.7955
early,0.15,ETH,15m,872,0.5034,-519.4902
early,0.15,ETH,5m,3731,0.5017,-2632.5046
early,0.15,SOL,15m,1119,0.5103,-639.475
early,0.15,SOL,5m,3374,0.4905,-5284.6264
late15,0.02,BTC,15m,1077,0.2015,-5966.7381
late15,0.02,ETH,15m,1087,0.1748,-11086.8764
late15,0.02,SOL,15m,1113,0.1438,-16893.0763
late15,0.05,BTC,15m,911,0.1844,-4952.2542
late15,0.05,ETH,15m,925,0.1622,-9848.2469
late15,0.05,SOL,15m,965,0.1306,-16053.9559
late15,0.1,BTC,15m,195,0.559,81.0648
late15,0.1,ETH,15m,126,0.6746,727.7169
late15,0.1,SOL,15m,109,0.6881,59.8031
late15,0.15,BTC,15m,120,0.4917,8.8874
late15,0.15,ETH,15m,72,0.6667,746.0862
late15,0.15,SOL,15m,69,0.6957,166.8113
