asset,threshold,n_fires,hit_rate,pnl_flat_0.5,n_up,n_down
BTC,0,4802,0.4996,-1299.5,4743,59
BTC,50,2577,0.5134,1063.5,2562,15
BTC,100,1683,0.511,495.0,1678,5
BTC,200,857,0.5251,850.0,854,3
BTC,500,242,0.5372,385.0,241,1
BTC,1000,88,0.5455,176.0,87,1
ETH,0,3354,0.4982,-1135.5,3319,35
ETH,50,783,0.5287,918.0,781,2
ETH,100,294,0.5442,570.0,293,1
ETH,200,98,0.5408,173.5,97,1
ETH,500,13,0.3846,-77.5,13,0
ETH,1000,4,0.5,-1.0,4,0
SOL,0,2061,0.5051,4.5,2015,46
SOL,50,210,0.5476,442.5,210,0
SOL,100,37,0.4595,-83.5,37,0
SOL,200,3,0.3333,-25.5,3,0
SOL,500,0,,0.0,0,0
SOL,1000,0,,0.0,0,0
