entry_off_s,obs_mode,threshold,n_fires,hit_rate,pnl_flat_0.5
60,full,0,4878.0,0.5026666666666667,-576.0
60,full,100,4846.0,0.505793685513826,174.5
60,full,500,4362.0,0.5536313617606603,10492.5
60,full,1000,3813.0,0.6021541306058221,18327.0
60,full,5000,1795.0,0.6746543732590529,15069.5
60,last5,0,4863.0,0.5113699568167798,1531.5
60,last5,100,4040.0,0.6017219059405942,19334.5
60,last5,500,3070.0,0.724114657980456,33288.5
60,last5,1000,2475.0,0.7761214141414141,33214.5
60,last5,5000,925.0,0.8853591351351352,17415.5
180,full,0,4878.0,0.5028666666666668,-526.5
180,full,100,4837.0,0.5069191234236098,449.0
180,full,500,4253.0,0.5544082765106984,10396.0
180,full,1000,3510.0,0.5888710541310542,14566.5
180,full,5000,1601.0,0.6545621486570893,11851.0
180,last5,0,4866.0,0.5086285244554049,862.5
180,last5,100,4147.0,0.5746559681697612,14283.5
180,last5,500,2899.0,0.67157440496723,23901.5
180,last5,1000,2159.0,0.7290412691060677,23938.0
180,last5,5000,725.0,0.8938179310344828,13951.0
