asset,entry_off_s,obs_mode,threshold,n_fires,hit_rate,pnl_flat_0.5,n_up,n_down
BTC,60,full,0,1626,0.5006,-357.0,1626,0
BTC,60,full,100,1626,0.5006,-357.0,1626,0
BTC,60,full,500,1626,0.5006,-357.0,1626,0
BTC,60,full,1000,1625,0.5009,-332.0,1625,0
BTC,60,full,5000,1376,0.5894,5744.5,1376,0
BTC,60,last5,0,1624,0.5018,-257.5,1621,3
BTC,60,last5,100,1556,0.5231,1393.0,1554,2
BTC,60,last5,500,1316,0.6178,7343.5,1315,1
BTC,60,last5,1000,1204,0.6694,9797.0,1204,0
BTC,60,last5,5000,808,0.87,14598.5,808,0
BTC,180,full,0,1626,0.5006,-357.0,1626,0
BTC,180,full,100,1626,0.5006,-357.0,1626,0
BTC,180,full,500,1626,0.5006,-357.0,1626,0
BTC,180,full,1000,1625,0.5009,-332.0,1625,0
BTC,180,full,5000,1340,0.594,5902.0,1340,0
BTC,180,last5,0,1623,0.5028,-183.0,1619,4
BTC,180,last5,100,1605,0.5078,217.5,1602,3
BTC,180,last5,500,1433,0.5659,4319.5,1430,3
BTC,180,last5,1000,1267,0.6338,8073.5,1266,1
BTC,180,last5,5000,631,0.878,11648.0,631,0
ETH,60,full,0,1626,0.4951,-802.5,1626,0
ETH,60,full,100,1626,0.4951,-802.5,1626,0
ETH,60,full,500,1572,0.5121,547.5,1572,0
ETH,60,full,1000,1368,0.5819,5202.0,1368,0
ETH,60,full,5000,354,0.9463,7732.5,354,0
ETH,60,last5,0,1623,0.5015,-282.0,1606,17
ETH,60,last5,100,1341,0.5958,6025.5,1337,4
ETH,60,last5,500,1021,0.7483,12293.0,1020,1
ETH,60,last5,1000,837,0.8303,13477.5,836,1
ETH,60,last5,5000,109,0.9908,2621.0,109,0
ETH,180,full,0,1626,0.4951,-802.5,1626,0
ETH,180,full,100,1625,0.4954,-777.5,1625,0
ETH,180,full,500,1558,0.5141,699.5,1558,0
ETH,180,full,1000,1311,0.5919,5637.0,1311,0
ETH,180,full,5000,228,0.9605,5140.5,228,0
ETH,180,last5,0,1622,0.4969,-653.0,1611,11
ETH,180,last5,100,1423,0.5559,3579.5,1418,5
ETH,180,last5,500,985,0.7228,10619.0,985,0
ETH,180,last5,1000,653,0.8315,10553.5,653,0
ETH,180,last5,5000,88,1.0,2156.0,88,0
SOL,60,full,0,1626,0.5123,583.5,1625,1
SOL,60,full,100,1594,0.522,1334.0,1594,0
SOL,60,full,500,1164,0.6838,10302.0,1164,0
SOL,60,full,1000,820,0.8366,13457.0,820,0
SOL,60,full,5000,65,1.0,1592.5,65,0
SOL,60,last5,0,1616,0.5309,2071.0,1587,29
SOL,60,last5,100,1143,0.7157,11916.0,1140,3
SOL,60,last5,500,733,0.8813,13652.0,732,1
SOL,60,last5,1000,434,0.9677,9940.0,434,0
SOL,60,last5,5000,8,1.0,196.0,8,0
SOL,180,full,0,1626,0.5129,633.0,1626,0
SOL,180,full,100,1586,0.5252,1583.5,1586,0
SOL,180,full,500,1069,0.695,10053.5,1069,0
SOL,180,full,1000,574,0.831,9261.5,574,0
SOL,180,full,5000,33,1.0,808.5,33,0
SOL,180,last5,0,1621,0.5262,1698.5,1591,30
SOL,180,last5,100,1119,0.6944,10486.5,1118,1
SOL,180,last5,500,481,0.8815,8963.0,481,0
SOL,180,last5,1000,239,0.954,5311.0,239,0
SOL,180,last5,5000,6,1.0,147.0,6,0
